"BZD-intermediate","1.14 (0.47 to  2.75)","1.10 (0.59 to  2.06)",".",".",".",".",".",".",".","0.92 (0.61 to  1.38)",".",".",".",".","1.45 (0.27 to  7.78)","1.24 (0.34 to  4.56)",".","0.46 (0.22 to  0.95)","1.00 (0.29 to  3.47)"
"1.06 (0.71 to  1.58)","BZD-long","0.86 (0.60 to  1.23)",".",".",".",".",".",".",".","0.86 (0.56 to  1.30)",".",".",".",".",".",".",".",".","0.80 (0.54 to  1.19)"
"0.98 (0.69 to  1.40)","0.93 (0.68 to  1.28)","BZD-short",".",".",".",".",".",".",".","0.85 (0.61 to  1.18)",".",".",".",".",".",".",".","2.27 (0.52 to  9.86)","0.92 (0.62 to  1.37)"
"0.65 (0.37 to  1.14)","0.62 (0.35 to  1.09)","0.66 (0.39 to  1.14)","daridorexant",".",".",".",".",".",".","1.32 (0.82 to  2.12)",".",".",".",".",".",".",".","0.49 (0.07 to  3.55)","."
"0.53 (0.18 to  1.55)","0.50 (0.17 to  1.48)","0.54 (0.19 to  1.57)","0.82 (0.26 to  2.52)","diphenydramine",".",".",".",".",".","1.55 (0.55 to  4.32)",".",".",".",".",".",".",".",".","."
"0.68 (0.35 to  1.30)","0.64 (0.33 to  1.24)","0.69 (0.37 to  1.30)","1.04 (0.50 to  2.17)","1.27 (0.39 to  4.13)","doxepin",".",".",".",".","1.15 (0.62 to  2.15)",".","1.22 (0.51 to  2.95)",".",".",".",".",".",".","."
"1.46 (0.58 to  3.71)","1.38 (0.54 to  3.53)","1.49 (0.59 to  3.73)","2.24 (0.83 to  6.08)","2.75 (0.71 to 10.64)","2.16 (0.75 to  6.17)","doxylamine",".",".",".","0.54 (0.21 to  1.44)",".",".",".",".",".",".",".","0.65 (0.24 to  1.75)","."
"1.10 (0.70 to  1.74)","1.04 (0.67 to  1.63)","1.12 (0.74 to  1.70)","1.69 (0.94 to  3.03)","2.07 (0.70 to  6.14)","1.63 (0.83 to  3.18)","0.75 (0.29 to  1.95)","eszopiclone",".",".","0.68 (0.43 to  1.07)",".",".",".",".",".",".",".",".","0.85 (0.53 to  1.39)"
"1.12 (0.69 to  1.82)","1.07 (0.65 to  1.75)","1.14 (0.72 to  1.82)","1.73 (0.95 to  3.14)","2.11 (0.71 to  6.32)","1.66 (0.84 to  3.29)","0.77 (0.30 to  2.00)","1.02 (0.61 to  1.71)","lemborexant",".","0.84 (0.56 to  1.26)",".",".",".",".",".",".",".","0.47 (0.24 to  0.95)","."
"0.86 (0.44 to  1.69)","0.82 (0.41 to  1.61)","0.88 (0.45 to  1.70)","1.32 (0.62 to  2.83)","1.62 (0.49 to  5.32)","1.27 (0.55 to  2.91)","0.59 (0.20 to  1.71)","0.78 (0.39 to  1.57)","0.77 (0.38 to  1.56)","melatonin","0.96 (0.52 to  1.75)",".",".",".",".",".",".",".",".","."
"0.82 (0.60 to  1.12)","0.78 (0.56 to  1.08)","0.84 (0.64 to  1.10)","1.26 (0.79 to  2.01)","1.55 (0.55 to  4.32)","1.21 (0.69 to  2.15)","0.56 (0.23 to  1.36)","0.75 (0.53 to  1.06)","0.73 (0.50 to  1.07)","0.96 (0.52 to  1.75)","placebo","2.33 (0.17 to 32.58)","0.79 (0.65 to  0.96)","2.60 (0.84 to  7.99)","1.18 (0.75 to  1.86)","0.65 (0.24 to  1.78)","1.07 (0.28 to  4.04)","0.93 (0.64 to  1.35)","1.12 (0.92 to  1.36)","1.06 (0.71 to  1.57)"
"1.92 (0.14 to 27.30)","1.82 (0.13 to 25.91)","1.95 (0.14 to 27.66)","2.95 (0.20 to 42.89)","3.61 (0.21 to 61.17)","2.83 (0.19 to 42.08)","1.31 (0.08 to 21.20)","1.74 (0.12 to 24.93)","1.71 (0.12 to 24.49)","2.23 (0.15 to 33.35)","2.33 (0.17 to 32.58)","quetiapine",".",".",".",".",".",".",".","."
"0.65 (0.45 to  0.94)","0.62 (0.42 to  0.90)","0.66 (0.47 to  0.93)","1.00 (0.61 to  1.66)","1.23 (0.43 to  3.50)","0.96 (0.54 to  1.73)","0.45 (0.18 to  1.10)","0.59 (0.40 to  0.89)","0.58 (0.38 to  0.89)","0.76 (0.40 to  1.43)","0.79 (0.65 to  0.97)","0.34 (0.02 to  4.78)","ramelteon",".",".",".",".",".",".","."
"1.90 (0.67 to  5.35)","1.80 (0.63 to  5.09)","1.93 (0.69 to  5.39)","2.91 (0.97 to  8.71)","3.57 (0.85 to 14.89)","2.80 (0.89 to  8.80)","1.30 (0.35 to  4.88)","1.72 (0.60 to  4.93)","1.69 (0.59 to  4.86)","2.20 (0.69 to  7.04)","2.30 (0.85 to  6.22)","0.99 (0.06 to 16.53)","2.90 (1.06 to  7.99)","seltorexant",".",".",".",".","0.58 (0.16 to  2.03)","."
"0.97 (0.56 to  1.68)","0.92 (0.53 to  1.61)","0.99 (0.58 to  1.68)","1.49 (0.78 to  2.86)","1.83 (0.59 to  5.61)","1.43 (0.69 to  2.97)","0.66 (0.25 to  1.79)","0.88 (0.50 to  1.57)","0.86 (0.48 to  1.56)","1.13 (0.53 to  2.40)","1.18 (0.75 to  1.86)","0.51 (0.03 to  7.34)","1.49 (0.91 to  2.44)","0.51 (0.17 to  1.52)","suvorexant",".",".",".",".","."
"0.88 (0.40 to  1.90)","0.83 (0.37 to  1.85)","0.89 (0.41 to  1.95)","1.35 (0.56 to  3.23)","1.65 (0.47 to  5.86)","1.30 (0.51 to  3.30)","0.60 (0.19 to  1.89)","0.80 (0.35 to  1.80)","0.78 (0.34 to  1.78)","1.02 (0.39 to  2.65)","1.07 (0.51 to  2.24)","0.46 (0.03 to  7.07)","1.34 (0.62 to  2.89)","0.46 (0.13 to  1.59)","0.90 (0.38 to  2.16)","trazodone",".",".","0.92 (0.37 to  2.27)","."
