Separate indirect from direct design evidence (SIDDE)

Fixed effects model: 

                      comparison  k  nma direct indir.  RoR     z p-value
       BZD-intermediate:BZD-long  1 1.06   1.14   1.04 1.10  0.19  0.8511
      BZD-intermediate:BZD-short  2 0.98   1.10   0.93 1.19  0.45  0.6540
   BZD-intermediate:daridorexant  0 0.65      .   0.65    .     .       .
 BZD-intermediate:diphenydramine  0 0.53      .   0.53    .     .       .
        BZD-intermediate:doxepin  0 0.68      .   0.68    .     .       .
     BZD-intermediate:doxylamine  0 1.46      .   1.46    .     .       .
    BZD-intermediate:eszopiclone  0 1.10      .   1.10    .     .       .
    BZD-intermediate:lemborexant  0 1.12      .   1.12    .     .       .
      BZD-intermediate:melatonin  0 0.86      .   0.86    .     .       .
        BZD-intermediate:placebo  9 0.82   0.92   0.70 1.31  0.84  0.4016
     BZD-intermediate:quetiapine  0 1.92      .   1.92    .     .       .
      BZD-intermediate:ramelteon  0 0.65      .   0.65    .     .       .
    BZD-intermediate:seltorexant  0 1.90      .   1.90    .     .       .
     BZD-intermediate:suvorexant  0 0.97      .   0.97    .     .       .
      BZD-intermediate:trazodone  1 0.88   1.45   0.77 1.90  0.66  0.5069
   BZD-intermediate:trimipramine  1 1.05   1.24      .    .     .       .
       BZD-intermediate:zaleplon  0 0.84      .   0.84    .     .       .
       BZD-intermediate:zolpidem  2 0.92   0.46   1.11 0.41 -2.11  0.0347
      BZD-intermediate:zopiclone  2 0.84   1.00   0.83 1.20  0.28  0.7824
              BZD-long:BZD-short  6 0.93   0.86   1.16 0.74 -0.76  0.4455
           BZD-long:daridorexant  0 0.62      .   0.62    .     .       .
         BZD-long:diphenydramine  0 0.50      .   0.50    .     .       .
                BZD-long:doxepin  0 0.64      .   0.64    .     .       .
             BZD-long:doxylamine  0 1.38      .   1.38    .     .       .
            BZD-long:eszopiclone  0 1.04      .   1.04    .     .       .
            BZD-long:lemborexant  0 1.07      .   1.07    .     .       .
              BZD-long:melatonin  0 0.82      .   0.82    .     .       .
                BZD-long:placebo  4 0.78   0.86   0.68 1.26  0.66  0.5064
             BZD-long:quetiapine  0 1.82      .   1.82    .     .       .
              BZD-long:ramelteon  0 0.62      .   0.62    .     .       .
            BZD-long:seltorexant  0 1.80      .   1.80    .     .       .
             BZD-long:suvorexant  0 0.92      .   0.92    .     .       .
              BZD-long:trazodone  0 0.83      .   0.83    .     .       .
           BZD-long:trimipramine  0 1.00      .   1.00    .     .       .
               BZD-long:zaleplon  0 0.80      .   0.80    .     .       .
               BZD-long:zolpidem  0 0.87      .   0.87    .     .       .
              BZD-long:zopiclone  3 0.80   0.80   0.72 1.11  0.28  0.7784
          BZD-short:daridorexant  0 0.66      .   0.66    .     .       .
        BZD-short:diphenydramine  0 0.54      .   0.54    .     .       .
               BZD-short:doxepin  0 0.69      .   0.69    .     .       .
            BZD-short:doxylamine  0 1.49      .   1.49    .     .       .
           BZD-short:eszopiclone  0 1.12      .   1.12    .     .       .
           BZD-short:lemborexant  0 1.14      .   1.14    .     .       .
             BZD-short:melatonin  0 0.88      .   0.88    .     .       .
               BZD-short:placebo  6 0.84   0.85   0.77 1.10  0.31  0.7585
