"BZD-intermediate","0.87 (0.33 to  2.24)","0.54 (0.34 to  0.86)",".",".",".","0.85 (0.48 to  1.48)",".",".","1.71 (0.54 to  5.41)","."
"0.96 (0.56 to 1.63)","BZD-long","0.68 (0.39 to  1.22)",".",".",".","0.60 (0.36 to  1.02)",".",".",".","1.35 (0.28 to  6.61)"
"0.57 (0.38 to 0.85)","0.59 (0.37 to 0.95)","BZD-short",".",".",".","1.47 (0.87 to  2.46)",".",".","1.79 (0.79 to  4.08)","2.54 (0.94 to  6.81)"
"1.26 (0.52 to 3.06)","1.31 (0.53 to 3.24)","2.21 (0.92 to 5.29)","doxepin",".",".","0.59 (0.27 to  1.27)",".",".",".","."
"0.80 (0.40 to 1.59)","0.83 (0.41 to 1.69)","1.40 (0.72 to 2.73)","0.63 (0.25 to 1.61)","eszopiclone",".","0.93 (0.55 to  1.58)",".",".",".","."
"0.84 (0.31 to 2.27)","0.88 (0.32 to 2.40)","1.48 (0.56 to 3.92)","0.67 (0.21 to 2.17)","1.06 (0.38 to 2.96)","melatonin","0.88 (0.36 to  2.14)",".",".",".","."
"0.74 (0.48 to 1.16)","0.77 (0.48 to 1.24)","1.30 (0.87 to 1.96)","0.59 (0.27 to 1.27)","0.93 (0.55 to 1.58)","0.88 (0.36 to 2.14)","placebo","1.23 (0.66 to  2.28)","2.41 (0.75 to  7.77)","1.56 (0.69 to  3.55)","1.55 (0.23 to 10.47)"
"0.91 (0.43 to 1.95)","0.95 (0.44 to 2.07)","1.60 (0.76 to 3.35)","0.72 (0.27 to 1.94)","1.14 (0.51 to 2.57)","1.08 (0.37 to 3.18)","1.23 (0.66 to 2.28)","ramelteon",".",".","."
"1.40 (0.42 to 4.62)","1.46 (0.44 to 4.89)","2.46 (0.76 to 7.99)","1.11 (0.29 to 4.33)","1.76 (0.51 to 6.05)","1.66 (0.40 to 6.92)","1.89 (0.62 to 5.78)","1.54 (0.43 to 5.52)","zaleplon","2.71 (0.32 to 22.94)","."
"1.07 (0.52 to 2.20)","1.12 (0.52 to 2.41)","1.89 (0.96 to 3.69)","0.85 (0.31 to 2.38)","1.35 (0.57 to 3.18)","1.27 (0.42 to 3.89)","1.45 (0.74 to 2.85)","1.18 (0.47 to 2.95)","0.77 (0.22 to 2.68)","zolpidem","."
"1.36 (0.56 to 3.35)","1.42 (0.58 to 3.47)","2.40 (1.05 to 5.48)","1.08 (0.34 to 3.50)","1.71 (0.61 to 4.79)","1.62 (0.46 to 5.66)","1.84 (0.76 to 4.45)","1.50 (0.51 to 4.40)","0.98 (0.24 to 4.02)","1.27 (0.44 to 3.63)","zopiclone"
