"BZD-intermediate",".","1.63 (0.52 to  5.12)",".",".",".","1.37 (0.41 to  4.61)",".",".",".",".","."
"2.46 (0.43 to 14.06)","BZD-long","0.32 (0.03 to  3.28)",".",".",".","1.00 (0.13 to  7.60)",".",".",".",".","."
"1.47 (0.56 to  3.86)","0.60 (0.12 to  3.06)","BZD-short",".",".",".","0.97 (0.22 to  4.23)",".",".",".",".","2.54 (1.05 to  6.13)"
"2.24 (0.56 to  8.98)","0.91 (0.14 to  5.85)","1.52 (0.37 to  6.30)","doxepin",".",".","0.69 (0.26 to  1.81)",".",".",".",".","."
"1.59 (0.53 to  4.71)","0.64 (0.12 to  3.35)","1.08 (0.35 to  3.34)","0.71 (0.24 to  2.05)","eszopiclone",".","0.97 (0.63 to  1.51)",".",".",".",".","."
"1.81 (0.59 to  5.52)","0.73 (0.14 to  3.89)","1.23 (0.39 to  3.90)","0.81 (0.27 to  2.40)","1.14 (0.58 to  2.22)","melatonin","0.85 (0.52 to  1.41)",".",".",".",".","."
"1.54 (0.57 to  4.17)","0.62 (0.13 to  3.07)","1.05 (0.37 to  2.97)","0.69 (0.26 to  1.81)","0.97 (0.63 to  1.51)","0.85 (0.52 to  1.41)","placebo","2.33 (0.17 to 32.58)","0.83 (0.51 to  1.36)","0.89 (0.50 to  1.59)","0.57 (0.31 to  1.08)","."
"3.59 (0.21 to 60.18)","1.46 (0.07 to 31.71)","2.44 (0.14 to 41.60)","1.61 (0.10 to 26.62)","2.26 (0.16 to 32.80)","1.99 (0.14 to 29.13)","2.33 (0.17 to 32.58)","quetiapine",".",".",".","."
"1.28 (0.42 to  3.89)","0.52 (0.10 to  2.75)","0.87 (0.28 to  2.76)","0.57 (0.19 to  1.69)","0.81 (0.42 to  1.56)","0.71 (0.35 to  1.43)","0.83 (0.51 to  1.36)","0.36 (0.02 to  5.22)","ramelteon",".",".","."
"1.22 (0.39 to  3.80)","0.49 (0.09 to  2.66)","0.83 (0.26 to  2.69)","0.54 (0.18 to  1.66)","0.77 (0.38 to  1.55)","0.67 (0.32 to  1.42)","0.79 (0.46 to  1.37)","0.34 (0.02 to  5.01)","0.95 (0.46 to  1.97)","zaleplon","0.99 (0.61 to  1.60)","."
"1.06 (0.33 to  3.37)","0.43 (0.08 to  2.35)","0.72 (0.22 to  2.38)","0.47 (0.15 to  1.47)","0.67 (0.32 to  1.39)","0.59 (0.27 to  1.27)","0.69 (0.38 to  1.24)","0.29 (0.02 to  4.39)","0.82 (0.38 to  1.77)","0.87 (0.54 to  1.39)","zolpidem","."
"3.73 (1.01 to 13.79)","1.51 (0.24 to  9.71)","2.54 (1.05 to  6.13)","1.67 (0.31 to  8.87)","2.35 (0.56 to  9.85)","2.06 (0.48 to  8.83)","2.42 (0.62 to  9.47)","1.04 (0.05 to 20.20)","2.90 (0.68 to 12.35)","3.06 (0.70 to 13.30)","3.52 (0.80 to 15.56)","zopiclone"
