"BZD-intermediate","0.92 (0.38 to  2.20)","0.59 (0.46 to  0.76)",".",".",".",".",".",".",".","0.81 (0.53 to  1.22)",".",".",".","1.45 (0.27 to  7.78)","1.24 (0.34 to  4.56)",".","0.70 (0.38 to  1.28)","2.03 (0.18 to 22.82)"
"0.83 (0.59 to  1.18)","BZD-long","0.83 (0.58 to  1.19)",".",".",".",".",".",".",".","0.67 (0.45 to  1.01)",".",".",".",".",".",".",".","0.79 (0.53 to  1.20)"
"0.63 (0.50 to  0.78)","0.75 (0.56 to  1.02)","BZD-short",".",".",".",".",".",".",".","0.88 (0.64 to  1.21)",".",".",".",".",".","0.22 (0.01 to  4.29)","1.89 (0.96 to  3.72)","1.10 (0.76 to  1.58)"
"0.49 (0.29 to  0.84)","0.59 (0.34 to  1.04)","0.79 (0.47 to  1.32)","daridorexant",".",".",".",".",".",".","1.32 (0.82 to  2.12)",".",".",".",".",".",".","0.49 (0.07 to  3.55)","."
"0.40 (0.14 to  1.16)","0.48 (0.16 to  1.42)","0.64 (0.22 to  1.84)","0.81 (0.26 to  2.51)","diphenydramine",".",".",".",".",".","1.55 (0.55 to  4.32)",".",".",".",".",".",".",".","."
"0.69 (0.41 to  1.16)","0.83 (0.48 to  1.43)","1.10 (0.67 to  1.82)","1.40 (0.74 to  2.66)","1.72 (0.56 to  5.27)","doxepin",".",".",".",".","0.86 (0.54 to  1.37)","1.22 (0.51 to  2.95)",".",".",".",".",".",".","."
"1.14 (0.45 to  2.84)","1.37 (0.54 to  3.49)","1.81 (0.73 to  4.51)","2.31 (0.85 to  6.25)","2.83 (0.73 to 10.98)","1.65 (0.61 to  4.42)","doxylamine",".",".",".","0.54 (0.21 to  1.44)",".",".",".",".",".",".","0.65 (0.24 to  1.75)","."
"0.77 (0.54 to  1.11)","0.93 (0.63 to  1.38)","1.23 (0.88 to  1.73)","1.57 (0.92 to  2.68)","1.93 (0.67 to  5.57)","1.12 (0.67 to  1.88)","0.68 (0.27 to  1.71)","eszopiclone",".",".","0.81 (0.60 to  1.10)",".",".",".",".",".",".",".","0.85 (0.52 to  1.39)"
"0.86 (0.55 to  1.36)","1.04 (0.63 to  1.70)","1.37 (0.88 to  2.14)","1.75 (0.96 to  3.18)","2.15 (0.72 to  6.42)","1.25 (0.70 to  2.24)","0.76 (0.29 to  1.97)","1.12 (0.70 to  1.77)","lemborexant",".","0.84 (0.56 to  1.26)",".",".",".",".",".",".","0.47 (0.24 to  0.95)","."
"0.68 (0.39 to  1.17)","0.81 (0.46 to  1.45)","1.08 (0.63 to  1.85)","1.37 (0.70 to  2.68)","1.69 (0.54 to  5.25)","0.98 (0.51 to  1.89)","0.60 (0.22 to  1.63)","0.88 (0.50 to  1.52)","0.78 (0.42 to  1.45)","melatonin","0.92 (0.57 to  1.49)",".",".",".",".",".",".",".","."
"0.62 (0.48 to  0.81)","0.75 (0.54 to  1.03)","0.99 (0.78 to  1.26)","1.26 (0.79 to  2.00)","1.55 (0.55 to  4.32)","0.90 (0.58 to  1.40)","0.55 (0.23 to  1.32)","0.80 (0.61 to  1.05)","0.72 (0.49 to  1.05)","0.92 (0.57 to  1.49)","placebo","0.85 (0.71 to  1.02)","2.60 (0.84 to  7.99)","1.18 (0.75 to  1.86)","0.65 (0.24 to  1.78)","1.07 (0.28 to  4.04)","1.05 (0.73 to  1.51)","1.20 (0.99 to  1.47)","1.04 (0.69 to  1.55)"
"0.54 (0.39 to  0.74)","0.65 (0.45 to  0.93)","0.86 (0.64 to  1.16)","1.09 (0.66 to  1.79)","1.34 (0.47 to  3.80)","0.78 (0.49 to  1.24)","0.47 (0.19 to  1.16)","0.70 (0.50 to  0.96)","0.62 (0.41 to  0.95)","0.80 (0.47 to  1.33)","0.87 (0.72 to  1.04)","ramelteon",".",".",".",".",".",".","."
"1.47 (0.53 to  4.09)","1.77 (0.62 to  5.01)","2.34 (0.85 to  6.49)","2.98 (1.00 to  8.91)","3.66 (0.88 to 15.28)","2.13 (0.72 to  6.31)","1.29 (0.34 to  4.86)","1.90 (0.68 to  5.32)","1.70 (0.59 to  4.92)","2.17 (0.72 to  6.55)","2.36 (0.88 to  6.38)","2.73 (1.00 to  7.49)","seltorexant",".",".",".",".","0.58 (0.16 to  2.03)","."
"0.73 (0.43 to  1.24)","0.88 (0.50 to  1.53)","1.17 (0.70 to  1.95)","1.48 (0.78 to  2.84)","1.82 (0.59 to  5.61)","1.06 (0.56 to  2.00)","0.64 (0.24 to  1.74)","0.95 (0.56 to  1.61)","0.85 (0.47 to  1.53)","1.08 (0.56 to  2.10)","1.18 (0.75 to  1.86)","1.36 (0.83 to  2.22)","0.50 (0.17 to  1.48)","suvorexant",".",".",".",".","."
"0.72 (0.34 to  1.55)","0.87 (0.39 to  1.92)","1.15 (0.54 to  2.47)","1.46 (0.61 to  3.50)","1.80 (0.51 to  6.37)","1.04 (0.44 to  2.47)","0.63 (0.20 to  1.99)","0.93 (0.42 to  2.05)","0.84 (0.37 to  1.91)","1.07 (0.44 to  2.58)","1.16 (0.55 to  2.43)","1.34 (0.63 to  2.87)","0.49 (0.14 to  1.68)","0.98 (0.41 to  2.35)","trazodone",".",".","0.92 (0.37 to  2.27)","."
"0.92 (0.29 to  2.91)","1.11 (0.34 to  3.63)","1.47 (0.46 to  4.69)","1.87 (0.54 to  6.48)","2.30 (0.49 to 10.76)","1.34 (0.39 to  4.59)","0.81 (0.19 to  3.46)","1.20 (0.37 to  3.89)","1.07 (0.32 to  3.59)","1.37 (0.39 to  4.76)","1.49 (0.47 to  4.70)","1.72 (0.54 to  5.51)","0.63 (0.14 to  2.87)","1.26 (0.37 to  4.35)","1.28 (0.33 to  5.00)","trimipramine",".",".","."
"0.68 (0.46 to  1.01)","0.82 (0.53 to  1.27)","1.09 (0.75 to  1.59)","1.39 (0.80 to  2.41)","1.70 (0.58 to  4.97)","0.99 (0.58 to  1.70)","0.60 (0.24 to  1.52)","0.88 (0.59 to  1.33)","0.79 (0.49 to  1.28)","1.01 (0.57 to  1.79)","1.10 (0.81 to  1.49)","1.27 (0.89 to  1.81)","0.47 (0.17 to  1.31)","0.93 (0.54 to  1.61)","0.95 (0.43 to  2.09)","0.74 (0.23 to  2.43)","zaleplon","1.07 (0.71 to  1.63)","."
"0.74 (0.55 to  1.00)","0.89 (0.62 to  1.27)","1.18 (0.89 to  1.56)","1.50 (0.91 to  2.47)","1.85 (0.65 to  5.24)","1.07 (0.66 to  1.73)","0.65 (0.27 to  1.58)","0.96 (0.69 to  1.32)","0.86 (0.58 to  1.28)","1.10 (0.65 to  1.84)","1.19 (0.99 to  1.43)","1.38 (1.06 to  1.78)","0.50 (0.19 to  1.37)","1.01 (0.62 to  1.65)","1.03 (0.49 to  2.15)","0.80 (0.25 to  2.56)","1.08 (0.79 to  1.48)","zolpidem","."
