"BZD-intermediate","0.90 (0.36 to  2.22)","0.63 (0.46 to  0.87)",".",".",".",".",".",".",".","0.81 (0.53 to  1.25)",".",".",".","1.45 (0.27 to  7.96)","1.24 (0.33 to  4.69)",".","0.71 (0.38 to  1.35)","2.03 (0.18 to 23.17)"
"0.89 (0.60 to  1.30)","BZD-long","0.84 (0.56 to  1.24)",".",".",".",".",".",".",".","0.67 (0.43 to  1.04)",".",".",".",".",".",".",".","0.79 (0.50 to  1.27)"
"0.67 (0.51 to  0.88)","0.76 (0.55 to  1.06)","BZD-short",".",".",".",".",".",".",".","0.89 (0.62 to  1.27)",".",".",".",".",".","0.22 (0.01 to  4.35)","1.89 (0.94 to  3.79)","1.12 (0.74 to  1.71)"
"0.53 (0.30 to  0.94)","0.60 (0.33 to  1.10)","0.79 (0.45 to  1.39)","daridorexant",".",".",".",".",".",".","1.32 (0.80 to  2.19)",".",".",".",".",".",".","0.49 (0.07 to  3.62)","."
"0.43 (0.14 to  1.30)","0.49 (0.16 to  1.49)","0.64 (0.21 to  1.91)","0.81 (0.25 to  2.62)","diphenydramine",".",".",".",".",".","1.55 (0.53 to  4.48)",".",".",".",".",".",".",".","."
"0.74 (0.43 to  1.28)","0.84 (0.47 to  1.50)","1.10 (0.65 to  1.88)","1.40 (0.71 to  2.76)","1.73 (0.54 to  5.51)","doxepin",".",".",".",".","0.85 (0.53 to  1.39)","1.22 (0.49 to  3.08)",".",".",".",".",".",".","."
"1.19 (0.46 to  3.10)","1.35 (0.51 to  3.57)","1.77 (0.69 to  4.58)","2.25 (0.79 to  6.36)","2.77 (0.68 to 11.28)","1.61 (0.58 to  4.48)","doxylamine",".",".",".","0.54 (0.20 to  1.49)",".",".",".",".",".",".","0.65 (0.24 to  1.82)","."
"0.83 (0.55 to  1.24)","0.93 (0.60 to  1.44)","1.23 (0.84 to  1.79)","1.56 (0.87 to  2.79)","1.92 (0.63 to  5.80)","1.11 (0.64 to  1.94)","0.69 (0.26 to  1.82)","eszopiclone",".",".","0.82 (0.58 to  1.16)",".",".",".",".",".",".",".","0.86 (0.51 to  1.45)"
"0.93 (0.56 to  1.54)","1.05 (0.61 to  1.80)","1.39 (0.85 to  2.26)","1.75 (0.92 to  3.36)","2.16 (0.69 to  6.79)","1.25 (0.67 to  2.34)","0.78 (0.29 to  2.13)","1.13 (0.67 to  1.89)","lemborexant",".","0.82 (0.53 to  1.29)",".",".",".",".",".",".","0.47 (0.23 to  1.00)","."
"0.72 (0.40 to  1.31)","0.82 (0.44 to  1.53)","1.08 (0.60 to  1.93)","1.36 (0.66 to  2.80)","1.68 (0.51 to  5.50)","0.97 (0.49 to  1.96)","0.61 (0.21 to  1.74)","0.88 (0.48 to  1.60)","0.78 (0.40 to  1.51)","melatonin","0.92 (0.55 to  1.55)",".",".",".",".",".",".",".","."
