"BZD-intermediate","0.73 (0.33 to  1.60)","0.59 (0.46 to  0.77)",".",".",".",".",".",".",".","0.81 (0.54 to  1.22)",".",".",".","1.45 (0.27 to  7.78)","1.24 (0.34 to  4.56)",".","0.70 (0.39 to  1.26)","2.03 (0.18 to 22.82)"
"0.84 (0.60 to  1.19)","BZD-long","0.83 (0.58 to  1.19)",".",".",".",".",".",".",".","0.67 (0.45 to  0.99)",".",".",".",".",".",".",".","0.79 (0.53 to  1.19)"
"0.63 (0.51 to  0.79)","0.75 (0.55 to  1.01)","BZD-short",".",".",".",".",".",".",".","0.91 (0.66 to  1.24)",".",".",".",".",".",".","1.92 (0.99 to  3.71)","1.10 (0.77 to  1.57)"
"0.50 (0.30 to  0.86)","0.60 (0.34 to  1.05)","0.80 (0.47 to  1.35)","daridorexant",".",".",".",".",".",".","1.32 (0.82 to  2.12)",".",".",".",".",".",".","0.49 (0.07 to  3.55)","."
"0.41 (0.14 to  1.19)","0.49 (0.17 to  1.43)","0.65 (0.23 to  1.87)","0.81 (0.26 to  2.52)","diphenydramine",".",".",".",".",".","1.55 (0.55 to  4.32)",".",".",".",".",".",".",".","."
"0.71 (0.43 to  1.19)","0.84 (0.49 to  1.45)","1.13 (0.68 to  1.86)","1.41 (0.74 to  2.68)","1.73 (0.57 to  5.30)","doxepin",".",".",".",".","0.85 (0.54 to  1.35)","1.22 (0.51 to  2.95)",".",".",".",".",".",".","."
"1.16 (0.46 to  2.89)","1.37 (0.54 to  3.50)","1.83 (0.74 to  4.56)","2.29 (0.85 to  6.22)","2.82 (0.73 to 10.92)","1.63 (0.61 to  4.36)","doxylamine",".",".",".","0.54 (0.21 to  1.44)",".",".",".",".",".",".","0.65 (0.24 to  1.75)","."
"0.78 (0.54 to  1.12)","0.92 (0.62 to  1.37)","1.23 (0.88 to  1.73)","1.55 (0.90 to  2.65)","1.90 (0.66 to  5.49)","1.10 (0.65 to  1.83)","0.67 (0.27 to  1.70)","eszopiclone",".",".","0.83 (0.61 to  1.12)",".",".",".",".",".",".",".","0.85 (0.53 to  1.39)"
"0.88 (0.56 to  1.39)","1.04 (0.64 to  1.70)","1.39 (0.89 to  2.17)","1.74 (0.96 to  3.17)","2.14 (0.72 to  6.39)","1.23 (0.69 to  2.20)","0.76 (0.29 to  1.98)","1.13 (0.71 to  1.79)","lemborexant",".","0.84 (0.56 to  1.26)",".",".",".",".",".",".","0.47 (0.24 to  0.95)","."
"0.69 (0.40 to  1.19)","0.82 (0.46 to  1.45)","1.09 (0.64 to  1.86)","1.37 (0.70 to  2.67)","1.68 (0.54 to  5.22)","0.97 (0.51 to  1.86)","0.60 (0.22 to  1.63)","0.88 (0.51 to  1.53)","0.78 (0.43 to  1.44)","melatonin","0.92 (0.57 to  1.49)",".",".",".",".",".",".",".","."
"0.64 (0.49 to  0.83)","0.75 (0.55 to  1.04)","1.01 (0.79 to  1.28)","1.26 (0.79 to  2.01)","1.55 (0.55 to  4.32)","0.89 (0.58 to  1.39)","0.55 (0.23 to  1.33)","0.82 (0.62 to  1.07)","0.72 (0.50 to  1.05)","0.92 (0.57 to  1.49)","placebo","0.85 (0.71 to  1.02)","2.60 (0.84 to  7.99)","1.18 (0.75 to  1.86)","0.65 (0.24 to  1.78)","1.07 (0.28 to  4.04)","1.02 (0.71 to  1.45)","1.19 (0.98 to  1.45)","1.04 (0.69 to  1.55)"
"0.55 (0.40 to  0.75)","0.65 (0.45 to  0.94)","0.87 (0.65 to  1.17)","1.09 (0.66 to  1.79)","1.34 (0.47 to  3.79)","0.77 (0.49 to  1.22)","0.47 (0.19 to  1.17)","0.70 (0.51 to  0.97)","0.62 (0.41 to  0.95)","0.80 (0.48 to  1.33)","0.86 (0.72 to  1.03)","ramelteon",".",".",".",".",".",".","."
"1.50 (0.54 to  4.17)","1.77 (0.63 to  5.03)","2.37 (0.86 to  6.56)","2.97 (0.99 to  8.88)","3.64 (0.87 to 15.21)","2.10 (0.71 to  6.23)","1.29 (0.34 to  4.86)","1.92 (0.69 to  5.37)","1.70 (0.59 to  4.91)","2.17 (0.72 to  6.53)","2.35 (0.87 to  6.35)","2.73 (0.99 to  7.48)","seltorexant",".",".",".",".","0.58 (0.16 to  2.03)","."
"0.75 (0.44 to  1.27)","0.89 (0.51 to  1.55)","1.19 (0.71 to  1.98)","1.49 (0.78 to  2.85)","1.83 (0.59 to  5.61)","1.05 (0.56 to  1.98)","0.65 (0.24 to  1.75)","0.96 (0.57 to  1.63)","0.85 (0.47 to  1.54)","1.09 (0.56 to  2.10)","1.18 (0.75 to  1.86)","1.37 (0.84 to  2.23)","0.50 (0.17 to  1.49)","suvorexant",".",".",".",".","."
"0.73 (0.34 to  1.57)","0.87 (0.39 to  1.92)","1.16 (0.54 to  2.48)","1.45 (0.60 to  3.47)","1.78 (0.50 to  6.31)","1.03 (0.43 to  2.43)","0.63 (0.20 to  1.98)","0.94 (0.43 to  2.06)","0.83 (0.36 to  1.90)","1.06 (0.44 to  2.56)","1.15 (0.55 to  2.41)","1.33 (0.62 to  2.85)","0.49 (0.14 to  1.67)","0.97 (0.41 to  2.32)","trazodone",".",".","0.92 (0.37 to  2.27)","."
"0.93 (0.30 to  2.95)","1.11 (0.34 to  3.61)","1.48 (0.46 to  4.71)","1.85 (0.54 to  6.41)","2.27 (0.49 to 10.63)","1.31 (0.38 to  4.50)","0.81 (0.19 to  3.44)","1.20 (0.37 to  3.90)","1.06 (0.32 to  3.56)","1.35 (0.39 to  4.71)","1.47 (0.46 to  4.64)","1.70 (0.53 to  5.45)","0.62 (0.14 to  2.85)","1.25 (0.36 to  4.29)","1.28 (0.33 to  4.99)","trimipramine",".",".","."
"0.68 (0.46 to  1.00)","0.80 (0.52 to  1.24)","1.07 (0.73 to  1.57)","1.34 (0.77 to  2.34)","1.65 (0.56 to  4.81)","0.95 (0.56 to  1.62)","0.58 (0.23 to  1.48)","0.87 (0.58 to  1.30)","0.77 (0.48 to  1.24)","0.98 (0.56 to  1.73)","1.06 (0.78 to  1.44)","1.23 (0.87 to  1.75)","0.45 (0.16 to  1.27)","0.90 (0.52 to  1.56)","0.93 (0.42 to  2.04)","0.72 (0.22 to  2.38)","zaleplon","1.10 (0.72 to  1.66)","."
"0.75 (0.56 to  1.01)","0.89 (0.62 to  1.27)","1.19 (0.90 to  1.57)","1.49 (0.90 to  2.44)","1.82 (0.64 to  5.18)","1.05 (0.65 to  1.69)","0.65 (0.27 to  1.57)","0.96 (0.70 to  1.33)","0.85 (0.57 to  1.27)","1.09 (0.65 to  1.81)","1.18 (0.98 to  1.41)","1.37 (1.06 to  1.76)","0.50 (0.18 to  1.36)","1.00 (0.61 to  1.63)","1.03 (0.49 to  2.15)","0.80 (0.25 to  2.56)","1.11 (0.81 to  1.52)","zolpidem","."
"0.69 (0.49 to  0.96)","0.81 (0.58 to  1.14)","1.09 (0.82 to  1.45)","1.36 (0.79 to  2.35)","1.67 (0.58 to  4.85)","0.97 (0.57 to  1.63)","0.59 (0.24 to  1.50)","0.88 (0.64 to  1.22)","0.78 (0.49 to  1.25)","1.00 (0.57 to  1.74)","1.08 (0.82 to  1.43)","1.25 (0.90 to  1.75)","0.46 (0.16 to  1.29)","0.92 (0.54 to  1.56)","0.94 (0.43 to  2.06)","0.74 (0.23 to  2.38)","1.02 (0.67 to  1.53)","0.92 (0.66 to  1.27)","zopiclone"
