Separate indirect from direct design evidence (SIDDE)

Fixed effects model: 

                      comparison  k  nma direct indir.  RoR     z p-value
       BZD-intermediate:BZD-long  2 0.84   0.73   0.81 0.90 -0.25  0.8031
      BZD-intermediate:BZD-short  4 0.63   0.59   0.76 0.78 -0.93  0.3499
   BZD-intermediate:daridorexant  0 0.50      .   0.50    .     .       .
 BZD-intermediate:diphenydramine  0 0.41      .   0.41    .     .       .
        BZD-intermediate:doxepin  0 0.71      .   0.71    .     .       .
     BZD-intermediate:doxylamine  0 1.16      .   1.16    .     .       .
    BZD-intermediate:eszopiclone  0 0.78      .   0.78    .     .       .
    BZD-intermediate:lemborexant  0 0.88      .   0.88    .     .       .
      BZD-intermediate:melatonin  0 0.69      .   0.69    .     .       .
        BZD-intermediate:placebo  7 0.64   0.81   0.51 1.59  1.70  0.0899
      BZD-intermediate:ramelteon  0 0.55      .   0.55    .     .       .
    BZD-intermediate:seltorexant  0 1.50      .   1.50    .     .       .
     BZD-intermediate:suvorexant  0 0.75      .   0.75    .     .       .
      BZD-intermediate:trazodone  1 0.73   1.45   0.61 2.38  0.90  0.3670
   BZD-intermediate:trimipramine  1 0.93   1.24      .    .     .       .
       BZD-intermediate:zaleplon  0 0.68      .   0.68    .     .       .
       BZD-intermediate:zolpidem  3 0.75   0.70   0.75 0.94 -0.19  0.8470
      BZD-intermediate:zopiclone  1 0.69   2.03   0.67 3.01  0.88  0.3769
              BZD-long:BZD-short  5 0.75   0.83   0.55 1.51  1.13  0.2565
           BZD-long:daridorexant  0 0.60      .   0.60    .     .       .
         BZD-long:diphenydramine  0 0.49      .   0.49    .     .       .
                BZD-long:doxepin  0 0.84      .   0.84    .     .       .
             BZD-long:doxylamine  0 1.37      .   1.37    .     .       .
            BZD-long:eszopiclone  0 0.92      .   0.92    .     .       .
            BZD-long:lemborexant  0 1.04      .   1.04    .     .       .
              BZD-long:melatonin  0 0.82      .   0.82    .     .       .
                BZD-long:placebo  5 0.75   0.67   0.90 0.74 -0.89  0.3749
              BZD-long:ramelteon  0 0.65      .   0.65    .     .       .
            BZD-long:seltorexant  0 1.77      .   1.77    .     .       .
             BZD-long:suvorexant  0 0.89      .   0.89    .     .       .
              BZD-long:trazodone  0 0.87      .   0.87    .     .       .
           BZD-long:trimipramine  0 1.11      .   1.11    .     .       .
               BZD-long:zaleplon  0 0.80      .   0.80    .     .       .
               BZD-long:zolpidem  0 0.89      .   0.89    .     .       .
              BZD-long:zopiclone  4 0.81   0.79   0.93 0.85 -0.43  0.6652
          BZD-short:daridorexant  0 0.80      .   0.80    .     .       .
        BZD-short:diphenydramine  0 0.65      .   0.65    .     .       .
