"BZD-intermediate","0.12 (-0.16 to  0.41)",".",".",".",".","0.52 ( 0.24 to  0.80)",".",".",".","."
"0.15 (-0.10 to  0.39)","BZD-long","-0.35 (-0.70 to  0.00)",".",".",".","0.45 ( 0.25 to  0.66)",".",".",".","0.11 (-0.24 to  0.45)"
"-0.05 (-0.38 to  0.28)","-0.19 (-0.45 to  0.06)","BZD-short",".",".",".","0.49 (-0.12 to  1.09)",".",".","-0.04 (-0.40 to  0.31)","0.26 (-0.33 to  0.85)"
"0.30 (-0.05 to  0.65)","0.15 (-0.16 to  0.47)","0.35 (-0.02 to  0.71)","doxepin",".",".","0.28 ( 0.03 to  0.53)",".",".",".","."
"0.15 (-0.14 to  0.44)","0.00 (-0.24 to  0.25)","0.20 (-0.11 to  0.50)","-0.15 (-0.45 to  0.15)","eszopiclone",".","0.43 ( 0.27 to  0.59)",".",".",".","."
"0.39 ( 0.06 to  0.71)","0.24 (-0.04 to  0.53)","0.43 ( 0.10 to  0.77)","0.09 (-0.25 to  0.42)","0.24 (-0.03 to  0.51)","melatonin","0.19 (-0.02 to  0.41)",".",".",".","."
"0.58 ( 0.34 to  0.82)","0.43 ( 0.25 to  0.62)","0.63 ( 0.37 to  0.89)","0.28 ( 0.03 to  0.53)","0.43 ( 0.27 to  0.59)","0.19 (-0.02 to  0.41)","placebo","-0.01 (-0.29 to  0.27)","-0.20 (-0.42 to  0.01)","-0.51 (-0.72 to -0.29)","-0.53 (-1.08 to  0.02)"
"0.57 ( 0.20 to  0.94)","0.42 ( 0.09 to  0.76)","0.62 ( 0.24 to  1.00)","0.27 (-0.11 to  0.65)","0.42 ( 0.10 to  0.74)","0.18 (-0.17 to  0.54)","-0.01 (-0.29 to  0.27)","ramelteon",".",".","."
"0.34 ( 0.03 to  0.65)","0.19 (-0.07 to  0.46)","0.39 ( 0.07 to  0.70)","0.04 (-0.28 to  0.36)","0.19 (-0.07 to  0.44)","-0.05 (-0.34 to  0.25)","-0.24 (-0.44 to -0.04)","-0.23 (-0.58 to  0.11)","zaleplon","-0.17 (-0.47 to  0.13)","."
"0.05 (-0.25 to  0.35)","-0.10 (-0.34 to  0.15)","0.10 (-0.17 to  0.36)","-0.25 (-0.57 to  0.07)","-0.10 (-0.35 to  0.15)","-0.34 (-0.63 to -0.05)","-0.53 (-0.72 to -0.34)","-0.52 (-0.86 to -0.18)","-0.29 (-0.52 to -0.05)","zolpidem","."
"0.22 (-0.14 to  0.59)","0.08 (-0.22 to  0.37)","0.27 (-0.07 to  0.61)","-0.08 (-0.48 to  0.33)","0.07 (-0.28 to  0.43)","-0.16 (-0.55 to  0.22)","-0.36 (-0.67 to -0.04)","-0.35 (-0.77 to  0.08)","-0.11 (-0.48 to  0.26)","0.17 (-0.18 to  0.52)","zopiclone"
