"BZD-intermediate","0.14 (-0.25 to  0.52)",".",".","0.12 (-0.30 to  0.55)",".",".","1.29 ( 1.10 to  1.49)",".","-0.14 (-0.50 to  0.21)","0.28 (-0.37 to  0.93)",".","0.24 (-0.38 to  0.86)","."
"0.52 ( 0.28 to  0.76)","BZD-long","-0.10 (-1.23 to  1.04)",".",".",".",".","0.26 ( 0.00 to  0.53)",".",".",".",".",".","-0.00 (-0.29 to  0.29)"
"0.60 ( 0.28 to  0.93)","0.08 (-0.26 to  0.43)","BZD-short",".",".",".",".",".",".",".",".",".","-0.04 (-0.33 to  0.24)","."
"0.79 ( 0.61 to  0.98)","0.27 ( 0.04 to  0.51)","0.19 (-0.11 to  0.49)","daridorexant",".",".",".","0.26 ( 0.16 to  0.35)",".",".",".",".","-0.03 (-0.34 to  0.28)","."
"0.38 ( 0.18 to  0.57)","-0.14 (-0.37 to  0.09)","-0.23 (-0.55 to  0.09)","-0.42 (-0.59 to -0.24)","eszopiclone",".",".","0.68 ( 0.51 to  0.84)",".",".",".",".",".","0.04 (-0.15 to  0.23)"
"0.66 ( 0.48 to  0.84)","0.14 (-0.09 to  0.37)","0.06 (-0.24 to  0.35)","-0.13 (-0.27 to  0.00)","0.28 ( 0.11 to  0.45)","lemborexant",".","0.38 ( 0.28 to  0.49)",".",".",".",".","-0.04 (-0.18 to  0.11)","."
"0.72 ( 0.27 to  1.17)","0.20 (-0.27 to  0.68)","0.12 (-0.39 to  0.63)","-0.07 (-0.50 to  0.36)","0.35 (-0.10 to  0.79)","0.06 (-0.37 to  0.50)","melatonin","0.34 (-0.08 to  0.76)",".",".",".",".",".","."
"1.06 ( 0.91 to  1.22)","0.55 ( 0.33 to  0.76)","0.46 ( 0.17 to  0.75)","0.27 ( 0.18 to  0.37)","0.69 ( 0.54 to  0.83)","0.41 ( 0.31 to  0.50)","0.34 (-0.08 to  0.76)","placebo","-0.01 (-0.19 to  0.17)","-0.22 (-0.49 to  0.06)","-0.73 (-1.39 to -0.07)","-0.09 (-0.25 to  0.06)","-0.48 (-0.56 to -0.39)","-0.53 (-1.03 to -0.02)"
"1.05 ( 0.81 to  1.30)","0.54 ( 0.25 to  0.82)","0.45 ( 0.11 to  0.79)","0.26 ( 0.05 to  0.47)","0.68 ( 0.44 to  0.91)","0.40 ( 0.19 to  0.60)","0.33 (-0.13 to  0.79)","-0.01 (-0.19 to  0.17)","ramelteon",".",".",".",".","."
"0.43 ( 0.21 to  0.66)","-0.09 (-0.38 to  0.21)","-0.17 (-0.52 to  0.18)","-0.36 (-0.59 to -0.13)","0.06 (-0.19 to  0.31)","-0.22 (-0.45 to  0.00)","-0.29 (-0.76 to  0.18)","-0.63 (-0.84 to -0.42)","-0.62 (-0.90 to -0.34)","trazodone",".",".","0.03 (-0.25 to  0.31)","."
"0.31 (-0.26 to  0.87)","-0.21 (-0.81 to  0.39)","-0.30 (-0.93 to  0.34)","-0.49 (-1.06 to  0.09)","-0.07 (-0.65 to  0.51)","-0.35 (-0.92 to  0.22)","-0.42 (-1.12 to  0.29)","-0.76 (-1.32 to -0.19)","-0.75 (-1.34 to -0.15)","-0.13 (-0.72 to  0.47)","trimipramine",".",".","."
"0.94 ( 0.73 to  1.15)","0.42 ( 0.16 to  0.67)","0.33 ( 0.02 to  0.65)","0.14 (-0.03 to  0.32)","0.56 ( 0.36 to  0.76)","0.28 ( 0.11 to  0.45)","0.21 (-0.23 to  0.66)","-0.13 (-0.27 to  0.02)","-0.12 (-0.35 to  0.12)","0.50 ( 0.25 to  0.75)","0.63 ( 0.05 to  1.21)","zaleplon","-0.29 (-0.53 to -0.05)","."
"0.57 ( 0.40 to  0.74)","0.05 (-0.17 to  0.28)","-0.03 (-0.31 to  0.25)","-0.22 (-0.34 to -0.10)","0.19 ( 0.03 to  0.36)","-0.09 (-0.19 to  0.02)","-0.15 (-0.58 to  0.28)","-0.49 (-0.57 to -0.41)","-0.48 (-0.68 to -0.28)","0.14 (-0.07 to  0.35)","0.26 (-0.30 to  0.83)","-0.37 (-0.52 to -0.21)","zolpidem","."
"0.45 ( 0.22 to  0.69)","-0.07 (-0.29 to  0.16)","-0.15 (-0.50 to  0.20)","-0.34 (-0.56 to -0.12)","0.08 (-0.09 to  0.24)","-0.21 (-0.43 to  0.01)","-0.27 (-0.74 to  0.20)","-0.61 (-0.81 to -0.41)","-0.60 (-0.87 to -0.33)","0.02 (-0.26 to  0.30)","0.15 (-0.45 to  0.74)","-0.48 (-0.73 to -0.24)","-0.12 (-0.33 to  0.09)","zopiclone"
