"BZD-intermediate","0.44 (0.16 to  1.25)","1.11 (0.36 to  3.43)",".",".",".",".",".",".",".","1.28 (0.68 to  2.42)",".",".","0.38 (0.02 to  7.26)",".",".","2.03 (0.18 to 22.82)"
"0.81 (0.42 to  1.55)","BZD-long","0.68 (0.32 to  1.45)",".",".",".",".",".",".",".","1.71 (0.77 to  3.80)",".",".",".",".",".","0.51 (0.20 to  1.27)"
"0.85 (0.46 to  1.58)","1.06 (0.60 to  1.87)","BZD-short",".",".",".",".",".",".",".","1.29 (0.69 to  2.41)",".",".",".",".","1.36 (0.31 to  5.98)","0.79 (0.30 to  2.07)"
"1.14 (0.12 to 10.42)","1.41 (0.15 to 12.94)","1.33 (0.15 to 11.98)","daridorexant",".",".",".",".",".",".","1.51 (0.06 to 37.53)",".",".",".",".","0.49 (0.05 to  4.85)","."
"0.32 (0.03 to  3.15)","0.40 (0.04 to  3.92)","0.38 (0.04 to  3.64)","0.28 (0.01 to  6.20)","diphenydramine",".",".",".",".",".","4.30 (0.47 to 39.49)",".",".",".",".",".","."
"0.82 (0.22 to  3.12)","1.02 (0.27 to  3.90)","0.96 (0.26 to  3.57)","0.72 (0.06 to  8.57)","2.56 (0.20 to 32.15)","doxepin",".",".",".",".","1.93 (0.48 to  7.72)","1.00 (0.20 to  5.06)",".",".",".",".","."
"1.69 (0.32 to  8.92)","2.09 (0.39 to 11.10)","1.97 (0.38 to 10.21)","1.48 (0.10 to 20.89)","5.24 (0.34 to 79.99)","2.05 (0.28 to 15.18)","doxylamine",".",".",".","0.65 (0.11 to  3.96)",".",".",".",".","0.41 (0.08 to  2.18)","."
"0.92 (0.31 to  2.75)","1.14 (0.39 to  3.29)","1.08 (0.38 to  3.04)","0.81 (0.08 to  8.47)","2.86 (0.25 to 32.52)","1.12 (0.23 to  5.39)","0.54 (0.09 to  3.47)","eszopiclone",".",".",".",".",".",".",".",".","0.57 (0.24 to  1.35)"
"1.48 (0.42 to  5.25)","1.84 (0.52 to  6.54)","1.73 (0.50 to  5.96)","1.30 (0.12 to 14.48)","4.60 (0.38 to 56.18)","1.80 (0.33 to  9.71)","0.88 (0.13 to  6.04)","1.61 (0.36 to  7.21)","lemborexant",".","0.97 (0.19 to  5.05)",".",".",".",".","0.40 (0.12 to  1.34)","."
"0.92 (0.14 to  5.97)","1.14 (0.17 to  7.46)","1.07 (0.17 to  6.88)","0.81 (0.05 to 13.28)","2.85 (0.16 to 49.45)","1.12 (0.13 to  9.80)","0.54 (0.05 to  5.97)","1.00 (0.13 to  7.80)","0.62 (0.07 to  5.26)","melatonin","1.51 (0.25 to  9.07)",".",".",".",".",".","."
"1.38 (0.81 to  2.36)","1.72 (0.98 to  3.00)","1.62 (1.00 to  2.61)","1.21 (0.14 to 10.45)","4.30 (0.47 to 39.49)","1.68 (0.50 to  5.72)","0.82 (0.17 to  4.00)","1.51 (0.55 to  4.10)","0.94 (0.29 to  2.99)","1.51 (0.25 to  9.07)","placebo","0.78 (0.45 to  1.35)","1.45 (0.26 to  8.09)","0.37 (0.07 to  1.97)","0.63 (0.29 to  1.38)","0.39 (0.25 to  0.60)","0.36 (0.13 to  0.97)"
"1.08 (0.51 to  2.26)","1.33 (0.63 to  2.84)","1.26 (0.63 to  2.53)","0.94 (0.10 to  8.63)","3.34 (0.34 to 32.63)","1.31 (0.38 to  4.54)","0.64 (0.12 to  3.38)","1.17 (0.39 to  3.55)","0.73 (0.20 to  2.59)","1.17 (0.18 to  7.60)","0.78 (0.46 to  1.31)","ramelteon",".",".",".",".","0.54 (0.11 to  2.59)"
"1.35 (0.30 to  6.08)","1.67 (0.37 to  7.58)","1.58 (0.36 to  6.95)","1.18 (0.09 to 15.22)","4.19 (0.30 to 58.16)","1.64 (0.25 to 10.64)","0.80 (0.10 to  6.55)","1.47 (0.26 to  8.14)","0.91 (0.15 to  5.51)","1.47 (0.15 to 14.44)","0.97 (0.24 to  4.01)","1.25 (0.28 to  5.66)","seltorexant",".",".","0.67 (0.12 to  3.74)","."
"0.54 (0.16 to  1.79)","0.67 (0.20 to  2.28)","0.63 (0.19 to  2.08)","0.47 (0.04 to  5.20)","1.68 (0.14 to 20.09)","0.66 (0.13 to  3.44)","0.32 (0.05 to  2.16)","0.59 (0.13 to  2.55)","0.36 (0.08 to  1.75)","0.59 (0.07 to  4.87)","0.39 (0.13 to  1.19)","0.50 (0.15 to  1.72)","0.40 (0.07 to  2.37)","trazodone",".","1.02 (0.29 to  3.64)","."
"0.88 (0.39 to  1.97)","1.09 (0.49 to  2.47)","1.03 (0.48 to  2.20)","0.77 (0.08 to  7.07)","2.74 (0.27 to 27.42)","1.07 (0.27 to  4.23)","0.52 (0.10 to  2.78)","0.96 (0.31 to  3.01)","0.60 (0.17 to  2.12)","0.96 (0.14 to  6.42)","0.64 (0.34 to  1.19)","0.82 (0.37 to  1.84)","0.65 (0.14 to  2.98)","1.64 (0.48 to  5.64)","zaleplon","0.65 (0.32 to  1.31)","."
"0.61 (0.32 to  1.14)","0.75 (0.40 to  1.41)","0.71 (0.41 to  1.24)","0.53 (0.06 to  4.50)","1.88 (0.20 to 17.87)","0.74 (0.20 to  2.65)","0.36 (0.07 to  1.73)","0.66 (0.24 to  1.80)","0.41 (0.13 to  1.27)","0.66 (0.11 to  4.14)","0.44 (0.30 to  0.64)","0.56 (0.30 to  1.07)","0.45 (0.11 to  1.85)","1.12 (0.37 to  3.39)","0.69 (0.38 to  1.25)","zolpidem","0.74 (0.36 to  1.49)"
"0.52 (0.27 to  1.02)","0.65 (0.35 to  1.20)","0.61 (0.34 to  1.09)","0.46 (0.05 to  4.09)","1.63 (0.17 to 15.78)","0.64 (0.17 to  2.37)","0.31 (0.06 to  1.59)","0.57 (0.24 to  1.35)","0.35 (0.10 to  1.20)","0.57 (0.09 to  3.67)","0.38 (0.23 to  0.62)","0.49 (0.24 to  0.97)","0.39 (0.09 to  1.70)","0.97 (0.30 to  3.18)","0.59 (0.28 to  1.25)","0.86 (0.52 to  1.44)","zopiclone"
