"BZD-intermediate","0.54 (0.05 to  6.15)","0.62 (0.38 to  1.01)",".",".",".","0.96 (0.39 to  2.37)",".",".","2.53 (0.48 to 13.44)","."
"1.52 (0.47 to  4.94)","BZD-long","0.24 (0.03 to  2.23)",".",".",".","0.52 (0.14 to  1.92)",".",".",".","3.09 (0.31 to 30.41)"
"0.63 (0.39 to  1.01)","0.41 (0.13 to  1.33)","BZD-short",".",".",".","0.69 (0.21 to  2.26)",".",".","3.41 (0.79 to 14.73)","2.60 (0.26 to 26.02)"
"0.89 (0.05 to 16.10)","0.59 (0.03 to 11.75)","1.42 (0.08 to 25.78)","doxepin",".",".","0.95 (0.06 to 15.41)",".",".",".","."
"0.83 (0.29 to  2.32)","0.55 (0.15 to  1.98)","1.32 (0.46 to  3.76)","0.93 (0.05 to 16.22)","eszopiclone",".","1.03 (0.53 to  2.01)",".",".",".","."
"2.52 (0.34 to 18.94)","1.66 (0.19 to 14.41)","4.02 (0.53 to 30.41)","2.83 (0.10 to 80.15)","3.05 (0.42 to 21.92)","melatonin","0.34 (0.05 to  2.16)",".",".",".","."
"0.85 (0.39 to  1.87)","0.56 (0.19 to  1.69)","1.36 (0.60 to  3.04)","0.95 (0.06 to 15.41)","1.03 (0.53 to  2.01)","0.34 (0.05 to  2.16)","placebo","0.96 (0.36 to  2.55)","0.96 (0.38 to  2.41)","2.22 (0.53 to  9.33)","3.09 (0.12 to 78.70)"
"0.82 (0.23 to  2.87)","0.54 (0.12 to  2.35)","1.31 (0.37 to  4.63)","0.92 (0.05 to 17.51)","0.99 (0.30 to  3.23)","0.32 (0.04 to  2.64)","0.96 (0.36 to  2.55)","ramelteon",".",".","."
"0.82 (0.24 to  2.74)","0.54 (0.13 to  2.26)","1.30 (0.38 to  4.42)","0.91 (0.05 to 17.13)","0.99 (0.32 to  3.08)","0.32 (0.04 to  2.57)","0.96 (0.38 to  2.41)","1.00 (0.26 to  3.81)","zaleplon",".","."
"2.00 (0.54 to  7.36)","1.32 (0.26 to  6.74)","3.19 (0.87 to 11.63)","2.24 (0.10 to 48.59)","2.42 (0.56 to 10.53)","0.79 (0.08 to  7.69)","2.35 (0.63 to  8.72)","2.44 (0.48 to 12.50)","2.45 (0.49 to 12.17)","zolpidem","."
"2.61 (0.47 to 14.36)","1.72 (0.30 to  9.74)","4.16 (0.78 to 22.12)","2.92 (0.11 to 77.01)","3.15 (0.50 to 19.96)","1.03 (0.08 to 12.99)","3.06 (0.55 to 17.12)","3.18 (0.44 to 22.99)","3.20 (0.45 to 22.51)","1.30 (0.17 to 10.21)","zopiclone"
