"BZD-intermediate","0.54 (0.05 to  6.15)","0.62 (0.38 to  1.01)",".",".",".","1.08 (0.47 to  2.48)",".",".","2.53 (0.48 to 13.44)","."
"1.28 (0.34 to   4.85)","BZD-long","0.24 (0.03 to  2.23)",".",".",".","0.75 (0.16 to  3.44)",".",".",".","."
"0.63 (0.39 to   1.01)","0.49 (0.13 to   1.85)","BZD-short",".",".",".","0.69 (0.21 to  2.26)",".",".","2.50 (0.47 to 13.27)","2.60 (0.26 to 26.02)"
"0.85 (0.05 to  15.53)","0.67 (0.03 to  14.21)","1.36 (0.07 to  24.94)","doxepin",".",".","0.95 (0.06 to 15.41)",".",".",".","."
"0.76 (0.26 to   2.16)","0.59 (0.14 to   2.47)","1.20 (0.41 to   3.53)","0.89 (0.05 to  15.45)","eszopiclone",".","1.07 (0.56 to  2.05)",".",".",".","."
"3.26 (0.31 to  34.36)","2.55 (0.20 to  32.55)","5.19 (0.49 to  55.31)","3.83 (0.11 to 133.33)","4.31 (0.43 to  42.91)","melatonin","0.25 (0.03 to  2.26)",".",".",".","."
"0.81 (0.35 to   1.86)","0.63 (0.18 to   2.28)","1.29 (0.55 to   3.05)","0.95 (0.06 to  15.41)","1.07 (0.56 to   2.05)","0.25 (0.03 to   2.26)","placebo","0.89 (0.34 to  2.34)","0.96 (0.38 to  2.41)","3.64 (0.73 to 18.05)","."
"0.72 (0.20 to   2.59)","0.57 (0.11 to   2.80)","1.15 (0.32 to   4.20)","0.85 (0.04 to  16.17)","0.96 (0.30 to   3.06)","0.22 (0.02 to   2.46)","0.89 (0.34 to   2.34)","ramelteon",".",".","."
"0.78 (0.22 to   2.69)","0.61 (0.13 to   2.94)","1.24 (0.35 to   4.36)","0.91 (0.05 to  17.13)","1.03 (0.33 to   3.17)","0.24 (0.02 to   2.60)","0.96 (0.38 to   2.41)","1.07 (0.28 to   4.08)","zaleplon",".","."
"2.34 (0.50 to  10.88)","1.83 (0.26 to  12.61)","3.72 (0.79 to  17.45)","2.75 (0.11 to  66.82)","3.09 (0.57 to  16.79)","0.72 (0.05 to  10.70)","2.88 (0.60 to  13.75)","3.23 (0.51 to  20.28)","3.01 (0.49 to  18.45)","zolpidem","."
"1.63 (0.16 to  17.14)","1.28 (0.09 to  18.21)","2.60 (0.26 to  26.02)","1.92 (0.05 to  78.57)","2.16 (0.17 to  27.44)","0.50 (0.02 to  13.60)","2.01 (0.17 to  23.50)","2.26 (0.16 to  31.64)","2.10 (0.15 to  28.97)","0.70 (0.04 to  11.18)","zopiclone"
