"BZD-intermediate",".","2.00 (0.18 to 22.34)",".",".","2.16 (0.52 to  8.94)",".",".",".","."
"1.04 (0.06 to  17.80)","BZD-long",".",".",".","2.07 (0.18 to 24.15)",".",".",".","."
"2.00 (0.18 to  22.34)","1.92 (0.05 to  79.44)","BZD-short",".",".",".",".",".",".","2.60 (0.26 to 26.02)"
"2.24 (0.46 to  10.83)","2.15 (0.17 to  27.48)","1.12 (0.06 to  19.99)","eszopiclone",".","0.97 (0.49 to  1.92)",".",".",".","."
"2.57 (0.35 to  18.99)","2.46 (0.15 to  41.80)","1.29 (0.06 to  29.52)","1.15 (0.24 to   5.50)","melatonin","0.84 (0.21 to  3.44)",".",".",".","."
"2.16 (0.52 to   8.94)","2.07 (0.18 to  24.15)","1.08 (0.07 to  17.77)","0.97 (0.49 to   1.92)","0.84 (0.21 to   3.44)","placebo","0.68 (0.27 to  1.68)","1.00 (0.29 to  3.39)","0.51 (0.16 to  1.63)","."
"1.47 (0.27 to   7.91)","1.41 (0.10 to  19.28)","0.73 (0.04 to  13.92)","0.66 (0.21 to   2.04)","0.57 (0.11 to   3.05)","0.68 (0.27 to   1.68)","ramelteon",".",".","."
"2.06 (0.32 to  13.10)","1.97 (0.13 to  30.20)","1.03 (0.05 to  21.55)","0.92 (0.23 to   3.62)","0.80 (0.13 to   5.05)","0.95 (0.29 to   3.12)","1.40 (0.32 to   6.24)","zaleplon","0.55 (0.19 to  1.55)","."
"1.09 (0.17 to   6.89)","1.05 (0.07 to  15.94)","0.55 (0.03 to  11.38)","0.49 (0.13 to   1.90)","0.43 (0.07 to   2.66)","0.51 (0.16 to   1.63)","0.75 (0.17 to   3.27)","0.53 (0.19 to   1.48)","zolpidem","."
"5.20 (0.18 to 146.17)","4.98 (0.06 to 397.51)","2.60 (0.26 to  26.02)","2.32 (0.06 to  93.02)","2.02 (0.04 to  98.89)","2.41 (0.06 to  90.33)","3.54 (0.08 to 148.61)","2.52 (0.06 to 114.49)","4.75 (0.11 to 214.32)","zopiclone"
