"BZD-intermediate","0.54 (0.05 to   6.15)",".",".",".",".",".","0.94 (0.35 to   2.54)",".","0.38 (0.02 to   7.26)",".",".","."
"1.17 (0.24 to    5.65)","BZD-long",".",".",".",".",".","0.78 (0.19 to   3.26)",".",".",".",".","0.87 (0.29 to   2.62)"
"0.04 (0.00 to    1.04)","0.03 (0.00 to    1.03)","BZD-short",".",".",".",".",".",".",".",".","9.57 (0.45 to 201.88)","."
"0.74 (0.07 to    7.95)","0.63 (0.05 to    8.27)","18.25 (0.44 to  756.93)","daridorexant",".",".",".","1.51 (0.06 to  37.53)",".",".",".","0.49 (0.05 to   4.85)","."
"1.81 (0.23 to   14.01)","1.54 (0.38 to    6.22)","44.44 (1.17 to 1686.37)","2.43 (0.14 to   43.54)","eszopiclone",".",".",".",".",".",".",".","0.57 (0.24 to   1.35)"
"0.96 (0.21 to    4.44)","0.82 (0.13 to    5.08)","23.69 (0.92 to  613.19)","1.30 (0.12 to   14.48)","0.53 (0.06 to    5.02)","lemborexant",".","0.97 (0.19 to   5.05)",".",".",".","0.40 (0.12 to   1.34)","."
"2.65 (0.09 to   75.61)","2.26 (0.07 to   74.15)","65.19 (0.74 to 5707.37)","3.57 (0.07 to  173.81)","1.47 (0.04 to   61.00)","2.75 (0.09 to   85.47)","melatonin","0.35 (0.01 to   8.80)",".",".",".",".","."
"0.94 (0.36 to    2.42)","0.80 (0.20 to    3.12)","23.05 (1.03 to  516.26)","1.26 (0.14 to   11.19)","0.52 (0.08 to    3.42)","0.97 (0.29 to    3.27)","0.35 (0.01 to    8.80)","placebo","1.45 (0.26 to   8.09)","0.37 (0.07 to   1.97)","0.77 (0.35 to   1.70)","0.38 (0.20 to   0.73)","3.09 (0.12 to  78.70)"
"0.89 (0.16 to    4.93)","0.76 (0.10 to    5.47)","21.87 (0.75 to  635.74)","1.20 (0.09 to   15.46)","0.49 (0.05 to    5.26)","0.92 (0.15 to    5.61)","0.34 (0.01 to   11.34)","0.95 (0.23 to    3.98)","seltorexant",".",".","0.67 (0.12 to   3.74)","."
"0.37 (0.09 to    1.52)","0.32 (0.05 to    1.88)","9.17 (0.36 to  236.45)","0.50 (0.05 to    5.55)","0.21 (0.02 to    1.88)","0.39 (0.08 to    1.87)","0.14 (0.00 to    4.29)","0.40 (0.12 to    1.27)","0.42 (0.07 to    2.49)","trazodone",".","1.02 (0.29 to   3.64)","."
"0.71 (0.22 to    2.29)","0.61 (0.13 to    2.79)","17.47 (0.75 to  404.73)","0.96 (0.10 to    9.03)","0.39 (0.05 to    2.94)","0.74 (0.20 to    2.77)","0.27 (0.01 to    7.19)","0.76 (0.38 to    1.52)","0.80 (0.17 to    3.77)","1.90 (0.52 to    6.92)","zaleplon","0.63 (0.23 to   1.74)","."
"0.39 (0.13 to    1.17)","0.33 (0.07 to    1.47)","9.57 (0.45 to  201.88)","0.52 (0.06 to    4.45)","0.22 (0.03 to    1.56)","0.40 (0.13 to    1.26)","0.15 (0.01 to    3.87)","0.42 (0.23 to    0.76)","0.44 (0.10 to    1.84)","1.04 (0.34 to    3.21)","0.55 (0.26 to    1.17)","zolpidem","."
"1.03 (0.16 to    6.58)","0.88 (0.29 to    2.62)","25.30 (0.74 to  864.52)","1.39 (0.09 to   21.69)","0.57 (0.24 to    1.35)","1.07 (0.13 to    8.45)","0.39 (0.01 to   14.57)","1.10 (0.21 to    5.87)","1.16 (0.13 to   10.50)","2.76 (0.36 to   20.99)","1.45 (0.24 to    8.90)","2.64 (0.45 to   15.70)","zopiclone"
