"BZD-intermediate","0.54 (0.05 to  6.15)",".",".",".","0.91 (0.35 to  2.40)",".",".",".",".","."
"1.06 (0.20 to  5.68)","BZD-long",".",".",".","0.75 (0.16 to  3.44)",".",".",".",".","0.66 (0.20 to  2.16)"
"0.76 (0.04 to 15.77)","0.72 (0.03 to 18.08)","daridorexant",".",".",".",".",".",".","0.49 (0.03 to  8.00)","."
"1.23 (0.13 to 11.46)","1.16 (0.27 to  5.04)","1.61 (0.05 to 55.52)","eszopiclone",".",".",".",".",".",".","0.57 (0.24 to  1.35)"
"0.94 (0.19 to  4.53)","0.89 (0.13 to  6.05)","1.23 (0.06 to 24.99)","0.76 (0.07 to  8.54)","lemborexant","0.97 (0.19 to  5.05)",".",".",".","0.40 (0.12 to  1.34)","."
"0.94 (0.35 to  2.55)","0.89 (0.20 to  3.92)","1.23 (0.07 to 21.50)","0.76 (0.09 to  6.16)","1.00 (0.30 to  3.39)","placebo","1.45 (0.26 to  8.09)","0.37 (0.07 to  1.97)","0.75 (0.34 to  1.63)","0.35 (0.18 to  0.69)","."
"0.88 (0.15 to  5.03)","0.83 (0.10 to  6.52)","1.15 (0.05 to 26.42)","0.71 (0.06 to  8.95)","0.93 (0.15 to  5.66)","0.93 (0.22 to  3.91)","seltorexant",".",".","0.67 (0.12 to  3.74)","."
"0.36 (0.07 to  1.80)","0.34 (0.05 to  2.39)","0.47 (0.02 to  9.85)","0.29 (0.03 to  3.36)","0.39 (0.08 to  1.96)","0.39 (0.11 to  1.35)","0.41 (0.07 to  2.59)","trazodone",".","1.02 (0.29 to  3.64)","."
"0.70 (0.21 to  2.37)","0.66 (0.13 to  3.43)","0.92 (0.05 to 16.61)","0.57 (0.06 to  5.16)","0.75 (0.20 to  2.82)","0.75 (0.37 to  1.50)","0.80 (0.17 to  3.79)","1.94 (0.50 to  7.58)","zaleplon","0.63 (0.23 to  1.74)","."
"0.38 (0.12 to  1.22)","0.35 (0.07 to  1.78)","0.49 (0.03 to  8.00)","0.31 (0.03 to  2.69)","0.40 (0.13 to  1.25)","0.40 (0.21 to  0.75)","0.43 (0.10 to  1.80)","1.04 (0.32 to  3.40)","0.53 (0.25 to  1.15)","zolpidem","."
"0.70 (0.09 to  5.47)","0.66 (0.20 to  2.16)","0.92 (0.03 to 28.38)","0.57 (0.24 to  1.35)","0.75 (0.08 to  7.12)","0.74 (0.11 to  4.97)","0.80 (0.07 to  8.65)","1.93 (0.20 to 18.81)","1.00 (0.13 to  7.54)","1.87 (0.25 to 13.78)","zopiclone"
