"BZD-intermediate","0.54 (0.05 to  6.15)","0.68 (0.43 to  1.06)",".",".",".",".",".",".",".","1.06 (0.52 to  2.17)",".",".","0.38 (0.02 to  7.26)",".","2.53 (0.48 to 13.44)","2.03 (0.18 to 22.82)"
"1.20 (0.58 to  2.47)","BZD-long","0.51 (0.23 to  1.13)",".",".",".",".",".",".",".","0.93 (0.35 to  2.46)",".",".",".",".",".","0.50 (0.16 to  1.57)"
"0.71 (0.48 to  1.06)","0.59 (0.31 to  1.13)","BZD-short",".",".",".",".",".",".",".","1.12 (0.64 to  1.95)",".",".",".",".","2.16 (0.77 to  6.12)","0.94 (0.39 to  2.29)"
"1.07 (0.12 to  9.68)","0.89 (0.09 to  8.52)","1.50 (0.17 to 13.41)","daridorexant",".",".",".",".",".",".","1.51 (0.06 to 37.53)",".",".",".",".","0.49 (0.05 to  4.85)","."
"0.27 (0.03 to  2.59)","0.22 (0.02 to  2.27)","0.38 (0.04 to  3.59)","0.25 (0.01 to  5.51)","diphenydramine",".",".",".",".",".","4.30 (0.47 to 39.49)",".",".",".",".",".","."
"0.77 (0.23 to  2.60)","0.64 (0.18 to  2.37)","1.08 (0.33 to  3.57)","0.72 (0.06 to  8.16)","2.88 (0.24 to 34.44)","doxepin",".",".",".",".","1.68 (0.48 to  5.80)","1.00 (0.20 to  5.06)",".",".",".",".","."
"1.55 (0.30 to  8.09)","1.30 (0.23 to  7.23)","2.18 (0.43 to 11.16)","1.45 (0.10 to 20.47)","5.79 (0.38 to 88.53)","2.01 (0.29 to 14.02)","doxylamine",".",".",".","0.65 (0.11 to  3.96)",".",".",".",".","0.41 (0.08 to  2.18)","."
"1.12 (0.55 to  2.30)","0.94 (0.41 to  2.16)","1.58 (0.81 to  3.07)","1.05 (0.11 to  9.74)","4.19 (0.42 to 41.34)","1.46 (0.42 to  5.09)","0.72 (0.13 to  3.90)","eszopiclone",".",".","1.03 (0.53 to  2.01)",".",".",".",".",".","0.57 (0.24 to  1.35)"
"1.39 (0.40 to  4.85)","1.16 (0.30 to  4.43)","1.95 (0.57 to  6.65)","1.30 (0.12 to 14.48)","5.19 (0.42 to 63.50)","1.80 (0.36 to  9.06)","0.90 (0.13 to  6.17)","1.24 (0.34 to  4.52)","lemborexant",".","0.97 (0.19 to  5.05)",".",".",".",".","0.40 (0.12 to  1.34)","."
"1.57 (0.40 to  6.25)","1.32 (0.31 to  5.64)","2.21 (0.57 to  8.60)","1.47 (0.12 to 18.16)","5.88 (0.45 to 76.49)","2.04 (0.37 to 11.26)","1.02 (0.13 to  7.85)","1.40 (0.34 to  5.76)","1.13 (0.20 to  6.46)","melatonin","0.73 (0.20 to  2.66)",".",".",".",".",".","."
"1.15 (0.71 to  1.87)","0.96 (0.49 to  1.89)","1.62 (1.06 to  2.47)","1.08 (0.12 to  9.30)","4.30 (0.47 to 39.49)","1.50 (0.49 to  4.57)","0.74 (0.15 to  3.63)","1.03 (0.58 to  1.82)","0.83 (0.26 to  2.66)","0.73 (0.20 to  2.66)","placebo","0.82 (0.51 to  1.32)","1.45 (0.26 to  8.09)","0.37 (0.07 to  1.97)","0.75 (0.41 to  1.36)","0.46 (0.29 to  0.72)","0.42 (0.14 to  1.24)"
"0.97 (0.50 to  1.89)","0.81 (0.36 to  1.82)","1.37 (0.74 to  2.53)","0.91 (0.10 to  8.25)","3.64 (0.38 to 35.00)","1.26 (0.40 to  3.97)","0.63 (0.12 to  3.28)","0.87 (0.42 to  1.78)","0.70 (0.20 to  2.46)","0.62 (0.16 to  2.43)","0.84 (0.53 to  1.34)","ramelteon",".",".",".",".","0.54 (0.11 to  2.59)"
"1.22 (0.27 to  5.40)","1.02 (0.21 to  4.86)","1.71 (0.39 to  7.43)","1.14 (0.09 to 14.63)","4.54 (0.33 to 63.08)","1.58 (0.26 to  9.59)","0.78 (0.10 to  6.42)","1.08 (0.24 to  4.99)","0.88 (0.14 to  5.30)","0.77 (0.11 to  5.25)","1.06 (0.26 to  4.35)","1.25 (0.28 to  5.54)","seltorexant",".",".","0.67 (0.12 to  3.74)","."
"0.51 (0.15 to  1.66)","0.42 (0.12 to  1.55)","0.71 (0.22 to  2.31)","0.47 (0.04 to  5.22)","1.90 (0.16 to 22.76)","0.66 (0.14 to  3.21)","0.33 (0.05 to  2.21)","0.45 (0.13 to  1.59)","0.37 (0.08 to  1.76)","0.32 (0.06 to  1.78)","0.44 (0.14 to  1.36)","0.52 (0.15 to  1.76)","0.42 (0.07 to  2.47)","trazodone",".","1.02 (0.29 to  3.64)","."
"0.88 (0.44 to  1.77)","0.74 (0.32 to  1.71)","1.24 (0.64 to  2.38)","0.82 (0.09 to  7.39)","3.29 (0.34 to 32.09)","1.14 (0.33 to  3.92)","0.57 (0.11 to  2.94)","0.79 (0.36 to  1.70)","0.63 (0.18 to  2.18)","0.56 (0.14 to  2.25)","0.77 (0.46 to  1.29)","0.91 (0.45 to  1.81)","0.72 (0.16 to  3.20)","1.74 (0.52 to  5.77)","zaleplon","0.65 (0.32 to  1.31)","."
