Separate indirect from direct evidence (SIDE) using back-calculation method

Fixed effects model: 

                    comparison  k prop   nma direct indir.  Diff     z  p-value
     BZD-intermediate:BZD-long  3 0.49  0.22  -0.00   0.43 -0.43 -2.60   0.0093
    BZD-intermediate:BZD-short  1 0.44 -0.04  -0.16   0.05 -0.21 -1.24   0.2167
 BZD-intermediate:daridorexant  0    0  0.59      .   0.59     .     .        .
      BZD-intermediate:doxepin  0    0  0.56      .   0.56     .     .        .
   BZD-intermediate:doxylamine  0    0  0.38      .   0.38     .     .        .
  BZD-intermediate:eszopiclone  0    0  0.36      .   0.36     .     .        .
  BZD-intermediate:lemborexant  0    0  0.49      .   0.49     .     .        .
    BZD-intermediate:melatonin  0    0  0.67      .   0.67     .     .        .
      BZD-intermediate:placebo  7 0.84  0.84   0.90   0.56  0.34  2.09   0.0362
    BZD-intermediate:ramelteon  0    0  0.66      .   0.66     .     .        .
  BZD-intermediate:seltorexant  0    0  0.41      .   0.41     .     .        .
   BZD-intermediate:suvorexant  0    0  0.53      .   0.53     .     .        .
    BZD-intermediate:trazodone  0    0  0.49      .   0.49     .     .        .
     BZD-intermediate:zaleplon  0    0  0.61      .   0.61     .     .        .
     BZD-intermediate:zolpidem  0    0  0.40      .   0.40     .     .        .
    BZD-intermediate:zopiclone  0    0  0.41      .   0.41     .     .        .
            BZD-long:BZD-short  4 0.47 -0.26  -0.47  -0.08 -0.39 -2.13   0.0328
         BZD-long:daridorexant  0    0  0.37      .   0.37     .     .        .
              BZD-long:doxepin  0    0  0.34      .   0.34     .     .        .
           BZD-long:doxylamine  0    0  0.16      .   0.16     .     .        .
          BZD-long:eszopiclone  0    0  0.14      .   0.14     .     .        .
          BZD-long:lemborexant  0    0  0.27      .   0.27     .     .        .
            BZD-long:melatonin  0    0  0.45      .   0.45     .     .        .
              BZD-long:placebo  5 0.52  0.62   0.68   0.56  0.13  0.81   0.4197
            BZD-long:ramelteon  0    0  0.44      .   0.44     .     .        .
          BZD-long:seltorexant  0    0  0.19      .   0.19     .     .        .
           BZD-long:suvorexant  0    0  0.31      .   0.31     .     .        .
            BZD-long:trazodone  0    0  0.27      .   0.27     .     .        .
             BZD-long:zaleplon  0    0  0.39      .   0.39     .     .        .
             BZD-long:zolpidem  0    0  0.18      .   0.18     .     .        .
            BZD-long:zopiclone  1 0.25  0.19   0.09   0.22 -0.14 -0.57   0.5659
        BZD-short:daridorexant  0    0  0.63      .   0.63     .     .        .
             BZD-short:doxepin  0    0  0.60      .   0.60     .     .        .
          BZD-short:doxylamine  0    0  0.42      .   0.42     .     .        .
         BZD-short:eszopiclone  0    0  0.40      .   0.40     .     .        .
         BZD-short:lemborexant  0    0  0.53      .   0.53     .     .        .
           BZD-short:melatonin  0    0  0.71      .   0.71     .     .        .
             BZD-short:placebo  2 0.11  0.88   1.13   0.85  0.28  1.04   0.2995
           BZD-short:ramelteon  0    0  0.70      .   0.70     .     .        .
         BZD-short:seltorexant  0    0  0.45      .   0.45     .     .        .
          BZD-short:suvorexant  0    0  0.57      .   0.57     .     .        .
           BZD-short:trazodone  0    0  0.53      .   0.53     .     .        .
            BZD-short:zaleplon  0    0  0.65      .   0.65     .     .        .
            BZD-short:zolpidem  1 0.35  0.44  -0.04   0.70 -0.74 -4.08 < 0.0001
           BZD-short:zopiclone  0    0  0.45      .   0.45     .     .        .
          daridorexant:doxepin  0    0 -0.03      .  -0.03     .     .        .
       daridorexant:doxylamine  0    0 -0.21      .  -0.21     .     .        .
      daridorexant:eszopiclone  0    0 -0.24      .  -0.24     .     .        .
      daridorexant:lemborexant  0    0 -0.10      .  -0.10     .     .        .
        daridorexant:melatonin  0    0  0.07      .   0.07     .     .        .
          daridorexant:placebo  3 0.95  0.25   0.24   0.37 -0.13 -0.55   0.5819
        daridorexant:ramelteon  0    0  0.07      .   0.07     .     .        .
      daridorexant:seltorexant  0    0 -0.18      .  -0.18     .     .        .
       daridorexant:suvorexant  0    0 -0.06      .  -0.06     .     .        .
        daridorexant:trazodone  0    0 -0.10      .  -0.10     .     .        .
         daridorexant:zaleplon  0    0  0.02      .   0.02     .     .        .
         daridorexant:zolpidem  1 0.13 -0.20  -0.18  -0.20  0.02  0.13   0.8969
        daridorexant:zopiclone  0    0 -0.18      .  -0.18     .     .        .
            doxepin:doxylamine  0    0 -0.18      .  -0.18     .     .        .
           doxepin:eszopiclone  0    0 -0.21      .  -0.21     .     .        .
           doxepin:lemborexant  0    0 -0.07      .  -0.07     .     .        .
             doxepin:melatonin  0    0  0.10      .   0.10     .     .        .
               doxepin:placebo  2 1.00  0.28   0.28      .     .     .        .
             doxepin:ramelteon  0    0  0.10      .   0.10     .     .        .
           doxepin:seltorexant  0    0 -0.15      .  -0.15     .     .        .
            doxepin:suvorexant  0    0 -0.03      .  -0.03     .     .        .
             doxepin:trazodone  0    0 -0.07      .  -0.07     .     .        .
              doxepin:zaleplon  0    0  0.05      .   0.05     .     .        .
              doxepin:zolpidem  0    0 -0.17      .  -0.17     .     .        .
             doxepin:zopiclone  0    0 -0.15      .  -0.15     .     .        .
        doxylamine:eszopiclone  0    0 -0.02      .  -0.02     .     .        .
        doxylamine:lemborexant  0    0  0.11      .   0.11     .     .        .
          doxylamine:melatonin  0    0  0.29      .   0.29     .     .        .
            doxylamine:placebo  1 0.73  0.46   0.60   0.10  0.50  1.90   0.0575
          doxylamine:ramelteon  0    0  0.28      .   0.28     .     .        .
        doxylamine:seltorexant  0    0  0.03      .   0.03     .     .        .
         doxylamine:suvorexant  0    0  0.15      .   0.15     .     .        .
          doxylamine:trazodone  0    0  0.12      .   0.12     .     .        .
           doxylamine:zaleplon  0    0  0.24      .   0.24     .     .        .
           doxylamine:zolpidem  1 0.79  0.02  -0.10   0.44 -0.54 -1.90   0.0575
          doxylamine:zopiclone  0    0  0.03      .   0.03     .     .        .
       eszopiclone:lemborexant  0    0  0.13      .   0.13     .     .        .
         eszopiclone:melatonin  0    0  0.31      .   0.31     .     .        .
           eszopiclone:placebo  5 0.90  0.49   0.49   0.41  0.08  0.49   0.6207
         eszopiclone:ramelteon  0    0  0.30      .   0.30     .     .        .
       eszopiclone:seltorexant  0    0  0.05      .   0.05     .     .        .
        eszopiclone:suvorexant  0    0  0.17      .   0.17     .     .        .
         eszopiclone:trazodone  0    0  0.14      .   0.14     .     .        .
          eszopiclone:zaleplon  0    0  0.26      .   0.26     .     .        .
          eszopiclone:zolpidem  0    0  0.04      .   0.04     .     .        .
         eszopiclone:zopiclone  1 0.40  0.05   0.00   0.08 -0.08 -0.49   0.6207
         lemborexant:melatonin  0    0  0.18      .   0.18     .     .        .
           lemborexant:placebo  2 0.81  0.35   0.33   0.45 -0.12 -0.93   0.3513
         lemborexant:ramelteon  0    0  0.17      .   0.17     .     .        .
       lemborexant:seltorexant  0    0 -0.08      .  -0.08     .     .        .
        lemborexant:suvorexant  0    0  0.04      .   0.04     .     .        .
         lemborexant:trazodone  0    0  0.00      .   0.00     .     .        .
          lemborexant:zaleplon  0    0  0.12      .   0.12     .     .        .
          lemborexant:zolpidem  1 0.47 -0.10  -0.03  -0.16  0.13  1.20   0.2318
         lemborexant:zopiclone  0    0 -0.08      .  -0.08     .     .        .
             melatonin:placebo  2 1.00  0.18   0.18      .     .     .        .
           melatonin:ramelteon  0    0 -0.01      .  -0.01     .     .        .
         melatonin:seltorexant  0    0 -0.26      .  -0.26     .     .        .
          melatonin:suvorexant  0    0 -0.14      .  -0.14     .     .        .
           melatonin:trazodone  0    0 -0.17      .  -0.17     .     .        .
            melatonin:zaleplon  0    0 -0.05      .  -0.05     .     .        .
            melatonin:zolpidem  0    0 -0.27      .  -0.27     .     .        .
           melatonin:zopiclone  0    0 -0.26      .  -0.26     .     .        .
             ramelteon:placebo  2 1.00  0.18   0.18      .     .     .        .
           seltorexant:placebo  1 0.65  0.43   0.33   0.63 -0.31 -1.30   0.1921
