"BZD-intermediate","0.01 (-0.34 to  0.36)","-0.16 (-0.66 to  0.34)",".",".",".",".",".",".","0.81 ( 0.58 to  1.03)",".",".",".",".",".",".","."
"0.17 (-0.08 to  0.42)","BZD-long","-0.45 (-0.80 to -0.09)",".",".",".",".",".",".","0.71 ( 0.40 to  1.01)",".",".",".",".",".",".","0.09 (-0.51 to  0.68)"
"-0.13 (-0.41 to  0.16)","-0.29 (-0.56 to -0.03)","BZD-short",".",".",".",".",".",".","1.13 ( 0.53 to  1.72)",".",".",".",".",".","-0.04 (-0.56 to  0.48)","."
"0.55 ( 0.22 to  0.89)","0.38 ( 0.03 to  0.74)","0.68 ( 0.30 to  1.06)","daridorexant",".",".",".",".",".","0.21 (-0.07 to  0.49)",".",".",".",".",".","-0.18 (-0.71 to  0.36)","."
"0.48 ( 0.06 to  0.90)","0.31 (-0.12 to  0.74)","0.60 ( 0.15 to  1.06)","-0.08 (-0.53 to  0.38)","doxepin",".",".",".",".","0.30 (-0.07 to  0.67)",".",".",".",".",".",".","."
"0.33 (-0.16 to  0.82)","0.16 (-0.34 to  0.66)","0.45 (-0.06 to  0.97)","-0.22 (-0.74 to  0.29)","-0.15 (-0.73 to  0.43)","doxylamine",".",".",".","0.60 ( 0.09 to  1.11)",".",".",".",".",".","-0.10 (-0.61 to  0.41)","."
"0.34 ( 0.04 to  0.63)","0.17 (-0.14 to  0.47)","0.46 ( 0.12 to  0.80)","-0.22 (-0.56 to  0.12)","-0.14 (-0.57 to  0.28)","0.01 (-0.49 to  0.50)","eszopiclone",".",".","0.45 ( 0.22 to  0.68)",".",".",".",".",".",".","0.00 (-0.51 to  0.51)"
"0.44 ( 0.07 to  0.80)","0.27 (-0.11 to  0.65)","0.56 ( 0.16 to  0.96)","-0.12 (-0.52 to  0.28)","-0.04 (-0.52 to  0.43)","0.11 (-0.43 to  0.64)","0.10 (-0.27 to  0.47)","lemborexant",".","0.34 ( 0.01 to  0.66)",".",".",".",".",".","-0.03 (-0.49 to  0.43)","."
"0.76 ( 0.31 to  1.20)","0.59 ( 0.13 to  1.04)","0.88 ( 0.40 to  1.36)","0.20 (-0.27 to  0.68)","0.28 (-0.26 to  0.82)","0.43 (-0.17 to  1.02)","0.42 (-0.03 to  0.87)","0.32 (-0.18 to  0.82)","melatonin","0.02 (-0.37 to  0.42)",".",".",".",".",".",".","."
"0.78 ( 0.57 to  0.98)","0.61 ( 0.38 to  0.84)","0.90 ( 0.63 to  1.17)","0.22 (-0.04 to  0.49)","0.30 (-0.07 to  0.67)","0.45 ( 0.00 to  0.89)","0.44 ( 0.22 to  0.66)","0.34 ( 0.04 to  0.64)","0.02 (-0.37 to  0.42)","placebo","-0.17 (-0.51 to  0.16)","-0.33 (-0.84 to  0.19)","-0.31 (-0.64 to  0.02)","-0.22 (-0.75 to  0.30)","-0.17 (-0.51 to  0.18)","-0.36 (-0.50 to -0.22)","."
"0.61 ( 0.21 to  1.00)","0.44 ( 0.03 to  0.84)","0.73 ( 0.30 to  1.16)","0.05 (-0.38 to  0.48)","0.13 (-0.37 to  0.62)","0.28 (-0.28 to  0.83)","0.27 (-0.13 to  0.67)","0.17 (-0.28 to  0.62)","-0.15 (-0.67 to  0.37)","-0.17 (-0.51 to  0.16)","ramelteon",".",".",".",".",".","."
