"BZD-intermediate","0.01 (-0.35 to  0.37)","-0.16 (-0.68 to  0.36)",".",".",".",".",".",".","0.78 ( 0.55 to  1.00)",".",".",".",".",".","."
"0.16 (-0.10 to  0.41)","BZD-long","-0.47 (-0.83 to -0.11)",".",".",".",".",".",".","0.69 ( 0.38 to  1.00)",".",".",".",".",".","0.09 (-0.52 to  0.70)"
"-0.17 (-0.46 to  0.13)","-0.32 (-0.60 to -0.05)","BZD-short",".",".",".",".",".",".","1.13 ( 0.53 to  1.73)",".",".",".",".","-0.04 (-0.58 to  0.49)","."
"0.48 ( 0.14 to  0.82)","0.32 (-0.04 to  0.68)","0.65 ( 0.26 to  1.03)","daridorexant",".",".",".",".",".","0.24 (-0.05 to  0.53)",".",".",".",".","-0.03 (-0.58 to  0.52)","."
"0.46 ( 0.03 to  0.90)","0.31 (-0.14 to  0.76)","0.63 ( 0.16 to  1.10)","-0.02 (-0.49 to  0.46)","doxepin",".",".",".",".","0.29 (-0.09 to  0.68)",".",".",".",".",".","."
"0.27 (-0.23 to  0.77)","0.11 (-0.40 to  0.63)","0.44 (-0.09 to  0.97)","-0.21 (-0.74 to  0.33)","-0.19 (-0.79 to  0.41)","doxylamine",".",".",".","0.60 ( 0.07 to  1.13)",".",".",".",".","-0.10 (-0.62 to  0.42)","."
"0.26 (-0.04 to  0.56)","0.11 (-0.21 to  0.42)","0.43 ( 0.08 to  0.78)","-0.22 (-0.57 to  0.14)","-0.20 (-0.65 to  0.25)","-0.01 (-0.52 to  0.50)","eszopiclone",".",".","0.50 ( 0.26 to  0.74)",".",".",".",".",".","0.00 (-0.53 to  0.53)"
"0.36 (-0.02 to  0.73)","0.20 (-0.19 to  0.59)","0.53 ( 0.11 to  0.94)","-0.12 (-0.54 to  0.30)","-0.11 (-0.60 to  0.39)","0.09 (-0.47 to  0.64)","0.09 (-0.29 to  0.48)","lemborexant",".","0.38 ( 0.04 to  0.72)",".",".",".",".","-0.04 (-0.52 to  0.44)","."
"0.70 ( 0.32 to  1.07)","0.54 ( 0.14 to  0.93)","0.86 ( 0.44 to  1.28)","0.22 (-0.20 to  0.64)","0.23 (-0.27 to  0.73)","0.43 (-0.13 to  0.99)","0.43 ( 0.04 to  0.82)","0.34 (-0.11 to  0.79)","melatonin","0.06 (-0.25 to  0.38)",".",".",".",".",".","."
"0.76 ( 0.56 to  0.96)","0.60 ( 0.37 to  0.84)","0.93 ( 0.65 to  1.20)","0.28 ( 0.00 to  0.56)","0.29 (-0.09 to  0.68)","0.49 ( 0.03 to  0.95)","0.49 ( 0.27 to  0.72)","0.40 ( 0.08 to  0.72)","0.06 (-0.25 to  0.38)","placebo","-0.17 (-0.52 to  0.18)","-0.30 (-0.64 to  0.04)","-0.23 (-0.65 to  0.20)","-0.16 (-0.52 to  0.20)","-0.44 (-0.60 to -0.28)","."
"0.59 ( 0.18 to  0.99)","0.43 ( 0.01 to  0.85)","0.75 ( 0.31 to  1.20)","0.11 (-0.34 to  0.55)","0.12 (-0.40 to  0.64)","0.32 (-0.26 to  0.89)","0.32 (-0.09 to  0.74)","0.23 (-0.24 to  0.70)","-0.11 (-0.58 to  0.36)","-0.17 (-0.52 to  0.18)","ramelteon",".",".",".",".","."
"0.46 ( 0.06 to  0.86)","0.30 (-0.11 to  0.72)","0.63 ( 0.19 to  1.07)","-0.02 (-0.46 to  0.42)","-0.00 (-0.52 to  0.51)","0.19 (-0.39 to  0.76)","0.20 (-0.21 to  0.61)","0.10 (-0.37 to  0.57)","-0.24 (-0.70 to  0.23)","-0.30 (-0.64 to  0.04)","-0.13 (-0.62 to  0.36)","suvorexant",".",".",".","."
"0.43 ( 0.00 to  0.87)","0.28 (-0.17 to  0.73)","0.60 ( 0.13 to  1.07)","-0.05 (-0.52 to  0.43)","-0.03 (-0.58 to  0.51)","0.16 (-0.43 to  0.76)","0.17 (-0.28 to  0.61)","0.07 (-0.42 to  0.57)","-0.26 (-0.76 to  0.24)","-0.33 (-0.71 to  0.06)","-0.15 (-0.67 to  0.37)","-0.03 (-0.54 to  0.49)","trazodone",".","0.03 (-0.50 to  0.57)","."
"0.51 ( 0.17 to  0.85)","0.35 (-0.01 to  0.71)","0.68 ( 0.29 to  1.06)","0.03 (-0.36 to  0.42)","0.05 (-0.43 to  0.52)","0.24 (-0.29 to  0.77)","0.25 (-0.11 to  0.60)","0.15 (-0.26 to  0.56)","-0.19 (-0.61 to  0.24)","-0.25 (-0.53 to  0.03)","-0.08 (-0.53 to  0.37)","0.05 (-0.39 to  0.49)","0.08 (-0.39 to  0.54)","zaleplon","-0.19 (-0.49 to  0.11)","."
"0.28 ( 0.04 to  0.52)","0.12 (-0.14 to  0.39)","0.45 ( 0.15 to  0.74)","-0.20 (-0.50 to  0.10)","-0.18 (-0.60 to  0.23)","0.01 (-0.45 to  0.47)","0.02 (-0.25 to  0.28)","-0.08 (-0.41 to  0.25)","-0.42 (-0.77 to -0.07)","-0.48 (-0.63 to -0.33)","-0.31 (-0.69 to  0.07)","-0.18 (-0.55 to  0.19)","-0.15 (-0.55 to  0.24)","-0.23 (-0.50 to  0.04)","zolpidem","0.06 (-0.43 to  0.56)"
"0.29 (-0.09 to  0.67)","0.13 (-0.23 to  0.50)","0.46 ( 0.05 to  0.86)","-0.19 (-0.62 to  0.24)","-0.17 (-0.68 to  0.33)","0.02 (-0.54 to  0.58)","0.03 (-0.33 to  0.38)","-0.07 (-0.52 to  0.38)","-0.41 (-0.87 to  0.05)","-0.47 (-0.80 to -0.14)","-0.30 (-0.78 to  0.18)","-0.17 (-0.65 to  0.31)","-0.14 (-0.65 to  0.36)","-0.22 (-0.64 to  0.20)","0.01 (-0.33 to  0.35)","zopiclone"
