Separate indirect from direct evidence (SIDE) using back-calculation method

Fixed effects model: 

                    comparison  k prop   nma direct indir.  Diff     z  p-value
     BZD-intermediate:BZD-long  3 0.49  0.25  -0.00   0.50 -0.50 -2.99   0.0028
    BZD-intermediate:BZD-short  1 0.43 -0.03  -0.16   0.07 -0.23 -1.37   0.1713
 BZD-intermediate:daridorexant  0    0  0.62      .   0.62     .     .        .
      BZD-intermediate:doxepin  0    0  0.59      .   0.59     .     .        .
   BZD-intermediate:doxylamine  0    0  0.40      .   0.40     .     .        .
  BZD-intermediate:eszopiclone  0    0  0.25      .   0.25     .     .        .
  BZD-intermediate:lemborexant  0    0  0.51      .   0.51     .     .        .
    BZD-intermediate:melatonin  0    0  0.73      .   0.73     .     .        .
      BZD-intermediate:placebo  8 0.69  0.87   1.07   0.45  0.62  4.68 < 0.0001
   BZD-intermediate:quetiapine  0    0  0.82      .   0.82     .     .        .
    BZD-intermediate:ramelteon  0    0  0.74      .   0.74     .     .        .
  BZD-intermediate:seltorexant  0    0  0.43      .   0.43     .     .        .
    BZD-intermediate:trazodone  0    0  0.51      .   0.51     .     .        .
 BZD-intermediate:trimipramine  1 0.75  0.22   0.28   0.03  0.25  0.38   0.7031
     BZD-intermediate:zaleplon  0    0  0.65      .   0.65     .     .        .
     BZD-intermediate:zolpidem  1 0.21  0.40  -0.01   0.52 -0.53 -3.26   0.0011
    BZD-intermediate:zopiclone  0    0  0.41      .   0.41     .     .        .
            BZD-long:BZD-short  5 0.52 -0.28  -0.45  -0.09 -0.36 -2.02   0.0438
         BZD-long:daridorexant  0    0  0.37      .   0.37     .     .        .
              BZD-long:doxepin  0    0  0.34      .   0.34     .     .        .
           BZD-long:doxylamine  0    0  0.15      .   0.15     .     .        .
          BZD-long:eszopiclone  0    0  0.00      .   0.00     .     .        .
          BZD-long:lemborexant  0    0  0.26      .   0.26     .     .        .
            BZD-long:melatonin  0    0  0.48      .   0.48     .     .        .
              BZD-long:placebo  2 0.34  0.62   0.67   0.60  0.07  0.40   0.6923
           BZD-long:quetiapine  0    0  0.57      .   0.57     .     .        .
            BZD-long:ramelteon  0    0  0.49      .   0.49     .     .        .
          BZD-long:seltorexant  0    0  0.18      .   0.18     .     .        .
            BZD-long:trazodone  0    0  0.26      .   0.26     .     .        .
         BZD-long:trimipramine  0    0 -0.04      .  -0.04     .     .        .
             BZD-long:zaleplon  0    0  0.40      .   0.40     .     .        .
             BZD-long:zolpidem  0    0  0.15      .   0.15     .     .        .
            BZD-long:zopiclone  3 0.47  0.16   0.12   0.20 -0.08 -0.43   0.6677
        BZD-short:daridorexant  0    0  0.65      .   0.65     .     .        .
             BZD-short:doxepin  0    0  0.62      .   0.62     .     .        .
          BZD-short:doxylamine  0    0  0.42      .   0.42     .     .        .
         BZD-short:eszopiclone  0    0  0.28      .   0.28     .     .        .
         BZD-short:lemborexant  0    0  0.54      .   0.54     .     .        .
           BZD-short:melatonin  0    0  0.76      .   0.76     .     .        .
             BZD-short:placebo  1 0.08  0.90   1.18   0.88  0.30  0.93   0.3505
          BZD-short:quetiapine  0    0  0.85      .   0.85     .     .        .
           BZD-short:ramelteon  0    0  0.77      .   0.77     .     .        .
         BZD-short:seltorexant  0    0  0.46      .   0.46     .     .        .
           BZD-short:trazodone  0    0  0.54      .   0.54     .     .        .
        BZD-short:trimipramine  0    0  0.24      .   0.24     .     .        .
            BZD-short:zaleplon  0    0  0.68      .   0.68     .     .        .
            BZD-short:zolpidem  1 0.35  0.43  -0.04   0.68 -0.73 -4.02 < 0.0001
           BZD-short:zopiclone  0    0  0.44      .   0.44     .     .        .
          daridorexant:doxepin  0    0 -0.03      .  -0.03     .     .        .
       daridorexant:doxylamine  0    0 -0.23      .  -0.23     .     .        .
      daridorexant:eszopiclone  0    0 -0.37      .  -0.37     .     .        .
      daridorexant:lemborexant  0    0 -0.11      .  -0.11     .     .        .
        daridorexant:melatonin  0    0  0.11      .   0.11     .     .        .
          daridorexant:placebo  3 0.96  0.25   0.24   0.41 -0.17 -0.72   0.4714
       daridorexant:quetiapine  0    0  0.20      .   0.20     .     .        .
        daridorexant:ramelteon  0    0  0.12      .   0.12     .     .        .
      daridorexant:seltorexant  0    0 -0.19      .  -0.19     .     .        .
        daridorexant:trazodone  0    0 -0.11      .  -0.11     .     .        .
     daridorexant:trimipramine  0    0 -0.41      .  -0.41     .     .        .
         daridorexant:zaleplon  0    0  0.03      .   0.03     .     .        .
         daridorexant:zolpidem  1 0.15 -0.22  -0.18  -0.23  0.05  0.28   0.7758
        daridorexant:zopiclone  0    0 -0.21      .  -0.21     .     .        .
            doxepin:doxylamine  0    0 -0.20      .  -0.20     .     .        .
           doxepin:eszopiclone  0    0 -0.34      .  -0.34     .     .        .
           doxepin:lemborexant  0    0 -0.08      .  -0.08     .     .        .
             doxepin:melatonin  0    0  0.14      .   0.14     .     .        .
               doxepin:placebo  2 1.00  0.28   0.28      .     .     .        .
            doxepin:quetiapine  0    0  0.23      .   0.23     .     .        .
             doxepin:ramelteon  0    0  0.14      .   0.14     .     .        .
           doxepin:seltorexant  0    0 -0.17      .  -0.17     .     .        .
             doxepin:trazodone  0    0 -0.08      .  -0.08     .     .        .
          doxepin:trimipramine  0    0 -0.38      .  -0.38     .     .        .
              doxepin:zaleplon  0    0  0.06      .   0.06     .     .        .
              doxepin:zolpidem  0    0 -0.19      .  -0.19     .     .        .
             doxepin:zopiclone  0    0 -0.18      .  -0.18     .     .        .
        doxylamine:eszopiclone  0    0 -0.14      .  -0.14     .     .        .
        doxylamine:lemborexant  0    0  0.12      .   0.12     .     .        .
          doxylamine:melatonin  0    0  0.33      .   0.33     .     .        .
            doxylamine:placebo  1 0.74  0.48   0.60   0.13  0.47  1.74   0.0818
         doxylamine:quetiapine  0    0  0.43      .   0.43     .     .        .
          doxylamine:ramelteon  0    0  0.34      .   0.34     .     .        .
        doxylamine:seltorexant  0    0  0.03      .   0.03     .     .        .
          doxylamine:trazodone  0    0  0.12      .   0.12     .     .        .
       doxylamine:trimipramine  0    0 -0.18      .  -0.18     .     .        .
           doxylamine:zaleplon  0    0  0.25      .   0.25     .     .        .
           doxylamine:zolpidem  1 0.79  0.01  -0.10   0.40 -0.50 -1.74   0.0818
          doxylamine:zopiclone  0    0  0.01      .   0.01     .     .        .
       eszopiclone:lemborexant  0    0  0.26      .   0.26     .     .        .
         eszopiclone:melatonin  0    0  0.48      .   0.48     .     .        .
           eszopiclone:placebo  5 0.93  0.62   0.63   0.52  0.11  0.63   0.5277
        eszopiclone:quetiapine  0    0  0.57      .   0.57     .     .        .
         eszopiclone:ramelteon  0    0  0.49      .   0.49     .     .        .
       eszopiclone:seltorexant  0    0  0.18      .   0.18     .     .        .
         eszopiclone:trazodone  0    0  0.26      .   0.26     .     .        .
      eszopiclone:trimipramine  0    0 -0.04      .  -0.04     .     .        .
          eszopiclone:zaleplon  0    0  0.40      .   0.40     .     .        .
          eszopiclone:zolpidem  0    0  0.15      .   0.15     .     .        .
         eszopiclone:zopiclone  1 0.33  0.16   0.08   0.19 -0.11 -0.63   0.5277
         lemborexant:melatonin  0    0  0.22      .   0.22     .     .        .
           lemborexant:placebo  2 0.83  0.36   0.33   0.50 -0.17 -1.30   0.1951
        lemborexant:quetiapine  0    0  0.31      .   0.31     .     .        .
         lemborexant:ramelteon  0    0  0.22      .   0.22     .     .        .
       lemborexant:seltorexant  0    0 -0.09      .  -0.09     .     .        .
         lemborexant:trazodone  0    0 -0.00      .  -0.00     .     .        .
      lemborexant:trimipramine  0    0 -0.30      .  -0.30     .     .        .
          lemborexant:zaleplon  0    0  0.14      .   0.14     .     .        .
          lemborexant:zolpidem  1 0.51 -0.11  -0.03  -0.20  0.17  1.55   0.1217
         lemborexant:zopiclone  0    0 -0.11      .  -0.11     .     .        .
             melatonin:placebo  3 1.00  0.14   0.14      .     .     .        .
