"BZD-intermediate","0.01 (-0.35 to  0.37)","-0.16 (-0.68 to  0.36)",".",".",".",".",".",".","0.88 ( 0.65 to  1.11)",".",".",".",".","0.28 (-0.51 to  1.07)",".","-0.01 (-0.55 to  0.52)","."
"0.19 (-0.07 to  0.45)","BZD-long","-0.43 (-0.76 to -0.10)",".",".",".",".",".",".","0.69 ( 0.25 to  1.13)",".",".",".",".",".",".",".","0.09 (-0.29 to  0.48)"
"-0.13 (-0.42 to  0.16)","-0.32 (-0.58 to -0.06)","BZD-short",".",".",".",".",".",".","1.18 ( 0.42 to  1.95)",".",".",".",".",".",".","-0.04 (-0.58 to  0.49)","."
"0.55 ( 0.21 to  0.88)","0.36 (-0.02 to  0.73)","0.67 ( 0.28 to  1.06)","daridorexant",".",".",".",".",".","0.21 (-0.08 to  0.50)",".",".",".",".",".",".","-0.18 (-0.73 to  0.37)","."
"0.48 ( 0.06 to  0.91)","0.29 (-0.16 to  0.75)","0.61 ( 0.14 to  1.08)","-0.06 (-0.53 to  0.40)","doxepin",".",".",".",".","0.30 (-0.08 to  0.68)",".",".",".",".",".",".",".","."
"0.29 (-0.20 to  0.79)","0.10 (-0.42 to  0.62)","0.42 (-0.11 to  0.95)","-0.25 (-0.79 to  0.28)","-0.19 (-0.79 to  0.40)","doxylamine",".",".",".","0.60 ( 0.07 to  1.13)",".",".",".",".",".",".","-0.10 (-0.62 to  0.42)","."
"0.23 (-0.06 to  0.52)","0.03 (-0.29 to  0.36)","0.35 ( 0.01 to  0.70)","-0.32 (-0.67 to  0.03)","-0.26 (-0.69 to  0.18)","-0.07 (-0.57 to  0.44)","eszopiclone",".",".","0.56 ( 0.33 to  0.79)",".",".",".",".",".",".",".","0.08 (-0.45 to  0.62)"
"0.42 ( 0.05 to  0.79)","0.23 (-0.18 to  0.63)","0.55 ( 0.13 to  0.96)","-0.13 (-0.54 to  0.29)","-0.07 (-0.56 to  0.42)","0.13 (-0.43 to  0.68)","0.19 (-0.19 to  0.57)","lemborexant",".","0.34 ( 0.00 to  0.68)",".",".",".",".",".",".","-0.03 (-0.51 to  0.45)","."
"0.70 ( 0.31 to  1.09)","0.51 ( 0.09 to  0.93)","0.83 ( 0.39 to  1.27)","0.16 (-0.28 to  0.59)","0.22 (-0.28 to  0.72)","0.41 (-0.16 to  0.98)","0.48 ( 0.08 to  0.87)","0.28 (-0.17 to  0.74)","melatonin","0.08 (-0.25 to  0.41)",".",".",".",".",".",".",".","."
"0.78 ( 0.58 to  0.98)","0.59 ( 0.33 to  0.85)","0.91 ( 0.63 to  1.19)","0.24 (-0.04 to  0.51)","0.30 (-0.08 to  0.68)","0.49 ( 0.03 to  0.95)","0.56 ( 0.34 to  0.78)","0.37 ( 0.05 to  0.68)","0.08 (-0.25 to  0.41)","placebo","-0.05 (-1.23 to  1.13)","-0.12 (-0.40 to  0.17)","-0.33 (-0.86 to  0.20)","-0.22 (-0.76 to  0.31)","-0.73 (-1.53 to  0.07)","-0.14 (-0.63 to  0.36)","-0.42 (-0.59 to -0.26)","."
"0.73 (-0.47 to  1.93)","0.54 (-0.67 to  1.75)","0.86 (-0.35 to  2.08)","0.19 (-1.03 to  1.40)","0.25 (-0.99 to  1.49)","0.44 (-0.83 to  1.71)","0.51 (-0.69 to  1.71)","0.31 (-0.91 to  1.54)","0.03 (-1.20 to  1.26)","-0.05 (-1.23 to  1.13)","quetiapine",".",".",".",".",".",".","."
"0.67 ( 0.32 to  1.01)","0.48 ( 0.09 to  0.86)","0.79 ( 0.39 to  1.19)","0.12 (-0.27 to  0.51)","0.18 (-0.29 to  0.65)","0.37 (-0.17 to  0.91)","0.44 ( 0.08 to  0.80)","0.25 (-0.17 to  0.67)","-0.04 (-0.47 to  0.40)","-0.12 (-0.40 to  0.17)","-0.07 (-1.28 to  1.15)","ramelteon",".",".",".",".",".","."
"0.33 (-0.16 to  0.82)","0.14 (-0.38 to  0.65)","0.46 (-0.07 to  0.98)","-0.22 (-0.74 to  0.31)","-0.15 (-0.74 to  0.43)","0.04 (-0.60 to  0.67)","0.10 (-0.40 to  0.60)","-0.09 (-0.64 to  0.46)","-0.37 (-0.94 to  0.19)","-0.46 (-0.91 to  0.00)","-0.40 (-1.67 to  0.86)","-0.34 (-0.87 to  0.20)","seltorexant",".",".",".","0.10 (-0.43 to  0.63)","."
"0.41 (-0.10 to  0.92)","0.22 (-0.31 to  0.75)","0.54 ( 0.00 to  1.08)","-0.13 (-0.68 to  0.41)","-0.07 (-0.67 to  0.53)","0.12 (-0.53 to  0.77)","0.19 (-0.33 to  0.70)","-0.01 (-0.57 to  0.56)","-0.29 (-0.87 to  0.29)","-0.37 (-0.84 to  0.10)","-0.32 (-1.59 to  0.95)","-0.25 (-0.80 to  0.30)","0.08 (-0.56 to  0.73)","trazodone",".",".","0.03 (-0.50 to  0.57)","."
"0.17 (-0.52 to  0.86)","-0.02 (-0.74 to  0.70)","0.30 (-0.43 to  1.03)","-0.38 (-1.12 to  0.37)","-0.31 (-1.10 to  0.47)","-0.12 (-0.95 to  0.71)","-0.06 (-0.78 to  0.67)","-0.25 (-1.00 to  0.51)","-0.53 (-1.30 to  0.23)","-0.61 (-1.30 to  0.08)","-0.56 (-1.93 to  0.81)","-0.50 (-1.24 to  0.25)","-0.16 (-0.98 to  0.67)","-0.24 (-1.08 to  0.59)","trimipramine",".",".","."
"0.53 ( 0.12 to  0.94)","0.34 (-0.10 to  0.78)","0.66 ( 0.20 to  1.11)","-0.02 (-0.47 to  0.44)","0.05 (-0.48 to  0.57)","0.24 (-0.34 to  0.82)","0.30 (-0.12 to  0.73)","0.11 (-0.36 to  0.59)","-0.17 (-0.67 to  0.32)","-0.25 (-0.62 to  0.11)","-0.20 (-1.44 to  1.03)","-0.14 (-0.60 to  0.33)","0.20 (-0.37 to  0.78)","0.12 (-0.47 to  0.71)","0.36 (-0.42 to  1.14)","zaleplon","-0.10 (-0.63 to  0.42)","."
"0.30 ( 0.07 to  0.52)","0.11 (-0.17 to  0.38)","0.42 ( 0.13 to  0.72)","-0.25 (-0.55 to  0.05)","-0.19 (-0.59 to  0.22)","0.00 (-0.46 to  0.46)","0.07 (-0.18 to  0.33)","-0.12 (-0.45 to  0.21)","-0.41 (-0.77 to -0.04)","-0.49 (-0.63 to -0.34)","-0.44 (-1.63 to  0.75)","-0.37 (-0.69 to -0.05)","-0.03 (-0.49 to  0.42)","-0.12 (-0.59 to  0.36)","0.13 (-0.57 to  0.83)","-0.23 (-0.60 to  0.14)","zolpidem","0.06 (-0.43 to  0.55)"
"0.31 (-0.02 to  0.64)","0.12 (-0.18 to  0.42)","0.44 ( 0.08 to  0.80)","-0.23 (-0.64 to  0.17)","-0.17 (-0.65 to  0.31)","0.02 (-0.52 to  0.56)","0.09 (-0.24 to  0.42)","-0.11 (-0.54 to  0.32)","-0.39 (-0.84 to  0.06)","-0.47 (-0.77 to -0.17)","-0.42 (-1.64 to  0.80)","-0.35 (-0.77 to  0.06)","-0.02 (-0.55 to  0.52)","-0.10 (-0.65 to  0.45)","0.14 (-0.60 to  0.89)","-0.22 (-0.69 to  0.25)","0.02 (-0.29 to  0.32)","zopiclone"
