"BZD-intermediate",".",".",".",".",".","1.64 ( 1.43 to  1.86)",".",".",".",".",".","0.28 (-0.37 to  0.93)",".","-0.01 (-0.29 to  0.27)","."
"0.95 ( 0.75 to  1.14)","daridorexant",".",".",".",".","0.24 ( 0.15 to  0.34)",".",".",".",".",".",".",".","-0.18 (-0.49 to  0.13)","."
"0.92 ( 0.66 to  1.18)","-0.03 (-0.24 to  0.19)","doxepin",".",".",".","0.28 ( 0.09 to  0.47)",".",".",".",".",".",".",".",".","."
"0.62 ( 0.43 to  0.81)","-0.32 (-0.45 to -0.20)","-0.29 (-0.50 to -0.08)","eszopiclone",".",".","0.57 ( 0.49 to  0.65)",".",".",".",".",".",".",".",".","0.04 (-0.15 to  0.23)"
"0.84 ( 0.64 to  1.04)","-0.11 (-0.24 to  0.03)","-0.08 (-0.29 to  0.14)","0.22 ( 0.09 to  0.34)","lemborexant",".","0.33 ( 0.22 to  0.44)",".",".",".",".",".",".",".","-0.03 (-0.18 to  0.13)","."
"1.01 ( 0.81 to  1.22)","0.07 (-0.08 to  0.21)","0.10 (-0.13 to  0.32)","0.39 ( 0.25 to  0.53)","0.17 ( 0.03 to  0.32)","melatonin","0.18 ( 0.07 to  0.29)",".",".",".",".",".",".",".",".","."
"1.20 ( 1.02 to  1.37)","0.25 ( 0.16 to  0.35)","0.28 ( 0.09 to  0.47)","0.57 ( 0.49 to  0.65)","0.36 ( 0.26 to  0.45)","0.18 ( 0.07 to  0.29)","placebo","-0.05 (-1.14 to  1.04)","-0.18 (-0.30 to -0.07)","-0.33 (-0.60 to -0.06)","-0.31 (-0.43 to -0.19)","-0.22 (-0.51 to  0.06)","-0.73 (-1.39 to -0.07)","-0.13 (-0.24 to -0.02)","-0.44 (-0.51 to -0.37)","."
"1.15 ( 0.04 to  2.25)","0.20 (-0.89 to  1.30)","0.23 (-0.88 to  1.34)","0.52 (-0.57 to  1.62)","0.31 (-0.79 to  1.40)","0.13 (-0.96 to  1.23)","-0.05 (-1.14 to  1.04)","quetiapine",".",".",".",".",".",".",".","."
"1.01 ( 0.81 to  1.22)","0.07 (-0.08 to  0.22)","0.10 (-0.13 to  0.32)","0.39 ( 0.25 to  0.53)","0.17 ( 0.03 to  0.32)","0.00 (-0.16 to  0.16)","-0.18 (-0.30 to -0.07)","-0.13 (-1.23 to  0.96)","ramelteon",".",".",".",".",".",".","."
"0.76 ( 0.48 to  1.03)","-0.19 (-0.43 to  0.05)","-0.16 (-0.45 to  0.13)","0.13 (-0.10 to  0.36)","-0.09 (-0.32 to  0.15)","-0.26 (-0.50 to -0.01)","-0.44 (-0.66 to -0.22)","-0.39 (-1.50 to  0.72)","-0.26 (-0.50 to -0.01)","seltorexant",".",".",".",".","0.10 (-0.18 to  0.37)","."
"0.89 ( 0.68 to  1.10)","-0.06 (-0.21 to  0.09)","-0.03 (-0.26 to  0.20)","0.26 ( 0.12 to  0.40)","0.05 (-0.11 to  0.20)","-0.13 (-0.29 to  0.03)","-0.31 (-0.43 to -0.19)","-0.26 (-1.36 to  0.84)","-0.13 (-0.29 to  0.04)","0.13 (-0.12 to  0.38)","suvorexant",".",".",".",".","."
"0.84 ( 0.54 to  1.14)","-0.11 (-0.38 to  0.16)","-0.08 (-0.39 to  0.24)","0.22 (-0.05 to  0.48)","0.00 (-0.27 to  0.27)","-0.17 (-0.45 to  0.10)","-0.36 (-0.61 to -0.10)","-0.31 (-1.43 to  0.81)","-0.17 (-0.45 to  0.10)","0.09 (-0.25 to  0.42)","-0.04 (-0.32 to  0.23)","trazodone",".",".","0.03 (-0.26 to  0.33)","."
"0.37 (-0.19 to  0.93)","-0.57 (-1.15 to  0.00)","-0.55 (-1.14 to  0.05)","-0.25 (-0.82 to  0.32)","-0.47 (-1.04 to  0.10)","-0.64 (-1.22 to -0.07)","-0.83 (-1.39 to -0.26)","-0.78 (-2.00 to  0.45)","-0.64 (-1.22 to -0.07)","-0.38 (-0.99 to  0.22)","-0.51 (-1.09 to  0.06)","-0.47 (-1.09 to  0.15)","trimipramine",".",".","."
"1.02 ( 0.83 to  1.21)","0.07 (-0.06 to  0.21)","0.10 (-0.11 to  0.32)","0.40 ( 0.27 to  0.52)","0.18 ( 0.05 to  0.31)","0.01 (-0.14 to  0.15)","-0.18 (-0.27 to -0.08)","-0.13 (-1.22 to  0.97)","0.01 (-0.14 to  0.15)","0.26 ( 0.03 to  0.50)","0.13 (-0.02 to  0.29)","0.18 (-0.09 to  0.45)","0.65 ( 0.08 to  1.22)","zaleplon","-0.25 (-0.37 to -0.13)","."
"0.73 ( 0.56 to  0.91)","-0.21 (-0.32 to -0.10)","-0.18 (-0.39 to  0.02)","0.11 ( 0.01 to  0.21)","-0.11 (-0.21 to  0.00)","-0.28 (-0.41 to -0.15)","-0.46 (-0.53 to -0.40)","-0.41 (-1.51 to  0.68)","-0.28 (-0.41 to -0.15)","-0.02 (-0.24 to  0.20)","-0.15 (-0.29 to -0.02)","-0.11 (-0.36 to  0.15)","0.36 (-0.20 to  0.93)","-0.29 (-0.38 to -0.19)","zolpidem","."
"0.66 ( 0.39 to  0.93)","-0.28 (-0.51 to -0.05)","-0.25 (-0.54 to  0.03)","0.04 (-0.15 to  0.23)","-0.18 (-0.40 to  0.05)","-0.35 (-0.58 to -0.12)","-0.53 (-0.74 to -0.33)","-0.48 (-1.59 to  0.63)","-0.35 (-0.59 to -0.12)","-0.09 (-0.39 to  0.21)","-0.22 (-0.46 to  0.02)","-0.18 (-0.50 to  0.15)","0.29 (-0.31 to  0.89)","-0.36 (-0.58 to -0.13)","-0.07 (-0.29 to  0.15)","zopiclone"
