Separate indirect from direct evidence (SIDE) using back-calculation method

Fixed effects model: 

                      comparison  k prop   nma direct indir.  Diff     z p-value
       BZD-intermediate:BZD-long  3 0.41  0.13  -0.00   0.23 -0.23 -1.49  0.1372
      BZD-intermediate:BZD-short  1 0.39 -0.14  -0.16  -0.13 -0.03 -0.20  0.8392
   BZD-intermediate:daridorexant  0    0  0.43      .   0.43     .     .       .
 BZD-intermediate:diphenydramine  0    0  0.18      .   0.18     .     .       .
        BZD-intermediate:doxepin  0    0  0.44      .   0.44     .     .       .
     BZD-intermediate:doxylamine  0    0  0.19      .   0.19     .     .       .
    BZD-intermediate:eszopiclone  1 0.08  0.13   0.12   0.13 -0.00 -0.02  0.9848
      BZD-intermediate:melatonin  0    0  0.60      .   0.60     .     .       .
    BZD-intermediate:mirtazapine  1 1.00 -0.33  -0.33      .     .     .       .
        BZD-intermediate:placebo 11 0.69  0.71   0.81   0.48  0.33  3.23  0.0012
     BZD-intermediate:quetiapine  0    0  0.66      .   0.66     .     .       .
      BZD-intermediate:ramelteon  0    0  0.57      .   0.57     .     .       .
      BZD-intermediate:trazodone  1 0.31  0.21  -0.14   0.37 -0.51 -2.33  0.0199
   BZD-intermediate:trimipramine  1 0.75  0.14   0.28  -0.29  0.57  0.86  0.3881
       BZD-intermediate:zaleplon  0    0  0.46      .   0.46     .     .       .
       BZD-intermediate:zolpidem  3 0.23  0.17  -0.07   0.24 -0.31 -2.22  0.0265
      BZD-intermediate:zopiclone  0    0  0.20      .   0.20     .     .       .
              BZD-long:BZD-short  5 0.48 -0.27  -0.46  -0.09 -0.37 -2.18  0.0293
           BZD-long:daridorexant  0    0  0.30      .   0.30     .     .       .
         BZD-long:diphenydramine  0    0  0.04      .   0.04     .     .       .
                BZD-long:doxepin  0    0  0.31      .   0.31     .     .       .
             BZD-long:doxylamine  0    0  0.06      .   0.06     .     .       .
            BZD-long:eszopiclone  0    0 -0.01      .  -0.01     .     .       .
              BZD-long:melatonin  0    0  0.46      .   0.46     .     .       .
            BZD-long:mirtazapine  0    0 -0.46      .  -0.46     .     .       .
                BZD-long:placebo  4 0.42  0.57   0.65   0.52  0.13  0.90  0.3665
             BZD-long:quetiapine  0    0  0.52      .   0.52     .     .       .
              BZD-long:ramelteon  0    0  0.44      .   0.44     .     .       .
              BZD-long:trazodone  0    0  0.08      .   0.08     .     .       .
           BZD-long:trimipramine  0    0  0.00      .   0.00     .     .       .
               BZD-long:zaleplon  0    0  0.32      .   0.32     .     .       .
               BZD-long:zolpidem  0    0  0.03      .   0.03     .     .       .
              BZD-long:zopiclone  3 0.39  0.07   0.12   0.04  0.08  0.44  0.6607
          BZD-short:daridorexant  0    0  0.57      .   0.57     .     .       .
        BZD-short:diphenydramine  0    0  0.32      .   0.32     .     .       .
               BZD-short:doxepin  0    0  0.58      .   0.58     .     .       .
            BZD-short:doxylamine  0    0  0.33      .   0.33     .     .       .
           BZD-short:eszopiclone  0    0  0.27      .   0.27     .     .       .
             BZD-short:melatonin  0    0  0.74      .   0.74     .     .       .
           BZD-short:mirtazapine  0    0 -0.19      .  -0.19     .     .       .
               BZD-short:placebo  1 0.07  0.85   1.18   0.82  0.36  1.11  0.2687
            BZD-short:quetiapine  0    0  0.80      .   0.80     .     .       .
             BZD-short:ramelteon  0    0  0.71      .   0.71     .     .       .
             BZD-short:trazodone  0    0  0.35      .   0.35     .     .       .
          BZD-short:trimipramine  0    0  0.28      .   0.28     .     .       .
              BZD-short:zaleplon  0    0  0.60      .   0.60     .     .       .
              BZD-short:zolpidem  1 0.32  0.31  -0.04   0.47 -0.51 -2.91  0.0037
             BZD-short:zopiclone  1 0.11  0.34   0.26   0.35 -0.09 -0.31  0.7558
     daridorexant:diphenydramine  0    0 -0.26      .  -0.26     .     .       .
            daridorexant:doxepin  0    0  0.01      .   0.01     .     .       .
         daridorexant:doxylamine  0    0 -0.24      .  -0.24     .     .       .
        daridorexant:eszopiclone  0    0 -0.31      .  -0.31     .     .       .
          daridorexant:melatonin  0    0  0.17      .   0.17     .     .       .
        daridorexant:mirtazapine  0    0 -0.76      .  -0.76     .     .       .
            daridorexant:placebo  3 0.96  0.28   0.26   0.72 -0.46 -1.92  0.0543
         daridorexant:quetiapine  0    0  0.22      .   0.22     .     .       .
          daridorexant:ramelteon  0    0  0.14      .   0.14     .     .       .
          daridorexant:trazodone  0    0 -0.22      .  -0.22     .     .       .
       daridorexant:trimipramine  0    0 -0.30      .  -0.30     .     .       .
           daridorexant:zaleplon  0    0  0.02      .   0.02     .     .       .
           daridorexant:zolpidem  1 0.17 -0.27  -0.03  -0.31  0.28  1.63  0.1039
          daridorexant:zopiclone  0    0 -0.23      .  -0.23     .     .       .
          diphenydramine:doxepin  0    0  0.26      .   0.26     .     .       .
       diphenydramine:doxylamine  0    0  0.02      .   0.02     .     .       .
      diphenydramine:eszopiclone  0    0 -0.05      .  -0.05     .     .       .
        diphenydramine:melatonin  0    0  0.42      .   0.42     .     .       .
      diphenydramine:mirtazapine  0    0 -0.50      .  -0.50     .     .       .
          diphenydramine:placebo  1 1.00  0.53   0.53      .     .     .       .
       diphenydramine:quetiapine  0    0  0.48      .   0.48     .     .       .
        diphenydramine:ramelteon  0    0  0.39      .   0.39     .     .       .
        diphenydramine:trazodone  0    0  0.03      .   0.03     .     .       .
     diphenydramine:trimipramine  0    0 -0.04      .  -0.04     .     .       .
         diphenydramine:zaleplon  0    0  0.28      .   0.28     .     .       .
         diphenydramine:zolpidem  0    0 -0.01      .  -0.01     .     .       .
        diphenydramine:zopiclone  0    0  0.03      .   0.03     .     .       .
              doxepin:doxylamine  0    0 -0.25      .  -0.25     .     .       .
             doxepin:eszopiclone  0    0 -0.31      .  -0.31     .     .       .
               doxepin:melatonin  0    0  0.16      .   0.16     .     .       .
             doxepin:mirtazapine  0    0 -0.77      .  -0.77     .     .       .
                 doxepin:placebo  2 1.00  0.27   0.27      .     .     .       .
              doxepin:quetiapine  0    0  0.22      .   0.22     .     .       .
               doxepin:ramelteon  0    0  0.13      .   0.13     .     .       .
               doxepin:trazodone  0    0 -0.23      .  -0.23     .     .       .
            doxepin:trimipramine  0    0 -0.31      .  -0.31     .     .       .
                doxepin:zaleplon  0    0  0.02      .   0.02     .     .       .
                doxepin:zolpidem  0    0 -0.27      .  -0.27     .     .       .
               doxepin:zopiclone  0    0 -0.24      .  -0.24     .     .       .
          doxylamine:eszopiclone  0    0 -0.07      .  -0.07     .     .       .
            doxylamine:melatonin  0    0  0.40      .   0.40     .     .       .
          doxylamine:mirtazapine  0    0 -0.52      .  -0.52     .     .       .
              doxylamine:placebo  1 0.75  0.51   0.60   0.26  0.34  1.23  0.2197
           doxylamine:quetiapine  0    0  0.46      .   0.46     .     .       .
            doxylamine:ramelteon  0    0  0.38      .   0.38     .     .       .
            doxylamine:trazodone  0    0  0.02      .   0.02     .     .       .
         doxylamine:trimipramine  0    0 -0.06      .  -0.06     .     .       .
             doxylamine:zaleplon  0    0  0.26      .   0.26     .     .       .
             doxylamine:zolpidem  1 0.80 -0.03  -0.10   0.26 -0.36 -1.23  0.2197
            doxylamine:zopiclone  0    0  0.01      .   0.01     .     .       .
           eszopiclone:melatonin  0    0  0.47      .   0.47     .     .       .
         eszopiclone:mirtazapine  0    0 -0.45      .  -0.45     .     .       .
             eszopiclone:placebo  6 0.88  0.58   0.59   0.53  0.06  0.48  0.6331
          eszopiclone:quetiapine  0    0  0.53      .   0.53     .     .       .
           eszopiclone:ramelteon  0    0  0.44      .   0.44     .     .       .
           eszopiclone:trazodone  0    0  0.08      .   0.08     .     .       .
        eszopiclone:trimipramine  0    0  0.01      .   0.01     .     .       .
            eszopiclone:zaleplon  0    0  0.33      .   0.33     .     .       .
            eszopiclone:zolpidem  0    0  0.04      .   0.04     .     .       .
           eszopiclone:zopiclone  2 0.51  0.08   0.04   0.12 -0.08 -0.55  0.5819
