Separate indirect from direct evidence (SIDE) using back-calculation method

Fixed effects model: 

                    comparison  k prop   nma direct indir.  Diff     z p-value
     BZD-intermediate:BZD-long  3 0.49  0.18  -0.00   0.36 -0.36 -2.17  0.0298
    BZD-intermediate:BZD-short  1 0.44 -0.10  -0.16  -0.04 -0.12 -0.68  0.4982
 BZD-intermediate:daridorexant  0    0  0.51      .   0.51     .     .       .
      BZD-intermediate:doxepin  0    0  0.51      .   0.51     .     .       .
   BZD-intermediate:doxylamine  0    0  0.29      .   0.29     .     .       .
  BZD-intermediate:eszopiclone  0    0  0.25      .   0.25     .     .       .
  BZD-intermediate:lemborexant  0    0  0.37      .   0.37     .     .       .
    BZD-intermediate:melatonin  0    0  0.70      .   0.70     .     .       .
      BZD-intermediate:placebo  8 0.84  0.78   0.82   0.59  0.23  1.42  0.1551
    BZD-intermediate:ramelteon  0    0  0.60      .   0.60     .     .       .
   BZD-intermediate:suvorexant  0    0  0.49      .   0.49     .     .       .
    BZD-intermediate:trazodone  0    0  0.43      .   0.43     .     .       .
     BZD-intermediate:zaleplon  0    0  0.52      .   0.52     .     .       .
     BZD-intermediate:zolpidem  0    0  0.28      .   0.28     .     .       .
    BZD-intermediate:zopiclone  0    0  0.30      .   0.30     .     .       .
            BZD-long:BZD-short  4 0.47 -0.28  -0.49  -0.09 -0.40 -2.16  0.0305
         BZD-long:daridorexant  0    0  0.33      .   0.33     .     .       .
              BZD-long:doxepin  0    0  0.33      .   0.33     .     .       .
           BZD-long:doxylamine  0    0  0.10      .   0.10     .     .       .
          BZD-long:eszopiclone  0    0  0.07      .   0.07     .     .       .
          BZD-long:lemborexant  0    0  0.19      .   0.19     .     .       .
            BZD-long:melatonin  0    0  0.52      .   0.52     .     .       .
              BZD-long:placebo  5 0.52  0.60   0.67   0.52  0.15  0.96  0.3367
            BZD-long:ramelteon  0    0  0.41      .   0.41     .     .       .
           BZD-long:suvorexant  0    0  0.30      .   0.30     .     .       .
            BZD-long:trazodone  0    0  0.25      .   0.25     .     .       .
             BZD-long:zaleplon  0    0  0.34      .   0.34     .     .       .
             BZD-long:zolpidem  0    0  0.09      .   0.09     .     .       .
            BZD-long:zopiclone  1 0.25  0.12   0.09   0.13 -0.04 -0.19  0.8516
        BZD-short:daridorexant  0    0  0.60      .   0.60     .     .       .
             BZD-short:doxepin  0    0  0.61      .   0.61     .     .       .
          BZD-short:doxylamine  0    0  0.38      .   0.38     .     .       .
         BZD-short:eszopiclone  0    0  0.34      .   0.34     .     .       .
         BZD-short:lemborexant  0    0  0.47      .   0.47     .     .       .
           BZD-short:melatonin  0    0  0.80      .   0.80     .     .       .
             BZD-short:placebo  2 0.11  0.88   1.13   0.84  0.29  1.07  0.2863
           BZD-short:ramelteon  0    0  0.69      .   0.69     .     .       .
          BZD-short:suvorexant  0    0  0.58      .   0.58     .     .       .
           BZD-short:trazodone  0    0  0.53      .   0.53     .     .       .
            BZD-short:zaleplon  0    0  0.62      .   0.62     .     .       .
            BZD-short:zolpidem  1 0.35  0.37  -0.04   0.60 -0.64 -3.55  0.0004
           BZD-short:zopiclone  0    0  0.40      .   0.40     .     .       .
          daridorexant:doxepin  0    0  0.01      .   0.01     .     .       .
       daridorexant:doxylamine  0    0 -0.22      .  -0.22     .     .       .
      daridorexant:eszopiclone  0    0 -0.26      .  -0.26     .     .       .
      daridorexant:lemborexant  0    0 -0.14      .  -0.14     .     .       .
        daridorexant:melatonin  0    0  0.19      .   0.19     .     .       .
          daridorexant:placebo  3 0.95  0.27   0.26   0.64 -0.38 -1.63  0.1029
        daridorexant:ramelteon  0    0  0.09      .   0.09     .     .       .
       daridorexant:suvorexant  0    0 -0.02      .  -0.02     .     .       .
        daridorexant:trazodone  0    0 -0.08      .  -0.08     .     .       .
         daridorexant:zaleplon  0    0  0.01      .   0.01     .     .       .
         daridorexant:zolpidem  1 0.14 -0.23  -0.03  -0.26  0.23  1.36  0.1749
        daridorexant:zopiclone  0    0 -0.21      .  -0.21     .     .       .
            doxepin:doxylamine  0    0 -0.23      .  -0.23     .     .       .
           doxepin:eszopiclone  0    0 -0.27      .  -0.27     .     .       .
           doxepin:lemborexant  0    0 -0.14      .  -0.14     .     .       .
             doxepin:melatonin  0    0  0.19      .   0.19     .     .       .
               doxepin:placebo  2 1.00  0.27   0.27      .     .     .       .
             doxepin:ramelteon  0    0  0.08      .   0.08     .     .       .
            doxepin:suvorexant  0    0 -0.03      .  -0.03     .     .       .
             doxepin:trazodone  0    0 -0.08      .  -0.08     .     .       .
              doxepin:zaleplon  0    0  0.01      .   0.01     .     .       .
              doxepin:zolpidem  0    0 -0.24      .  -0.24     .     .       .
             doxepin:zopiclone  0    0 -0.21      .  -0.21     .     .       .
        doxylamine:eszopiclone  0    0 -0.04      .  -0.04     .     .       .
        doxylamine:lemborexant  0    0  0.09      .   0.09     .     .       .
          doxylamine:melatonin  0    0  0.41      .   0.41     .     .       .
            doxylamine:placebo  1 0.73  0.49   0.60   0.20  0.40  1.49  0.1375
          doxylamine:ramelteon  0    0  0.31      .   0.31     .     .       .
         doxylamine:suvorexant  0    0  0.20      .   0.20     .     .       .
          doxylamine:trazodone  0    0  0.14      .   0.14     .     .       .
           doxylamine:zaleplon  0    0  0.23      .   0.23     .     .       .
           doxylamine:zolpidem  1 0.79 -0.01  -0.10   0.33 -0.43 -1.49  0.1375
          doxylamine:zopiclone  0    0  0.02      .   0.02     .     .       .
       eszopiclone:lemborexant  0    0  0.12      .   0.12     .     .       .
         eszopiclone:melatonin  0    0  0.45      .   0.45     .     .       .
           eszopiclone:placebo  5 0.90  0.53   0.54   0.45  0.09  0.53  0.5984
         eszopiclone:ramelteon  0    0  0.35      .   0.35     .     .       .
        eszopiclone:suvorexant  0    0  0.24      .   0.24     .     .       .
         eszopiclone:trazodone  0    0  0.18      .   0.18     .     .       .
          eszopiclone:zaleplon  0    0  0.27      .   0.27     .     .       .
          eszopiclone:zolpidem  0    0  0.03      .   0.03     .     .       .
         eszopiclone:zopiclone  1 0.41  0.05   0.00   0.09 -0.09 -0.53  0.5984
         lemborexant:melatonin  0    0  0.33      .   0.33     .     .       .
           lemborexant:placebo  2 0.81  0.41   0.38   0.52 -0.14 -1.13  0.2594
         lemborexant:ramelteon  0    0  0.23      .   0.23     .     .       .
        lemborexant:suvorexant  0    0  0.11      .   0.11     .     .       .
         lemborexant:trazodone  0    0  0.06      .   0.06     .     .       .
          lemborexant:zaleplon  0    0  0.15      .   0.15     .     .       .
          lemborexant:zolpidem  1 0.50 -0.09  -0.04  -0.15  0.11  1.08  0.2798
         lemborexant:zopiclone  0    0 -0.07      .  -0.07     .     .       .
             melatonin:placebo  3 1.00  0.08   0.08      .     .     .       .
           melatonin:ramelteon  0    0 -0.10      .  -0.10     .     .       .
          melatonin:suvorexant  0    0 -0.21      .  -0.21     .     .       .
           melatonin:trazodone  0    0 -0.27      .  -0.27     .     .       .
            melatonin:zaleplon  0    0 -0.18      .  -0.18     .     .       .
            melatonin:zolpidem  0    0 -0.42      .  -0.42     .     .       .
           melatonin:zopiclone  0    0 -0.40      .  -0.40     .     .       .
             ramelteon:placebo  2 1.00  0.18   0.18      .     .     .       .
            suvorexant:placebo  2 1.00  0.30   0.30      .     .     .       .
             trazodone:placebo  2 0.82  0.35   0.22   0.92 -0.70 -2.41  0.0160
              zaleplon:placebo  2 0.58  0.26   0.17   0.39 -0.22 -1.75  0.0799
              zolpidem:placebo 13 0.84  0.50   0.48   0.61 -0.13 -1.31  0.1902
             zopiclone:placebo  0    0  0.48      .   0.48     .     .       .
          ramelteon:suvorexant  0    0 -0.11      .  -0.11     .     .       .
           ramelteon:trazodone  0    0 -0.17      .  -0.17     .     .       .
            ramelteon:zaleplon  0    0 -0.08      .  -0.08     .     .       .
            ramelteon:zolpidem  0    0 -0.32      .  -0.32     .     .       .
