"BZD-intermediate","0.80 (0.36 to  1.81)","1.63 (0.52 to  5.12)",".",".",".",".",".",".","0.86 (0.53 to  1.40)",".",".",".",".",".",".","2.03 (0.18 to 22.82)"
"1.02 (0.63 to 1.66)","BZD-long","0.84 (0.59 to  1.19)",".",".",".",".",".",".","0.84 (0.55 to  1.28)",".",".",".",".",".",".","0.76 (0.50 to  1.17)"
"0.91 (0.56 to 1.48)","0.89 (0.64 to 1.24)","BZD-short",".",".",".",".",".",".","0.95 (0.63 to  1.45)",".",".",".",".","0.22 (0.01 to  4.29)","1.18 (0.37 to  3.74)","0.93 (0.62 to  1.38)"
"0.91 (0.52 to 1.60)","0.89 (0.54 to 1.48)","1.00 (0.61 to 1.64)","daridorexant",".",".",".",".",".","0.99 (0.68 to  1.43)",".",".",".",".",".","0.24 (0.02 to  2.72)","."
"1.02 (0.55 to 1.89)","1.00 (0.57 to 1.76)","1.12 (0.64 to 1.95)","1.12 (0.63 to 1.99)","doxepin",".",".",".",".","0.86 (0.54 to  1.37)","1.22 (0.51 to  2.95)",".",".",".",".",".","."
"1.46 (0.55 to 3.90)","1.43 (0.56 to 3.69)","1.61 (0.63 to 4.11)","1.60 (0.62 to 4.18)","1.43 (0.53 to 3.87)","doxylamine",".",".",".","0.54 (0.21 to  1.44)",".",".",".",".",".","0.65 (0.24 to  1.75)","."
"1.18 (0.68 to 2.06)","1.16 (0.71 to 1.88)","1.30 (0.81 to 2.09)","1.30 (0.77 to 2.17)","1.16 (0.65 to 2.06)","0.81 (0.31 to 2.10)","eszopiclone",".",".","0.68 (0.46 to  1.02)",".",".",".",".",".",".","0.99 (0.44 to  2.24)"
"1.03 (0.59 to 1.82)","1.01 (0.61 to 1.68)","1.14 (0.69 to 1.86)","1.13 (0.67 to 1.91)","1.01 (0.57 to 1.81)","0.71 (0.27 to 1.84)","0.87 (0.52 to 1.47)","lemborexant",".","0.96 (0.65 to  1.44)",".",".",".",".",".","0.47 (0.24 to  0.95)","."
"0.93 (0.44 to 1.93)","0.91 (0.45 to 1.82)","1.02 (0.51 to 2.02)","1.01 (0.50 to 2.05)","0.91 (0.43 to 1.92)","0.63 (0.22 to 1.85)","0.78 (0.39 to 1.58)","0.90 (0.44 to 1.82)","melatonin","0.96 (0.52 to  1.75)",".",".",".",".",".",".","."
"0.89 (0.58 to 1.35)","0.87 (0.61 to 1.23)","0.97 (0.70 to 1.36)","0.97 (0.67 to 1.40)","0.87 (0.56 to 1.36)","0.61 (0.25 to 1.47)","0.75 (0.52 to 1.08)","0.86 (0.59 to 1.25)","0.96 (0.52 to 1.75)","placebo","1.02 (0.74 to  1.40)","2.27 (0.76 to  6.78)","1.10 (0.78 to  1.56)","0.65 (0.24 to  1.78)","1.13 (0.77 to  1.67)","0.91 (0.69 to  1.18)","0.98 (0.65 to  1.49)"
"0.94 (0.55 to 1.58)","0.92 (0.57 to 1.46)","1.03 (0.65 to 1.62)","1.02 (0.63 to 1.66)","0.92 (0.55 to 1.53)","0.64 (0.25 to 1.63)","0.79 (0.49 to 1.28)","0.90 (0.56 to 1.47)","1.01 (0.51 to 1.99)","1.06 (0.77 to 1.44)","ramelteon",".",".",".",".",".","."
"1.68 (0.59 to 4.79)","1.65 (0.60 to 4.55)","1.85 (0.67 to 5.07)","1.84 (0.66 to 5.14)","1.65 (0.57 to 4.75)","1.15 (0.31 to 4.21)","1.42 (0.51 to 3.96)","1.63 (0.58 to 4.53)","1.82 (0.58 to 5.63)","1.90 (0.73 to 4.95)","1.80 (0.66 to 4.93)","seltorexant",".",".",".","0.66 (0.19 to  2.26)","."
"0.98 (0.57 to 1.69)","0.96 (0.59 to 1.56)","1.07 (0.67 to 1.73)","1.07 (0.65 to 1.77)","0.96 (0.55 to 1.68)","0.67 (0.26 to 1.73)","0.83 (0.50 to 1.36)","0.95 (0.57 to 1.57)","1.05 (0.53 to 2.11)","1.10 (0.78 to 1.56)","1.05 (0.66 to 1.66)","0.58 (0.21 to 1.61)","suvorexant",".",".",".","."
"0.77 (0.30 to 1.94)","0.75 (0.31 to 1.83)","0.84 (0.35 to 2.03)","0.84 (0.34 to 2.07)","0.75 (0.29 to 1.92)","0.52 (0.16 to 1.74)","0.65 (0.26 to 1.60)","0.74 (0.30 to 1.82)","0.83 (0.30 to 2.30)","0.87 (0.38 to 1.98)","0.82 (0.34 to 1.98)","0.46 (0.13 to 1.60)","0.79 (0.32 to 1.92)","trazodone",".","0.92 (0.37 to  2.27)","."
"0.84 (0.49 to 1.43)","0.82 (0.51 to 1.32)","0.92 (0.58 to 1.46)","0.92 (0.56 to 1.51)","0.82 (0.47 to 1.43)","0.57 (0.22 to 1.46)","0.71 (0.43 to 1.16)","0.81 (0.49 to 1.33)","0.90 (0.45 to 1.80)","0.94 (0.68 to 1.32)","0.90 (0.57 to 1.42)","0.50 (0.18 to 1.36)","0.86 (0.53 to 1.38)","1.09 (0.45 to 2.62)","zaleplon","1.43 (0.87 to  2.37)","."
"0.85 (0.53 to 1.37)","0.84 (0.57 to 1.24)","0.94 (0.65 to 1.36)","0.94 (0.61 to 1.44)","0.84 (0.51 to 1.38)","0.58 (0.24 to 1.42)","0.72 (0.47 to 1.10)","0.83 (0.55 to 1.25)","0.92 (0.48 to 1.76)","0.96 (0.77 to 1.21)","0.91 (0.62 to 1.35)","0.51 (0.19 to 1.33)","0.87 (0.58 to 1.32)","1.11 (0.49 to 2.52)","1.02 (0.71 to 1.46)","zolpidem","0.73 (0.44 to  1.19)"
"0.79 (0.49 to 1.28)","0.78 (0.55 to 1.10)","0.87 (0.63 to 1.21)","0.87 (0.54 to 1.38)","0.78 (0.46 to 1.32)","0.54 (0.22 to 1.36)","0.67 (0.44 to 1.03)","0.77 (0.48 to 1.22)","0.85 (0.44 to 1.67)","0.89 (0.67 to 1.19)","0.85 (0.55 to 1.30)","0.47 (0.17 to 1.27)","0.81 (0.52 to 1.27)","1.03 (0.44 to 2.44)","0.95 (0.62 to 1.45)","0.93 (0.68 to 1.27)","zopiclone"
