"BZD-intermediate","0.69 (0.29 to   1.64)",".",".",".",".",".","1.04 (0.63 to   1.73)",".",".",".",".","1.45 (0.27 to   7.78)","1.24 (0.34 to   4.56)",".","0.70 (0.38 to   1.28)","2.03 (0.18 to  22.82)"
"0.63 (0.30 to  1.30)","BZD-short",".",".",".",".",".","1.22 (0.53 to   2.82)",".",".",".",".",".",".","0.22 (0.01 to   4.29)","2.50 (0.91 to   6.85)","."
"0.67 (0.36 to  1.23)","1.06 (0.46 to  2.46)","daridorexant",".",".",".",".","1.32 (0.82 to   2.12)",".",".",".",".",".",".",".","0.49 (0.07 to   3.55)","."
"0.94 (0.52 to  1.71)","1.50 (0.66 to  3.45)","1.41 (0.74 to  2.69)","doxepin",".",".",".","0.86 (0.54 to   1.37)",".","1.22 (0.51 to   2.95)",".",".",".",".",".",".","."
"1.03 (0.63 to  1.69)","1.65 (0.77 to  3.53)","1.55 (0.89 to  2.69)","1.10 (0.64 to  1.87)","eszopiclone",".",".","0.81 (0.60 to   1.10)",".",".",".",".",".",".",".",".","0.85 (0.52 to   1.39)"
"1.15 (0.67 to  1.98)","1.84 (0.83 to  4.06)","1.73 (0.95 to  3.14)","1.22 (0.68 to  2.19)","1.11 (0.69 to  1.81)","lemborexant",".","0.84 (0.56 to   1.26)",".",".",".",".",".",".",".","0.47 (0.24 to   0.95)","."
"0.92 (0.49 to  1.72)","1.46 (0.62 to  3.43)","1.38 (0.70 to  2.69)","0.97 (0.50 to  1.88)","0.89 (0.50 to  1.57)","0.80 (0.43 to  1.47)","melatonin","0.92 (0.57 to   1.49)",".",".",".",".",".",".",".",".","."
"0.84 (0.56 to  1.26)","1.34 (0.67 to  2.71)","1.26 (0.79 to  2.01)","0.89 (0.57 to  1.39)","0.82 (0.60 to  1.10)","0.73 (0.50 to  1.07)","0.92 (0.57 to  1.49)","placebo","2.33 (0.17 to  32.58)","0.88 (0.72 to   1.08)","2.60 (0.84 to   7.99)","1.18 (0.75 to   1.86)","0.65 (0.24 to   1.78)","1.07 (0.28 to   4.04)","1.02 (0.67 to   1.54)","1.17 (0.96 to   1.44)","0.18 (0.01 to   3.76)"
"1.96 (0.14 to 28.26)","3.14 (0.20 to 47.98)","2.95 (0.20 to 42.89)","2.08 (0.14 to 30.21)","1.90 (0.13 to 27.03)","1.71 (0.12 to 24.49)","2.14 (0.15 to 31.27)","2.33 (0.17 to 32.58)","quetiapine",".",".",".",".",".",".",".","."
"0.76 (0.48 to  1.18)","1.21 (0.58 to  2.51)","1.14 (0.69 to  1.88)","0.80 (0.50 to  1.29)","0.73 (0.51 to  1.05)","0.66 (0.43 to  1.01)","0.83 (0.49 to  1.39)","0.90 (0.74 to  1.10)","0.39 (0.03 to  5.42)","ramelteon",".",".",".",".",".",".","."
