"BZD-intermediate","0.12 (0.01 to  0.96)",".",".",".",".",".",".",".","1.26 (0.58 to  2.75)",".",".",".",".",".",".","2.03 (0.18 to 22.82)"
"0.79 (0.28 to  2.25)","BZD-long","0.55 (0.26 to  1.17)",".",".",".",".",".",".","1.54 (0.58 to  4.07)",".",".",".",".",".",".","0.28 (0.06 to  1.22)"
"0.56 (0.19 to  1.65)","0.71 (0.34 to  1.45)","BZD-short",".",".",".",".",".",".","1.72 (0.50 to  5.92)",".",".",".",".",".",".","0.79 (0.30 to  2.07)"
"2.38 (0.81 to  7.00)","3.02 (0.99 to  9.23)","4.28 (1.38 to 13.30)","daridorexant",".",".",".",".",".","0.59 (0.28 to  1.25)",".",".",".",".",".",".","."
"1.01 (0.31 to  3.32)","1.28 (0.38 to  4.36)","1.82 (0.53 to  6.28)","0.42 (0.13 to  1.38)","doxepin",".",".",".",".","1.42 (0.54 to  3.74)","1.00 (0.20 to  5.06)",".",".",".",".",".","."
"1.68 (0.29 to  9.84)","2.13 (0.36 to 12.57)","3.02 (0.51 to 17.89)","0.70 (0.12 to  4.13)","1.66 (0.26 to 10.44)","doxylamine",".",".",".","0.98 (0.14 to  7.10)",".",".",".",".",".","0.34 (0.07 to  1.73)","."
"2.30 (0.65 to  8.16)","2.92 (0.79 to 10.70)","4.13 (1.11 to 15.38)","0.97 (0.27 to  3.39)","2.27 (0.59 to  8.81)","1.37 (0.21 to  9.07)","eszopiclone",".",".","0.61 (0.22 to  1.67)",".",".",".",".",".",".","."
"1.68 (0.43 to  6.66)","2.14 (0.54 to  8.52)","3.03 (0.76 to 12.13)","0.71 (0.18 to  2.80)","1.67 (0.38 to  7.20)","1.00 (0.15 to  6.81)","0.73 (0.16 to  3.38)","lemborexant",".","0.97 (0.19 to  5.05)",".",".",".",".",".","0.35 (0.11 to  1.10)","."
"0.93 (0.13 to  6.56)","1.18 (0.16 to  8.51)","1.67 (0.23 to 12.17)","0.39 (0.06 to  2.74)","0.92 (0.12 to  6.88)","0.55 (0.05 to  6.14)","0.40 (0.05 to  3.17)","0.55 (0.07 to  4.66)","melatonin","1.51 (0.25 to  9.07)",".",".",".",".",".",".","."
"1.40 (0.65 to  3.03)","1.78 (0.78 to  4.06)","2.52 (1.08 to  5.88)","0.59 (0.28 to  1.25)","1.39 (0.56 to  3.44)","0.84 (0.17 to  4.14)","0.61 (0.22 to  1.67)","0.83 (0.26 to  2.63)","1.51 (0.25 to  9.07)","placebo","0.75 (0.40 to  1.39)","1.16 (0.22 to  6.12)","1.54 (0.85 to  2.80)","0.37 (0.07 to  1.97)","0.85 (0.44 to  1.64)","0.41 (0.26 to  0.65)","0.40 (0.12 to  1.41)"
"1.06 (0.40 to  2.82)","1.34 (0.48 to  3.73)","1.90 (0.67 to  5.38)","0.44 (0.17 to  1.17)","1.05 (0.38 to  2.87)","0.63 (0.11 to  3.49)","0.46 (0.14 to  1.49)","0.63 (0.17 to  2.31)","1.14 (0.17 to  7.55)","0.75 (0.41 to  1.38)","ramelteon",".",".",".",".",".","."
"1.09 (0.23 to  5.11)","1.38 (0.29 to  6.58)","1.96 (0.41 to  9.39)","0.46 (0.10 to  2.14)","1.08 (0.21 to  5.46)","0.65 (0.08 to  5.08)","0.47 (0.09 to  2.55)","0.65 (0.11 to  3.65)","1.17 (0.12 to 11.03)","0.77 (0.20 to  2.99)","1.03 (0.23 to  4.51)","seltorexant",".",".",".","0.84 (0.16 to  4.41)","."
