"BZD-intermediate","1.01 (0.28 to  3.63)",".",".",".",".",".","1.40 (0.67 to  2.90)",".",".",".",".",".","2.53 (0.48 to 13.44)","2.03 (0.18 to 22.82)"
"1.36 (0.43 to  4.30)","BZD-short",".",".",".",".",".","0.69 (0.21 to  2.26)",".",".",".",".",".","2.50 (0.47 to 13.27)","."
"2.93 (1.04 to  8.27)","2.15 (0.57 to  8.07)","daridorexant",".",".",".",".","0.59 (0.28 to  1.25)",".",".",".",".",".",".","."
"1.26 (0.40 to  3.99)","0.93 (0.23 to  3.81)","0.43 (0.13 to  1.40)","doxepin",".",".",".","1.42 (0.54 to  3.74)","1.00 (0.20 to  5.06)",".",".",".",".",".","."
"1.69 (0.67 to  4.22)","1.24 (0.36 to  4.30)","0.57 (0.22 to  1.53)","1.33 (0.44 to  4.01)","eszopiclone",".",".","1.07 (0.56 to  2.05)",".",".",".",".",".",".","0.57 (0.24 to  1.35)"
"2.47 (0.65 to  9.41)","1.81 (0.38 to  8.64)","0.84 (0.21 to  3.31)","1.95 (0.45 to  8.39)","1.46 (0.40 to  5.40)","lemborexant",".","0.97 (0.19 to  5.05)",".",".",".",".",".","0.35 (0.11 to  1.10)","."
"2.41 (0.62 to  9.32)","1.77 (0.36 to  8.60)","0.82 (0.21 to  3.25)","1.90 (0.44 to  8.23)","1.43 (0.38 to  5.30)","0.98 (0.19 to  4.95)","melatonin","0.72 (0.23 to  2.27)",".",".",".",".",".",".","."
"1.73 (0.85 to  3.52)","1.27 (0.43 to  3.76)","0.59 (0.28 to  1.25)","1.37 (0.55 to  3.37)","1.02 (0.55 to  1.92)","0.70 (0.22 to  2.20)","0.72 (0.23 to  2.27)","placebo","0.81 (0.48 to  1.36)","1.16 (0.22 to  6.12)","1.54 (0.85 to  2.80)","0.37 (0.07 to  1.97)","0.93 (0.56 to  1.55)","0.55 (0.37 to  0.82)","."
"1.39 (0.58 to  3.36)","1.02 (0.31 to  3.41)","0.48 (0.19 to  1.19)","1.10 (0.41 to  2.94)","0.83 (0.37 to  1.87)","0.57 (0.16 to  1.99)","0.58 (0.16 to  2.05)","0.81 (0.48 to  1.35)","ramelteon",".",".",".",".",".","."
"1.50 (0.33 to  6.84)","1.10 (0.20 to  6.15)","0.51 (0.11 to  2.39)","1.18 (0.23 to  6.00)","0.89 (0.20 to  3.93)","0.61 (0.11 to  3.43)","0.62 (0.11 to  3.66)","0.87 (0.23 to  3.33)","1.07 (0.25 to  4.54)","seltorexant",".",".",".","0.84 (0.16 to  4.41)","."
"2.67 (1.05 to  6.74)","1.96 (0.57 to  6.75)","0.91 (0.35 to  2.38)","2.11 (0.72 to  6.22)","1.58 (0.67 to  3.76)","1.08 (0.30 to  3.93)","1.11 (0.30 to  4.05)","1.54 (0.85 to  2.80)","1.91 (0.87 to  4.20)","1.78 (0.41 to  7.76)","suvorexant",".",".",".","."
"0.83 (0.20 to  3.34)","0.61 (0.12 to  3.04)","0.28 (0.07 to  1.17)","0.65 (0.14 to  2.96)","0.49 (0.13 to  1.92)","0.34 (0.07 to  1.68)","0.34 (0.06 to  1.82)","0.48 (0.14 to  1.60)","0.59 (0.16 to  2.21)","0.55 (0.09 to  3.27)","0.31 (0.08 to  1.19)","trazodone",".","1.02 (0.29 to  3.64)","."
"1.40 (0.60 to  3.24)","1.03 (0.32 to  3.30)","0.48 (0.20 to  1.15)","1.11 (0.40 to  3.05)","0.83 (0.38 to  1.81)","0.57 (0.17 to  1.86)","0.58 (0.17 to  2.01)","0.81 (0.51 to  1.28)","1.00 (0.50 to  2.00)","0.93 (0.23 to  3.78)","0.53 (0.25 to  1.11)","1.69 (0.48 to  5.93)","zaleplon","0.77 (0.44 to  1.36)","."
"0.94 (0.42 to  2.08)","0.69 (0.22 to  2.13)","0.32 (0.14 to  0.75)","0.74 (0.27 to  1.99)","0.56 (0.26 to  1.17)","0.38 (0.13 to  1.15)","0.39 (0.11 to  1.32)","0.54 (0.36 to  0.81)","0.67 (0.35 to  1.29)","0.62 (0.16 to  2.40)","0.35 (0.17 to  0.72)","1.13 (0.35 to  3.69)","0.67 (0.41 to  1.08)","zolpidem","."
"1.05 (0.33 to  3.31)","0.77 (0.18 to  3.28)","0.36 (0.10 to  1.24)","0.83 (0.22 to  3.17)","0.62 (0.27 to  1.41)","0.42 (0.09 to  1.93)","0.43 (0.09 to  1.99)","0.61 (0.22 to  1.64)","0.75 (0.25 to  2.30)","0.70 (0.13 to  3.72)","0.39 (0.12 to  1.25)","1.27 (0.26 to  6.05)","0.75 (0.25 to  2.23)","1.12 (0.38 to  3.26)","zopiclone"
