"BZD-intermediate","1.01 (0.28 to  3.63)",".",".",".",".",".","1.40 (0.67 to  2.90)",".",".",".",".","2.53 (0.48 to 13.44)","2.03 (0.18 to 22.82)"
"1.34 (0.43 to  4.24)","BZD-short",".",".",".",".",".","0.69 (0.21 to  2.26)",".",".",".",".","2.50 (0.47 to 13.27)","."
"1.65 (0.09 to 30.20)","1.23 (0.06 to 25.03)","daridorexant",".",".",".",".",".",".",".",".",".","0.49 (0.03 to  8.00)","."
"1.12 (0.30 to  4.17)","0.83 (0.18 to  3.93)","0.68 (0.03 to 14.07)","doxepin",".",".",".","1.73 (0.51 to  5.83)","1.00 (0.20 to  5.06)",".",".",".",".","."
"1.71 (0.68 to  4.28)","1.27 (0.37 to  4.42)","1.03 (0.06 to 18.65)","1.52 (0.43 to  5.42)","eszopiclone",".",".","1.07 (0.56 to  2.05)",".",".",".",".",".","0.57 (0.24 to  1.35)"
"1.96 (0.50 to  7.63)","1.45 (0.30 to  7.08)","1.18 (0.06 to 24.01)","1.74 (0.35 to  8.72)","1.14 (0.30 to  4.32)","lemborexant",".","0.97 (0.19 to  5.05)",".",".",".",".","0.40 (0.12 to  1.34)","."
"2.62 (0.61 to 11.23)","1.95 (0.37 to 10.36)","1.58 (0.07 to 35.02)","2.33 (0.43 to 12.55)","1.53 (0.37 to  6.32)","1.34 (0.24 to  7.53)","melatonin","0.67 (0.19 to  2.39)",".",".",".",".",".","."
"1.75 (0.86 to  3.57)","1.30 (0.44 to  3.87)","1.06 (0.06 to 17.86)","1.56 (0.52 to  4.71)","1.03 (0.55 to  1.92)","0.90 (0.28 to  2.89)","0.67 (0.19 to  2.39)","placebo","0.81 (0.48 to  1.36)","1.45 (0.26 to  8.09)","0.37 (0.07 to  1.97)","0.75 (0.40 to  1.40)","0.47 (0.31 to  0.73)","."
"1.40 (0.58 to  3.38)","1.04 (0.31 to  3.47)","0.85 (0.05 to 14.96)","1.25 (0.40 to  3.91)","0.82 (0.36 to  1.85)","0.72 (0.20 to  2.58)","0.54 (0.14 to  2.11)","0.80 (0.48 to  1.34)","ramelteon",".",".",".",".","."
"1.76 (0.36 to  8.55)","1.31 (0.22 to  7.73)","1.06 (0.05 to 24.31)","1.57 (0.26 to  9.45)","1.03 (0.22 to  4.85)","0.90 (0.15 to  5.44)","0.67 (0.10 to  4.51)","1.00 (0.24 to  4.14)","1.25 (0.28 to  5.68)","seltorexant",".",".","0.67 (0.12 to  3.74)","."
"0.75 (0.19 to  3.04)","0.56 (0.11 to  2.81)","0.45 (0.02 to  9.40)","0.67 (0.13 to  3.46)","0.44 (0.11 to  1.73)","0.38 (0.08 to  1.95)","0.29 (0.05 to  1.67)","0.43 (0.13 to  1.44)","0.54 (0.14 to  2.01)","0.43 (0.07 to  2.67)","trazodone",".","1.02 (0.29 to  3.64)","."
"1.28 (0.53 to  3.12)","0.95 (0.29 to  3.18)","0.78 (0.05 to 13.37)","1.14 (0.33 to  3.92)","0.75 (0.33 to  1.73)","0.66 (0.19 to  2.27)","0.49 (0.12 to  1.96)","0.73 (0.42 to  1.27)","0.92 (0.43 to  1.95)","0.73 (0.16 to  3.25)","1.71 (0.47 to  6.18)","zaleplon","0.66 (0.33 to  1.32)","."
"0.81 (0.36 to  1.84)","0.60 (0.19 to  1.89)","0.49 (0.03 to  8.00)","0.72 (0.22 to  2.37)","0.48 (0.22 to  1.02)","0.42 (0.13 to  1.29)","0.31 (0.08 to  1.19)","0.46 (0.30 to  0.72)","0.58 (0.29 to  1.14)","0.46 (0.11 to  1.91)","1.08 (0.33 to  3.53)","0.63 (0.36 to  1.11)","zolpidem","."
"1.06 (0.33 to  3.34)","0.79 (0.18 to  3.36)","0.64 (0.03 to 12.76)","0.94 (0.21 to  4.16)","0.62 (0.27 to  1.41)","0.54 (0.12 to  2.51)","0.40 (0.08 to  2.03)","0.60 (0.22 to  1.63)","0.75 (0.25 to  2.32)","0.60 (0.11 to  3.40)","1.41 (0.29 to  6.76)","0.82 (0.26 to  2.56)","1.30 (0.44 to  3.85)","zopiclone"
