"BZD-intermediate","0.12 (0.01 to  0.96)","2.00 (0.18 to 22.34)",".",".",".",".",".",".","1.26 (0.58 to  2.75)",".",".",".",".",".","2.03 (0.18 to 22.82)"
"0.86 (0.31 to  2.35)","BZD-long","0.55 (0.26 to  1.17)",".",".",".",".",".",".","1.68 (0.60 to  4.72)",".",".",".",".",".","0.28 (0.06 to  1.22)"
"0.62 (0.23 to  1.69)","0.72 (0.35 to  1.47)","BZD-short",".",".",".",".",".",".","1.96 (0.49 to  7.91)",".",".",".",".",".","0.79 (0.30 to  2.07)"
"1.24 (0.07 to 22.77)","1.45 (0.08 to 26.97)","2.01 (0.11 to 37.22)","daridorexant",".",".",".",".",".",".",".",".",".",".","0.49 (0.03 to  8.00)","."
"1.00 (0.26 to  3.79)","1.17 (0.29 to  4.69)","1.62 (0.40 to  6.50)","0.81 (0.04 to 16.75)","doxepin",".",".",".",".","1.73 (0.51 to  5.83)","1.00 (0.20 to  5.06)",".",".",".",".","."
"1.79 (0.31 to 10.26)","2.09 (0.35 to 12.35)","2.89 (0.49 to 17.04)","1.44 (0.06 to 35.52)","1.79 (0.26 to 12.44)","doxylamine",".",".",".","0.65 (0.11 to  3.96)",".",".",".",".","0.41 (0.08 to  2.18)","."
"2.62 (0.75 to  9.15)","3.06 (0.83 to 11.35)","4.24 (1.14 to 15.75)","2.12 (0.11 to 42.39)","2.62 (0.59 to 11.72)","1.47 (0.22 to  9.62)","eszopiclone",".",".","0.61 (0.22 to  1.67)",".",".",".",".",".","."
"1.54 (0.39 to  6.10)","1.80 (0.44 to  7.37)","2.50 (0.61 to 10.15)","1.24 (0.06 to 25.23)","1.54 (0.31 to  7.75)","0.86 (0.13 to  5.94)","0.59 (0.13 to  2.76)","lemborexant",".","0.97 (0.19 to  5.05)",".",".",".",".","0.40 (0.12 to  1.34)","."
"2.00 (0.44 to  9.09)","2.34 (0.49 to 11.16)","3.24 (0.68 to 15.49)","1.61 (0.07 to 36.45)","2.00 (0.36 to 11.22)","1.12 (0.14 to  8.83)","0.76 (0.15 to  4.01)","1.30 (0.22 to  7.58)","melatonin","0.80 (0.21 to  2.99)",".",".",".",".",".","."
"1.60 (0.76 to  3.37)","1.87 (0.81 to  4.33)","2.59 (1.12 to  6.01)","1.29 (0.08 to 21.75)","1.60 (0.53 to  4.85)","0.89 (0.18 to  4.39)","0.61 (0.22 to  1.67)","1.04 (0.32 to  3.35)","0.80 (0.21 to  2.99)","placebo","0.75 (0.40 to  1.39)","1.45 (0.26 to  8.09)","0.37 (0.07 to  1.97)","0.46 (0.17 to  1.26)","0.36 (0.22 to  0.58)","0.40 (0.12 to  1.41)"
"1.19 (0.45 to  3.11)","1.39 (0.49 to  3.92)","1.92 (0.68 to  5.44)","0.96 (0.05 to 17.23)","1.19 (0.37 to  3.80)","0.66 (0.12 to  3.65)","0.45 (0.14 to  1.47)","0.77 (0.21 to  2.89)","0.59 (0.14 to  2.54)","0.74 (0.40 to  1.37)","ramelteon",".",".",".",".","."
"1.45 (0.29 to  7.16)","1.70 (0.33 to  8.67)","2.35 (0.46 to 11.97)","1.17 (0.05 to 26.83)","1.46 (0.24 to  8.81)","0.81 (0.10 to  6.66)","0.55 (0.10 to  3.16)","0.94 (0.16 to  5.71)","0.73 (0.10 to  5.05)","0.91 (0.22 to  3.76)","1.22 (0.26 to  5.74)","seltorexant",".",".","0.67 (0.12 to  3.74)","."
"0.60 (0.14 to  2.45)","0.70 (0.16 to  2.96)","0.97 (0.23 to  4.08)","0.48 (0.02 to  9.96)","0.60 (0.12 to  3.09)","0.33 (0.05 to  2.37)","0.23 (0.05 to  1.10)","0.39 (0.08 to  1.97)","0.30 (0.05 to  1.79)","0.37 (0.11 to  1.26)","0.50 (0.13 to  1.96)","0.41 (0.07 to  2.56)","trazodone",".","1.02 (0.29 to  3.64)","."
"0.77 (0.27 to  2.24)","0.90 (0.30 to  2.75)","1.25 (0.41 to  3.79)","0.63 (0.03 to 11.26)","0.78 (0.20 to  3.00)","0.43 (0.08 to  2.45)","0.30 (0.08 to  1.05)","0.50 (0.13 to  1.93)","0.39 (0.08 to  1.79)","0.48 (0.22 to  1.05)","0.65 (0.24 to  1.75)","0.53 (0.11 to  2.60)","1.30 (0.32 to  5.20)","zaleplon","0.77 (0.30 to  1.94)","."
"0.61 (0.26 to  1.41)","0.71 (0.29 to  1.72)","0.99 (0.41 to  2.35)","0.49 (0.03 to  8.00)","0.61 (0.18 to  2.01)","0.34 (0.07 to  1.65)","0.23 (0.08 to  0.70)","0.40 (0.13 to  1.22)","0.30 (0.08 to  1.22)","0.38 (0.24 to  0.59)","0.51 (0.24 to  1.09)","0.42 (0.10 to  1.73)","1.02 (0.31 to  3.33)","0.79 (0.37 to  1.68)","zolpidem","0.74 (0.36 to  1.49)"
"0.49 (0.20 to  1.19)","0.57 (0.24 to  1.32)","0.79 (0.36 to  1.73)","0.39 (0.02 to  6.79)","0.49 (0.14 to  1.75)","0.27 (0.05 to  1.44)","0.19 (0.06 to  0.61)","0.32 (0.09 to  1.11)","0.24 (0.06 to  1.05)","0.30 (0.16 to  0.58)","0.41 (0.17 to  0.99)","0.33 (0.07 to  1.52)","0.82 (0.22 to  3.01)","0.63 (0.25 to  1.59)","0.80 (0.44 to  1.44)","zopiclone"
