"BZD-intermediate","0.59 (0.34 to 1.03)","0.74 (0.38 to 1.45)",".",".",".",".",".","1.38 (0.98 to 1.94)",".",".",".",".",".",".","1.35 (0.29 to 6.25)"
"0.70 (0.50 to 0.99)","BZD-long","1.08 (0.80 to 1.47)",".",".",".",".",".","1.49 (1.12 to 1.98)",".",".",".",".",".",".","1.29 (0.96 to 1.73)"
"0.78 (0.56 to 1.08)","1.10 (0.84 to 1.44)","BZD-short",".",".",".",".",".","1.19 (0.90 to 1.59)",".",".",".",".","1.91 (0.81 to 4.53)","1.73 (0.83 to 3.59)","1.19 (0.89 to 1.59)"
"1.06 (0.58 to 1.93)","1.50 (0.83 to 2.69)","1.36 (0.76 to 2.42)","daridorexant",".",".",".",".","1.33 (0.69 to 2.59)",".",".",".",".",".","0.86 (0.45 to 1.62)","."
"1.33 (0.89 to 1.98)","1.88 (1.30 to 2.73)","1.71 (1.19 to 2.45)","1.26 (0.69 to 2.29)","doxepin",".",".",".","0.92 (0.69 to 1.23)","0.79 (0.46 to 1.37)",".",".",".",".",".","."
"0.92 (0.64 to 1.33)","1.31 (0.94 to 1.83)","1.19 (0.86 to 1.64)","0.87 (0.49 to 1.56)","0.70 (0.48 to 1.00)","eszopiclone",".",".","1.39 (1.07 to 1.80)",".",".",".",".",".",".","0.99 (0.57 to 1.72)"
"1.27 (0.90 to 1.79)","1.80 (1.32 to 2.45)","1.63 (1.21 to 2.19)","1.20 (0.68 to 2.10)","0.96 (0.68 to 1.34)","1.37 (1.02 to 1.86)","lemborexant",".","1.04 (0.84 to 1.28)",".",".",".",".",".","0.75 (0.55 to 1.03)","."
"1.48 (0.92 to 2.38)","2.10 (1.33 to 3.30)","1.90 (1.22 to 2.97)","1.40 (0.73 to 2.69)","1.11 (0.70 to 1.78)","1.60 (1.02 to 2.51)","1.17 (0.76 to 1.78)","melatonin","0.86 (0.59 to 1.26)",".",".",".",".",".",".","."
"1.27 (0.95 to 1.70)","1.81 (1.41 to 2.32)","1.64 (1.30 to 2.06)","1.21 (0.71 to 2.05)","0.96 (0.73 to 1.27)","1.38 (1.09 to 1.75)","1.00 (0.83 to 1.21)","0.86 (0.59 to 1.26)","placebo","0.76 (0.63 to 0.91)","1.92 (1.13 to 3.27)","1.00 (0.80 to 1.26)","0.63 (0.34 to 1.15)","1.12 (0.85 to 1.49)","0.71 (0.62 to 0.81)","1.23 (0.92 to 1.65)"
"0.96 (0.68 to 1.35)","1.36 (1.00 to 1.85)","1.23 (0.92 to 1.66)","0.91 (0.52 to 1.60)","0.72 (0.53 to 0.99)","1.04 (0.77 to 1.40)","0.76 (0.58 to 0.98)","0.65 (0.43 to 0.99)","0.75 (0.63 to 0.90)","ramelteon",".",".",".",".",".","."
"1.89 (1.12 to 3.18)","2.68 (1.63 to 4.41)","2.43 (1.49 to 3.96)","1.79 (0.90 to 3.53)","1.42 (0.85 to 2.38)","2.05 (1.25 to 3.35)","1.49 (0.93 to 2.38)","1.28 (0.72 to 2.28)","1.48 (0.96 to 2.29)","1.97 (1.23 to 3.15)","seltorexant",".",".",".","0.69 (0.40 to 1.18)","."
"1.28 (0.89 to 1.85)","1.81 (1.30 to 2.54)","1.64 (1.19 to 2.27)","1.21 (0.68 to 2.16)","0.96 (0.67 to 1.38)","1.39 (1.00 to 1.93)","1.01 (0.75 to 1.36)","0.87 (0.56 to 1.35)","1.00 (0.80 to 1.26)","1.33 (1.00 to 1.78)","0.68 (0.42 to 1.10)","suvorexant",".",".",".","."
"0.91 (0.49 to 1.69)","1.29 (0.71 to 2.35)","1.17 (0.65 to 2.11)","0.86 (0.40 to 1.84)","0.69 (0.37 to 1.27)","0.99 (0.54 to 1.79)","0.72 (0.40 to 1.28)","0.62 (0.32 to 1.20)","0.72 (0.41 to 1.24)","0.95 (0.53 to 1.69)","0.48 (0.24 to 0.96)","0.71 (0.39 to 1.29)","trazodone",".","0.92 (0.48 to 1.76)","."
"1.33 (0.93 to 1.91)","1.89 (1.37 to 2.62)","1.72 (1.27 to 2.33)","1.26 (0.72 to 2.23)","1.01 (0.71 to 1.43)","1.45 (1.05 to 2.00)","1.05 (0.80 to 1.40)","0.90 (0.58 to 1.40)","1.05 (0.84 to 1.31)","1.39 (1.05 to 1.85)","0.71 (0.44 to 1.14)","1.04 (0.76 to 1.43)","1.47 (0.82 to 2.63)","zaleplon","0.81 (0.62 to 1.06)","."
"0.99 (0.72 to 1.35)","1.40 (1.07 to 1.84)","1.27 (0.99 to 1.63)","0.94 (0.55 to 1.59)","0.75 (0.55 to 1.01)","1.07 (0.82 to 1.40)","0.78 (0.64 to 0.96)","0.67 (0.45 to 1.00)","0.78 (0.69 to 0.88)","1.03 (0.83 to 1.28)","0.52 (0.34 to 0.81)","0.77 (0.60 to 1.00)","1.09 (0.63 to 1.88)","0.74 (0.60 to 0.92)","zolpidem","0.57 (0.39 to 0.84)"
"0.94 (0.67 to 1.30)","1.33 (1.03 to 1.71)","1.21 (0.95 to 1.54)","0.89 (0.50 to 1.56)","0.71 (0.50 to 1.00)","1.02 (0.76 to 1.36)","0.74 (0.56 to 0.97)","0.63 (0.41 to 0.98)","0.74 (0.60 to 0.90)","0.98 (0.74 to 1.28)","0.50 (0.31 to 0.80)","0.73 (0.54 to 0.99)","1.03 (0.58 to 1.84)","0.70 (0.53 to 0.94)","0.95 (0.76 to 1.18)","zopiclone"
