"BZD-intermediate","0.60 (0.32 to 1.14)","0.74 (0.33 to 1.67)",".",".",".",".",".","1.44 (0.93 to 2.24)",".",".",".",".",".",".","1.35 (0.27 to 6.69)"
"0.67 (0.44 to 1.03)","BZD-long","1.09 (0.69 to 1.72)",".",".",".",".",".","1.80 (1.20 to 2.71)",".",".",".",".",".",".","1.31 (0.78 to 2.22)"
"0.76 (0.50 to 1.16)","1.13 (0.78 to 1.64)","BZD-short",".",".",".",".",".","1.38 (0.92 to 2.08)",".",".",".",".","1.91 (0.72 to 5.09)","1.73 (0.73 to 4.10)","1.19 (0.69 to 2.06)"
"1.14 (0.53 to 2.45)","1.70 (0.80 to 3.60)","1.50 (0.72 to 3.14)","daridorexant",".",".",".",".","1.33 (0.59 to 3.00)",".",".",".",".",".","0.86 (0.39 to 1.88)","."
"1.43 (0.85 to 2.38)","2.12 (1.29 to 3.49)","1.88 (1.16 to 3.03)","1.25 (0.58 to 2.67)","doxepin",".",".",".","0.92 (0.64 to 1.33)","0.79 (0.39 to 1.62)",".",".",".",".",".","."
"1.01 (0.61 to 1.65)","1.50 (0.94 to 2.40)","1.33 (0.84 to 2.09)","0.88 (0.42 to 1.87)","0.71 (0.43 to 1.16)","eszopiclone",".",".","1.33 (0.91 to 1.94)",".",".",".",".",".",".","0.99 (0.48 to 2.03)"
"1.29 (0.78 to 2.11)","1.92 (1.19 to 3.09)","1.70 (1.07 to 2.67)","1.13 (0.54 to 2.37)","0.90 (0.55 to 1.47)","1.28 (0.79 to 2.06)","lemborexant",".","1.11 (0.78 to 1.59)",".",".",".",".",".","0.75 (0.43 to 1.32)","."
"1.56 (0.80 to 3.04)","2.33 (1.21 to 4.47)","2.06 (1.09 to 3.90)","1.37 (0.57 to 3.27)","1.10 (0.57 to 2.12)","1.55 (0.81 to 2.98)","1.21 (0.64 to 2.32)","melatonin","0.87 (0.50 to 1.52)",".",".",".",".",".",".","."
"1.36 (0.94 to 1.97)","2.03 (1.44 to 2.87)","1.80 (1.31 to 2.46)","1.19 (0.61 to 2.33)","0.96 (0.67 to 1.37)","1.35 (0.96 to 1.91)","1.06 (0.76 to 1.48)","0.87 (0.50 to 1.52)","placebo","0.75 (0.56 to 1.00)","1.92 (0.95 to 3.89)","1.00 (0.68 to 1.50)","0.63 (0.29 to 1.35)","1.21 (0.83 to 1.78)","0.74 (0.61 to 0.90)","1.23 (0.71 to 2.13)"
"1.02 (0.64 to 1.62)","1.52 (0.97 to 2.37)","1.34 (0.87 to 2.05)","0.89 (0.43 to 1.85)","0.71 (0.47 to 1.10)","1.01 (0.65 to 1.58)","0.79 (0.51 to 1.23)","0.65 (0.35 to 1.22)","0.75 (0.56 to 0.99)","ramelteon",".",".",".",".",".","."
"2.04 (1.02 to 4.09)","3.04 (1.54 to 6.01)","2.69 (1.38 to 5.23)","1.79 (0.74 to 4.33)","1.43 (0.72 to 2.86)","2.02 (1.02 to 4.01)","1.58 (0.81 to 3.11)","1.31 (0.58 to 2.94)","1.50 (0.83 to 2.71)","2.00 (1.04 to 3.87)","seltorexant",".",".",".","0.69 (0.34 to 1.40)","."
"1.37 (0.80 to 2.36)","2.04 (1.21 to 3.45)","1.81 (1.09 to 3.00)","1.20 (0.55 to 2.62)","0.96 (0.56 to 1.64)","1.36 (0.81 to 2.30)","1.06 (0.63 to 1.79)","0.88 (0.44 to 1.74)","1.00 (0.68 to 1.50)","1.35 (0.83 to 2.20)","0.67 (0.33 to 1.37)","suvorexant",".",".",".","."
"0.99 (0.46 to 2.15)","1.48 (0.69 to 3.16)","1.30 (0.62 to 2.75)","0.87 (0.34 to 2.24)","0.70 (0.32 to 1.50)","0.98 (0.46 to 2.10)","0.77 (0.36 to 1.64)","0.63 (0.26 to 1.53)","0.73 (0.37 to 1.44)","0.97 (0.47 to 2.04)","0.49 (0.20 to 1.19)","0.72 (0.33 to 1.59)","trazodone",".","0.92 (0.42 to 2.04)","."
"1.49 (0.93 to 2.39)","2.22 (1.42 to 3.48)","1.96 (1.30 to 2.97)","1.31 (0.63 to 2.69)","1.05 (0.65 to 1.67)","1.48 (0.94 to 2.33)","1.16 (0.74 to 1.80)","0.95 (0.51 to 1.80)","1.09 (0.81 to 1.48)","1.47 (0.97 to 2.23)","0.73 (0.38 to 1.41)","1.09 (0.66 to 1.80)","1.51 (0.72 to 3.14)","zaleplon","0.82 (0.57 to 1.18)","."
"1.08 (0.72 to 1.62)","1.61 (1.11 to 2.35)","1.42 (1.01 to 2.00)","0.95 (0.49 to 1.85)","0.76 (0.51 to 1.13)","1.07 (0.73 to 1.57)","0.84 (0.59 to 1.20)","0.69 (0.39 to 1.24)","0.79 (0.66 to 0.95)","1.06 (0.76 to 1.49)","0.53 (0.29 to 0.96)","0.79 (0.51 to 1.22)","1.09 (0.55 to 2.16)","0.73 (0.54 to 0.98)","zolpidem","0.57 (0.31 to 1.04)"
"0.94 (0.59 to 1.48)","1.39 (0.93 to 2.09)","1.23 (0.83 to 1.83)","0.82 (0.39 to 1.72)","0.66 (0.40 to 1.07)","0.93 (0.61 to 1.42)","0.73 (0.46 to 1.16)","0.60 (0.31 to 1.15)","0.69 (0.49 to 0.96)","0.92 (0.59 to 1.43)","0.46 (0.23 to 0.90)","0.68 (0.41 to 1.15)","0.95 (0.45 to 2.01)","0.63 (0.41 to 0.97)","0.87 (0.61 to 1.23)","zopiclone"
