Separate indirect from direct evidence (SIDE) using back-calculation method

Fixed effects model: 

                    comparison  k prop  nma direct indir.  RoR     z  p-value
     BZD-long:BZD-intermediate  3 0.38 1.42   1.68   1.28 1.32  0.78   0.4377
    BZD-short:BZD-intermediate  1 0.24 1.29   1.35   1.27 1.07  0.17   0.8683
 daridorexant:BZD-intermediate  0    0 0.95      .   0.95    .     .        .
      doxepin:BZD-intermediate  0    0 0.75      .   0.75    .     .        .
  eszopiclone:BZD-intermediate  0    0 1.08      .   1.08    .     .        .
  lemborexant:BZD-intermediate  0    0 0.79      .   0.79    .     .        .
    melatonin:BZD-intermediate  0    0 0.68      .   0.68    .     .        .
      placebo:BZD-intermediate  5 0.73 0.79   0.72   0.98 0.74 -0.90   0.3658
    ramelteon:BZD-intermediate  0    0 1.04      .   1.04    .     .        .
  seltorexant:BZD-intermediate  0    0 0.53      .   0.53    .     .        .
   suvorexant:BZD-intermediate  0    0 0.78      .   0.78    .     .        .
    trazodone:BZD-intermediate  0    0 1.10      .   1.10    .     .        .
     zaleplon:BZD-intermediate  0    0 0.75      .   0.75    .     .        .
     zolpidem:BZD-intermediate  0    0 1.01      .   1.01    .     .        .
    zopiclone:BZD-intermediate  1 0.05 1.07   0.74   1.09 0.68 -0.48   0.6319
            BZD-long:BZD-short  4 0.77 1.10   1.08   1.17 0.92 -0.25   0.8033
         BZD-long:daridorexant  0    0 1.50      .   1.50    .     .        .
              BZD-long:doxepin  0    0 1.88      .   1.88    .     .        .
          BZD-long:eszopiclone  0    0 1.31      .   1.31    .     .        .
          BZD-long:lemborexant  0    0 1.80      .   1.80    .     .        .
            BZD-long:melatonin  0    0 2.10      .   2.10    .     .        .
              BZD-long:placebo  6 0.76 1.81   1.49   3.34 0.45 -2.72   0.0066
            BZD-long:ramelteon  0    0 1.36      .   1.36    .     .        .
          BZD-long:seltorexant  0    0 2.68      .   2.68    .     .        .
           BZD-long:suvorexant  0    0 1.81      .   1.81    .     .        .
            BZD-long:trazodone  0    0 1.29      .   1.29    .     .        .
             BZD-long:zaleplon  0    0 1.89      .   1.89    .     .        .
             BZD-long:zolpidem  0    0 1.40      .   1.40    .     .        .
            BZD-long:zopiclone  2 0.74 1.33   1.29   1.46 0.88 -0.42   0.6760
        BZD-short:daridorexant  0    0 1.36      .   1.36    .     .        .
             BZD-short:doxepin  0    0 1.71      .   1.71    .     .        .
         BZD-short:eszopiclone  0    0 1.19      .   1.19    .     .        .
         BZD-short:lemborexant  0    0 1.63      .   1.63    .     .        .
           BZD-short:melatonin  0    0 1.90      .   1.90    .     .        .
             BZD-short:placebo  5 0.65 1.64   1.19   2.98 0.40 -3.69   0.0002
           BZD-short:ramelteon  0    0 1.23      .   1.23    .     .        .
         BZD-short:seltorexant  0    0 2.43      .   2.43    .     .        .
          BZD-short:suvorexant  0    0 1.64      .   1.64    .     .        .
           BZD-short:trazodone  0    0 1.17      .   1.17    .     .        .
            BZD-short:zaleplon  1 0.13 1.72   1.91   1.69 1.13  0.26   0.7914
            BZD-short:zolpidem  1 0.11 1.27   1.73   1.22 1.41  0.87   0.3858
           BZD-short:zopiclone  1 0.70 1.21   1.19   1.24 0.96 -0.14   0.8912
          daridorexant:doxepin  0    0 1.26      .   1.26    .     .        .
      daridorexant:eszopiclone  0    0 0.87      .   0.87    .     .        .
      daridorexant:lemborexant  0    0 1.20      .   1.20    .     .        .
        daridorexant:melatonin  0    0 1.40      .   1.40    .     .        .
          daridorexant:placebo  1 0.64 1.21   1.33   1.01 1.33  0.50   0.6182
        daridorexant:ramelteon  0    0 0.91      .   0.91    .     .        .
      daridorexant:seltorexant  0    0 1.79      .   1.79    .     .        .
       daridorexant:suvorexant  0    0 1.21      .   1.21    .     .        .
        daridorexant:trazodone  0    0 0.86      .   0.86    .     .        .
         daridorexant:zaleplon  0    0 1.26      .   1.26    .     .        .
         daridorexant:zolpidem  1 0.70 0.94   0.86   1.15 0.74 -0.50   0.6182
        daridorexant:zopiclone  0    0 0.89      .   0.89    .     .        .
           doxepin:eszopiclone  0    0 0.70      .   0.70    .     .        .
           doxepin:lemborexant  0    0 0.96      .   0.96    .     .        .
             doxepin:melatonin  0    0 1.11      .   1.11    .     .        .
               doxepin:placebo  4 0.93 0.96   0.92   1.63 0.57 -1.00   0.3191
             doxepin:ramelteon  1 0.34 0.72   0.79   0.69 1.15  0.41   0.6842
           doxepin:seltorexant  0    0 1.42      .   1.42    .     .        .
            doxepin:suvorexant  0    0 0.96      .   0.96    .     .        .
             doxepin:trazodone  0    0 0.69      .   0.69    .     .        .
              doxepin:zaleplon  0    0 1.01      .   1.01    .     .        .
              doxepin:zolpidem  0    0 0.75      .   0.75    .     .        .
             doxepin:zopiclone  0    0 0.71      .   0.71    .     .        .
       eszopiclone:lemborexant  0    0 1.37      .   1.37    .     .        .
         eszopiclone:melatonin  0    0 1.60      .   1.60    .     .        .
           eszopiclone:placebo  3 0.84 1.38   1.39   1.33 1.04  0.12   0.9038
         eszopiclone:ramelteon  0    0 1.04      .   1.04    .     .        .
       eszopiclone:seltorexant  0    0 2.05      .   2.05    .     .        .
        eszopiclone:suvorexant  0    0 1.39      .   1.39    .     .        .
         eszopiclone:trazodone  0    0 0.99      .   0.99    .     .        .
          eszopiclone:zaleplon  0    0 1.45      .   1.45    .     .        .
          eszopiclone:zolpidem  0    0 1.07      .   1.07    .     .        .
         eszopiclone:zopiclone  1 0.27 1.02   0.99   1.03 0.96 -0.12   0.9038
         lemborexant:melatonin  0    0 1.17      .   1.17    .     .        .
           lemborexant:placebo  3 0.82 1.00   1.04   0.88 1.18  0.67   0.5036
         lemborexant:ramelteon  0    0 0.76      .   0.76    .     .        .
       lemborexant:seltorexant  0    0 1.49      .   1.49    .     .        .
        lemborexant:suvorexant  0    0 1.01      .   1.01    .     .        .
         lemborexant:trazodone  0    0 0.72      .   0.72    .     .        .
          lemborexant:zaleplon  0    0 1.05      .   1.05    .     .        .
          lemborexant:zolpidem  1 0.43 0.78   0.75   0.80 0.94 -0.30   0.7619
         lemborexant:zopiclone  0    0 0.74      .   0.74    .     .        .
             melatonin:placebo  2 1.00 0.86   0.86      .    .     .        .
           melatonin:ramelteon  0    0 0.65      .   0.65    .     .        .
         melatonin:seltorexant  0    0 1.28      .   1.28    .     .        .
          melatonin:suvorexant  0    0 0.87      .   0.87    .     .        .
           melatonin:trazodone  0    0 0.62      .   0.62    .     .        .
            melatonin:zaleplon  0    0 0.90      .   0.90    .     .        .
            melatonin:zolpidem  0    0 0.67      .   0.67    .     .        .
           melatonin:zopiclone  0    0 0.63      .   0.63    .     .        .
             placebo:ramelteon  5 0.98 0.75   0.76   0.61 1.24  0.35   0.7239
           placebo:seltorexant  1 0.66 1.48   1.92   0.90 2.14  1.63   0.1030
            placebo:suvorexant  2 1.00 1.00   1.00      .    .     .        .
             placebo:trazodone  1 0.81 0.72   0.63   1.25 0.50 -0.95   0.3406
              placebo:zaleplon  4 0.60 1.05   1.12   0.95 1.18  0.74   0.4592
              placebo:zolpidem 14 0.84 0.78   0.71   1.24 0.57 -3.25   0.0011
             placebo:zopiclone  1 0.48 0.74   1.23   0.46 2.70  4.78 < 0.0001
         ramelteon:seltorexant  0    0 1.97      .   1.97    .     .        .
          ramelteon:suvorexant  0    0 1.33      .   1.33    .     .        .
           ramelteon:trazodone  0    0 0.95      .   0.95    .     .        .
            ramelteon:zaleplon  0    0 1.39      .   1.39    .     .        .
            ramelteon:zolpidem  0    0 1.03      .   1.03    .     .        .
           ramelteon:zopiclone  0    0 0.98      .   0.98    .     .        .
        seltorexant:suvorexant  0    0 0.68      .   0.68    .     .        .
         seltorexant:trazodone  0    0 0.48      .   0.48    .     .        .
          seltorexant:zaleplon  0    0 0.71      .   0.71    .     .        .
          seltorexant:zolpidem  1 0.64 0.52   0.69   0.32 2.12  1.63   0.1030
