"BZD-intermediate","1.15 (0.61 to  2.16)",".",".",".",".",".","1.01 (0.59 to  1.74)",".",".",".",".","0.17 (0.05 to  0.64)",".","1.15 (0.61 to  2.19)","1.35 (0.29 to  6.25)"
"0.95 (0.54 to  1.67)","BZD-short",".",".",".",".",".","1.09 (0.64 to  1.84)",".",".",".",".",".","1.91 (0.81 to  4.53)","1.00 (0.54 to  1.89)","."
"0.95 (0.47 to  1.92)","1.00 (0.50 to  1.99)","daridorexant",".",".",".",".","1.33 (0.69 to  2.59)",".",".",".",".",".",".","0.86 (0.45 to  1.62)","."
"1.25 (0.73 to  2.15)","1.31 (0.78 to  2.23)","1.32 (0.72 to  2.40)","doxepin",".",".",".","0.92 (0.69 to  1.23)","0.79 (0.46 to  1.37)",".",".",".",".",".",".","."
"0.73 (0.45 to  1.19)","0.77 (0.47 to  1.24)","0.77 (0.44 to  1.35)","0.58 (0.42 to  0.81)","eszopiclone",".",".","1.61 (1.35 to  1.93)",".",".",".",".",".",".",".","0.88 (0.57 to  1.35)"
"1.15 (0.70 to  1.89)","1.21 (0.74 to  1.96)","1.21 (0.69 to  2.12)","0.92 (0.66 to  1.28)","1.58 (1.22 to  2.04)","lemborexant",".","1.04 (0.84 to  1.28)",".",".",".",".",".",".","0.75 (0.55 to  1.03)","."
"1.19 (0.69 to  2.06)","1.25 (0.73 to  2.13)","1.25 (0.68 to  2.30)","0.95 (0.64 to  1.42)","1.63 (1.16 to  2.29)","1.04 (0.73 to  1.46)","melatonin","0.98 (0.73 to  1.31)",".",".",".",".",".",".",".","."
"1.17 (0.73 to  1.85)","1.22 (0.78 to  1.92)","1.23 (0.72 to  2.09)","0.93 (0.71 to  1.23)","1.60 (1.34 to  1.91)","1.01 (0.84 to  1.23)","0.98 (0.73 to  1.31)","placebo","0.91 (0.80 to  1.03)","1.92 (1.13 to  3.27)","1.00 (0.80 to  1.26)","0.63 (0.34 to  1.15)","0.93 (0.26 to  3.34)","1.25 (1.01 to  1.55)","0.72 (0.63 to  0.82)","."
"1.05 (0.65 to  1.71)","1.11 (0.69 to  1.77)","1.11 (0.64 to  1.92)","0.84 (0.63 to  1.13)","1.45 (1.16 to  1.80)","0.92 (0.73 to  1.15)","0.88 (0.65 to  1.21)","0.90 (0.79 to  1.03)","ramelteon",".",".",".",".",".",".","."
"1.70 (0.90 to  3.20)","1.79 (0.96 to  3.32)","1.79 (0.91 to  3.54)","1.36 (0.81 to  2.27)","2.33 (1.46 to  3.72)","1.48 (0.93 to  2.36)","1.43 (0.85 to  2.40)","1.46 (0.95 to  2.25)","1.61 (1.03 to  2.54)","seltorexant",".",".",".",".","0.69 (0.40 to  1.18)","."
"1.17 (0.70 to  1.96)","1.23 (0.74 to  2.04)","1.23 (0.69 to  2.20)","0.94 (0.65 to  1.34)","1.61 (1.21 to  2.14)","1.02 (0.76 to  1.37)","0.98 (0.68 to  1.42)","1.00 (0.80 to  1.26)","1.11 (0.86 to  1.44)","0.69 (0.42 to  1.12)","suvorexant",".",".",".",".","."
"0.82 (0.40 to  1.68)","0.86 (0.43 to  1.74)","0.86 (0.40 to  1.85)","0.66 (0.35 to  1.21)","1.13 (0.63 to  2.00)","0.71 (0.40 to  1.27)","0.69 (0.37 to  1.28)","0.70 (0.41 to  1.22)","0.78 (0.44 to  1.37)","0.48 (0.24 to  0.97)","0.70 (0.39 to  1.27)","trazodone",".",".","0.92 (0.48 to  1.76)","."
"0.45 (0.14 to  1.40)","0.47 (0.14 to  1.56)","0.47 (0.14 to  1.65)","0.36 (0.11 to  1.15)","0.62 (0.20 to  1.94)","0.39 (0.12 to  1.23)","0.38 (0.12 to  1.22)","0.39 (0.12 to  1.20)","0.43 (0.14 to  1.33)","0.26 (0.08 to  0.89)","0.38 (0.12 to  1.22)","0.55 (0.16 to  1.93)","trimipramine",".",".","."
"1.33 (0.82 to  2.18)","1.40 (0.88 to  2.23)","1.40 (0.81 to  2.45)","1.06 (0.76 to  1.48)","1.83 (1.42 to  2.35)","1.16 (0.90 to  1.50)","1.12 (0.80 to  1.57)","1.14 (0.95 to  1.37)","1.26 (1.01 to  1.58)","0.78 (0.49 to  1.24)","1.14 (0.85 to  1.52)","1.62 (0.92 to  2.87)","2.96 (0.94 to  9.30)","zaleplon","0.78 (0.61 to  0.99)","."
"0.87 (0.55 to  1.40)","0.92 (0.58 to  1.45)","0.92 (0.54 to  1.57)","0.70 (0.52 to  0.95)","1.20 (0.97 to  1.49)","0.76 (0.62 to  0.93)","0.73 (0.54 to  1.01)","0.75 (0.66 to  0.85)","0.83 (0.69 to  0.99)","0.51 (0.33 to  0.79)","0.75 (0.58 to  0.97)","1.07 (0.62 to  1.84)","1.94 (0.62 to  6.05)","0.66 (0.54 to  0.79)","zolpidem","."
"0.68 (0.37 to  1.26)","0.71 (0.38 to  1.33)","0.71 (0.36 to  1.43)","0.54 (0.32 to  0.92)","0.93 (0.61 to  1.41)","0.59 (0.36 to  0.96)","0.57 (0.33 to  0.97)","0.58 (0.37 to  0.91)","0.64 (0.40 to  1.03)","0.40 (0.21 to  0.74)","0.58 (0.35 to  0.96)","0.83 (0.41 to  1.67)","1.51 (0.45 to  5.05)","0.51 (0.31 to  0.82)","0.78 (0.49 to  1.23)","zopiclone"
