"BZD-intermediate","0.60 (0.32 to 1.15)","0.74 (0.32 to 1.69)",".",".",".",".",".","1.45 (0.93 to 2.26)",".",".",".",".",".",".","1.35 (0.27 to 6.72)"
"0.67 (0.43 to 1.03)","BZD-long","1.09 (0.69 to 1.73)",".",".",".",".",".","1.81 (1.20 to 2.75)",".",".",".",".",".",".","1.31 (0.77 to 2.25)"
"0.75 (0.49 to 1.16)","1.13 (0.77 to 1.64)","BZD-short",".",".",".",".",".","1.39 (0.92 to 2.10)",".",".",".",".","1.91 (0.72 to 5.12)","1.73 (0.72 to 4.13)","1.19 (0.68 to 2.08)"
"1.11 (0.67 to 1.83)","1.65 (1.01 to 2.69)","1.46 (0.92 to 2.34)","daridorexant",".",".",".",".","1.27 (0.88 to 1.82)",".",".",".",".",".","0.86 (0.39 to 1.90)","."
"1.47 (0.87 to 2.48)","2.20 (1.33 to 3.65)","1.95 (1.20 to 3.17)","1.33 (0.81 to 2.20)","doxepin",".",".",".","0.90 (0.61 to 1.31)","0.79 (0.38 to 1.64)",".",".",".",".",".","."
"1.02 (0.62 to 1.68)","1.52 (0.94 to 2.45)","1.35 (0.85 to 2.13)","0.92 (0.56 to 1.50)","0.69 (0.42 to 1.14)","eszopiclone",".",".","1.32 (0.90 to 1.94)",".",".",".",".",".",".","0.99 (0.48 to 2.05)"
"0.89 (0.54 to 1.47)","1.33 (0.82 to 2.16)","1.18 (0.74 to 1.88)","0.80 (0.49 to 1.31)","0.60 (0.36 to 1.00)","0.87 (0.54 to 1.43)","lemborexant",".","1.72 (1.18 to 2.49)",".",".",".",".",".","0.75 (0.43 to 1.33)","."
"1.23 (0.71 to 2.15)","1.84 (1.07 to 3.16)","1.63 (0.97 to 2.75)","1.12 (0.65 to 1.91)","0.84 (0.48 to 1.46)","1.21 (0.71 to 2.08)","1.39 (0.81 to 2.38)","melatonin","1.11 (0.74 to 1.68)",".",".",".",".",".",".","."
"1.37 (0.95 to 1.99)","2.05 (1.45 to 2.91)","1.82 (1.32 to 2.51)","1.24 (0.88 to 1.76)","0.93 (0.65 to 1.35)","1.35 (0.96 to 1.91)","1.55 (1.10 to 2.18)","1.11 (0.74 to 1.68)","placebo","0.75 (0.56 to 1.01)","1.88 (0.87 to 4.07)","1.00 (0.67 to 1.51)","0.63 (0.29 to 1.36)","1.22 (0.82 to 1.79)","0.73 (0.59 to 0.89)","1.23 (0.70 to 2.15)"
"1.03 (0.64 to 1.65)","1.53 (0.97 to 2.42)","1.36 (0.88 to 2.10)","0.93 (0.59 to 1.46)","0.70 (0.45 to 1.08)","1.01 (0.64 to 1.59)","1.16 (0.74 to 1.81)","0.83 (0.50 to 1.38)","0.75 (0.56 to 1.00)","ramelteon",".",".",".",".",".","."
"2.23 (1.06 to 4.71)","3.33 (1.60 to 6.95)","2.95 (1.44 to 6.07)","2.02 (0.97 to 4.21)","1.51 (0.72 to 3.20)","2.20 (1.05 to 4.59)","2.51 (1.21 to 5.21)","1.81 (0.84 to 3.91)","1.62 (0.85 to 3.11)","2.17 (1.06 to 4.43)","seltorexant",".",".",".","0.55 (0.25 to 1.19)","."
"1.38 (0.80 to 2.39)","2.06 (1.21 to 3.52)","1.83 (1.09 to 3.07)","1.25 (0.73 to 2.13)","0.94 (0.54 to 1.62)","1.36 (0.80 to 2.32)","1.55 (0.91 to 2.65)","1.12 (0.63 to 2.00)","1.00 (0.67 to 1.51)","1.34 (0.82 to 2.22)","0.62 (0.29 to 1.33)","suvorexant",".",".",".","."
"0.98 (0.45 to 2.14)","1.46 (0.68 to 3.16)","1.30 (0.61 to 2.76)","0.89 (0.41 to 1.91)","0.66 (0.30 to 1.45)","0.96 (0.45 to 2.08)","1.10 (0.51 to 2.37)","0.79 (0.36 to 1.77)","0.71 (0.36 to 1.42)","0.95 (0.45 to 2.01)","0.44 (0.17 to 1.12)","0.71 (0.32 to 1.58)","trazodone",".","0.92 (0.41 to 2.06)","."
"1.47 (0.91 to 2.37)","2.20 (1.40 to 3.46)","1.95 (1.28 to 2.96)","1.33 (0.84 to 2.10)","1.00 (0.62 to 1.61)","1.45 (0.91 to 2.30)","1.65 (1.05 to 2.60)","1.19 (0.71 to 2.00)","1.07 (0.79 to 1.46)","1.43 (0.94 to 2.19)","0.66 (0.32 to 1.34)","1.07 (0.64 to 1.77)","1.50 (0.71 to 3.16)","zaleplon","0.82 (0.56 to 1.18)","."
"1.04 (0.69 to 1.57)","1.56 (1.07 to 2.28)","1.38 (0.98 to 1.95)","0.94 (0.65 to 1.38)","0.71 (0.47 to 1.07)","1.03 (0.70 to 1.51)","1.17 (0.81 to 1.70)","0.85 (0.54 to 1.33)","0.76 (0.63 to 0.91)","1.02 (0.72 to 1.43)","0.47 (0.24 to 0.90)","0.76 (0.48 to 1.18)","1.07 (0.53 to 2.13)","0.71 (0.52 to 0.96)","zolpidem","0.57 (0.31 to 1.05)"
"0.93 (0.58 to 1.48)","1.39 (0.92 to 2.10)","1.23 (0.82 to 1.84)","0.84 (0.52 to 1.36)","0.63 (0.38 to 1.04)","0.91 (0.59 to 1.41)","1.05 (0.65 to 1.69)","0.75 (0.44 to 1.29)","0.68 (0.48 to 0.95)","0.90 (0.58 to 1.42)","0.42 (0.20 to 0.86)","0.67 (0.40 to 1.14)","0.95 (0.44 to 2.03)","0.63 (0.41 to 0.98)","0.89 (0.62 to 1.27)","zopiclone"
