Separate indirect from direct design evidence (SIDDE)

Fixed effects model: 

                    comparison  k  nma direct indir.  RoR     z p-value
    BZD-intermediate:BZD-short  1 1.10   1.15   1.04 1.10  0.15  0.8777
 BZD-intermediate:daridorexant  0 1.16      .   1.16    .     .       .
      BZD-intermediate:doxepin  0 1.59      .   1.59    .     .       .
  BZD-intermediate:eszopiclone  1 0.94   5.22   0.73 7.14  2.98  0.0028
  BZD-intermediate:lemborexant  0 0.91      .   0.91    .     .       .
    BZD-intermediate:melatonin  0 1.31      .   1.31    .     .       .
      BZD-intermediate:placebo  3 1.44   0.98   2.68 0.37 -2.15  0.0313
    BZD-intermediate:ramelteon  0 1.30      .   1.30    .     .       .
  BZD-intermediate:seltorexant  0 2.25      .   2.25    .     .       .
   BZD-intermediate:suvorexant  0 1.45      .   1.45    .     .       .
    BZD-intermediate:trazodone  1 0.91   0.67   1.04 0.65 -0.68  0.4970
 BZD-intermediate:trimipramine  1 0.50   0.18      .    .     .       .
     BZD-intermediate:zaleplon  0 1.60      .   1.60    .     .       .
     BZD-intermediate:zolpidem  1 1.01   1.15   0.89 1.30  0.58  0.5635
    BZD-intermediate:zopiclone  1 0.85   1.35   0.79 1.72  0.64  0.5227
        BZD-short:daridorexant  0 1.06      .   1.06    .     .       .
             BZD-short:doxepin  0 1.45      .   1.45    .     .       .
         BZD-short:eszopiclone  0 0.86      .   0.86    .     .       .
         BZD-short:lemborexant  0 0.83      .   0.83    .     .       .
           BZD-short:melatonin  0 1.19      .   1.19    .     .       .
             BZD-short:placebo  2 1.32   1.08      .    .     .       .
           BZD-short:ramelteon  0 1.19      .   1.19    .     .       .
         BZD-short:seltorexant  0 2.05      .   2.05    .     .       .
          BZD-short:suvorexant  0 1.32      .   1.32    .     .       .
           BZD-short:trazodone  0 0.83      .   0.83    .     .       .
        BZD-short:trimipramine  0 0.46      .   0.46    .     .       .
            BZD-short:zaleplon  1 1.46   1.91   1.44 1.33  0.55  0.5852
            BZD-short:zolpidem  1 0.92   1.00   0.85 1.18  0.32  0.7511
           BZD-short:zopiclone  0 0.78      .   0.78    .     .       .
          daridorexant:doxepin  0 1.38      .   1.38    .     .       .
      daridorexant:eszopiclone  0 0.81      .   0.81    .     .       .
      daridorexant:lemborexant  0 0.79      .   0.79    .     .       .
        daridorexant:melatonin  0 1.13      .   1.13    .     .       .
          daridorexant:placebo  3 1.25   1.25      .    .     .       .
        daridorexant:ramelteon  0 1.13      .   1.13    .     .       .
      daridorexant:seltorexant  0 1.94      .   1.94    .     .       .
       daridorexant:suvorexant  0 1.25      .   1.25    .     .       .
        daridorexant:trazodone  0 0.78      .   0.78    .     .       .
     daridorexant:trimipramine  0 0.43      .   0.43    .     .       .
