"BZD-intermediate","0.59 (0.34 to 1.02)","0.74 (0.38 to 1.45)",".",".",".",".",".","1.40 (1.01 to 1.96)",".",".",".",".",".",".","1.35 (0.29 to 6.25)"
"0.71 (0.51 to 0.99)","BZD-long","1.08 (0.80 to 1.47)",".",".",".",".",".","1.52 (1.15 to 2.00)",".",".",".",".",".",".","1.29 (0.96 to 1.73)"
"0.78 (0.56 to 1.08)","1.10 (0.84 to 1.44)","BZD-short",".",".",".",".",".","1.21 (0.91 to 1.60)",".",".",".",".","1.91 (0.81 to 4.53)","1.73 (0.83 to 3.59)","1.19 (0.89 to 1.59)"
"1.04 (0.74 to 1.48)","1.48 (1.08 to 2.03)","1.34 (0.99 to 1.82)","daridorexant",".",".",".",".","1.25 (1.02 to 1.54)",".",".",".",".",".","0.86 (0.45 to 1.62)","."
"1.39 (0.93 to 2.08)","1.97 (1.36 to 2.87)","1.79 (1.24 to 2.57)","1.33 (0.94 to 1.88)","doxepin",".",".",".","0.90 (0.67 to 1.20)","0.79 (0.46 to 1.37)",".",".",".",".",".","."
"0.95 (0.66 to 1.37)","1.34 (0.96 to 1.87)","1.22 (0.88 to 1.68)","0.91 (0.66 to 1.24)","0.68 (0.47 to 0.98)","eszopiclone",".",".","1.37 (1.06 to 1.78)",".",".",".",".",".",".","0.99 (0.57 to 1.72)"
"0.83 (0.59 to 1.18)","1.18 (0.86 to 1.61)","1.07 (0.79 to 1.44)","0.80 (0.60 to 1.05)","0.60 (0.42 to 0.84)","0.88 (0.65 to 1.20)","lemborexant",".","1.80 (1.44 to 2.24)",".",".",".",".",".","0.75 (0.55 to 1.03)","."
"1.18 (0.81 to 1.72)","1.67 (1.18 to 2.37)","1.51 (1.08 to 2.12)","1.13 (0.82 to 1.55)","0.85 (0.58 to 1.23)","1.24 (0.88 to 1.75)","1.42 (1.03 to 1.94)","melatonin","1.10 (0.86 to 1.41)",".",".",".",".",".",".","."
"1.30 (0.98 to 1.73)","1.84 (1.44 to 2.36)","1.67 (1.33 to 2.10)","1.24 (1.02 to 1.52)","0.93 (0.70 to 1.24)","1.37 (1.08 to 1.74)","1.56 (1.28 to 1.90)","1.10 (0.86 to 1.41)","placebo","0.76 (0.63 to 0.91)","1.88 (1.03 to 3.45)","1.00 (0.80 to 1.26)","0.63 (0.34 to 1.15)","1.13 (0.85 to 1.50)","0.70 (0.61 to 0.80)","1.23 (0.92 to 1.65)"
"0.98 (0.70 to 1.37)","1.39 (1.02 to 1.88)","1.26 (0.94 to 1.69)","0.94 (0.71 to 1.23)","0.70 (0.51 to 0.97)","1.03 (0.77 to 1.39)","1.18 (0.90 to 1.54)","0.83 (0.61 to 1.13)","0.75 (0.63 to 0.90)","ramelteon",".",".",".",".",".","."
"2.07 (1.16 to 3.67)","2.93 (1.68 to 5.10)","2.66 (1.54 to 4.59)","1.98 (1.16 to 3.39)","1.49 (0.84 to 2.64)","2.18 (1.26 to 3.79)","2.48 (1.46 to 4.23)","1.75 (1.00 to 3.06)","1.59 (0.97 to 2.62)","2.11 (1.24 to 3.60)","seltorexant",".",".",".","0.55 (0.30 to 1.01)","."
"1.30 (0.91 to 1.88)","1.85 (1.32 to 2.59)","1.68 (1.21 to 2.32)","1.25 (0.92 to 1.69)","0.94 (0.65 to 1.35)","1.38 (0.99 to 1.91)","1.57 (1.16 to 2.12)","1.11 (0.79 to 1.55)","1.00 (0.80 to 1.26)","1.33 (1.00 to 1.78)","0.63 (0.36 to 1.09)","suvorexant",".",".",".","."
"0.90 (0.49 to 1.67)","1.28 (0.70 to 2.33)","1.16 (0.64 to 2.10)","0.86 (0.48 to 1.55)","0.65 (0.35 to 1.20)","0.95 (0.53 to 1.73)","1.09 (0.61 to 1.93)","0.77 (0.42 to 1.40)","0.70 (0.40 to 1.20)","0.92 (0.52 to 1.64)","0.44 (0.21 to 0.91)","0.69 (0.38 to 1.25)","trazodone",".","0.92 (0.48 to 1.76)","."
"1.32 (0.92 to 1.88)","1.86 (1.35 to 2.58)","1.69 (1.25 to 2.29)","1.26 (0.94 to 1.69)","0.95 (0.66 to 1.35)","1.39 (1.01 to 1.92)","1.58 (1.19 to 2.11)","1.12 (0.80 to 1.55)","1.01 (0.81 to 1.26)","1.35 (1.01 to 1.79)","0.64 (0.37 to 1.09)","1.01 (0.74 to 1.38)","1.46 (0.81 to 2.61)","zaleplon","0.81 (0.62 to 1.06)","."
"0.95 (0.70 to 1.29)","1.34 (1.03 to 1.75)","1.22 (0.95 to 1.56)","0.91 (0.72 to 1.14)","0.68 (0.50 to 0.92)","1.00 (0.77 to 1.30)","1.14 (0.92 to 1.41)","0.80 (0.61 to 1.06)","0.73 (0.64 to 0.82)","0.97 (0.78 to 1.20)","0.46 (0.28 to 0.75)","0.72 (0.56 to 0.94)","1.05 (0.61 to 1.81)","0.72 (0.58 to 0.89)","zolpidem","0.57 (0.39 to 0.84)"
"0.94 (0.68 to 1.30)","1.33 (1.03 to 1.71)","1.20 (0.95 to 1.53)","0.90 (0.67 to 1.19)","0.67 (0.48 to 0.95)","0.99 (0.74 to 1.32)","1.13 (0.85 to 1.49)","0.80 (0.58 to 1.09)","0.72 (0.59 to 0.88)","0.96 (0.73 to 1.26)","0.45 (0.27 to 0.77)","0.72 (0.53 to 0.97)","1.04 (0.58 to 1.85)","0.71 (0.53 to 0.95)","0.99 (0.80 to 1.23)","zopiclone"
