"BZD-intermediate","0.69 (0.27 to   1.75)",".",".",".",".",".","1.06 (0.62 to   1.81)",".",".",".",".","1.45 (0.26 to   8.04)","1.24 (0.33 to   4.75)",".","0.72 (0.38 to   1.37)","2.03 (0.18 to  23.34)"
"0.64 (0.30 to  1.40)","BZD-short",".",".",".",".",".","1.19 (0.49 to   2.91)",".",".",".",".",".",".","0.22 (0.01 to   4.37)","2.50 (0.86 to   7.23)","."
"0.70 (0.36 to  1.37)","1.09 (0.44 to  2.71)","daridorexant",".",".",".",".","1.32 (0.78 to   2.22)",".",".",".",".",".",".",".","0.49 (0.07 to   3.65)","."
"0.99 (0.53 to  1.88)","1.54 (0.64 to  3.74)","1.41 (0.70 to  2.83)","doxepin",".",".",".","0.85 (0.52 to   1.40)",".","1.22 (0.48 to   3.13)",".",".",".",".",".",".","."
"1.07 (0.62 to  1.85)","1.66 (0.72 to  3.79)","1.52 (0.81 to  2.83)","1.08 (0.60 to  1.94)","eszopiclone",".",".","0.82 (0.57 to   1.18)",".",".",".",".",".",".",".",".","0.86 (0.50 to   1.48)"
"1.22 (0.67 to  2.22)","1.89 (0.80 to  4.47)","1.73 (0.89 to  3.39)","1.23 (0.65 to  2.33)","1.14 (0.65 to  2.00)","lemborexant",".","0.82 (0.51 to   1.30)",".",".",".",".",".",".",".","0.47 (0.22 to   1.02)","."
"0.96 (0.48 to  1.90)","1.49 (0.59 to  3.74)","1.36 (0.65 to  2.86)","0.97 (0.47 to  1.97)","0.90 (0.47 to  1.71)","0.79 (0.40 to  1.57)","melatonin","0.92 (0.54 to   1.57)",".",".",".",".",".",".",".",".","."
"0.88 (0.58 to  1.35)","1.37 (0.65 to  2.90)","1.26 (0.75 to  2.10)","0.89 (0.56 to  1.43)","0.83 (0.58 to  1.18)","0.73 (0.47 to  1.12)","0.92 (0.54 to  1.57)","placebo","2.33 (0.16 to  33.26)","0.87 (0.69 to   1.11)","2.60 (0.80 to   8.38)","1.18 (0.71 to   1.98)","0.65 (0.22 to   1.88)","1.07 (0.27 to   4.21)","1.05 (0.67 to   1.63)","1.09 (0.87 to   1.38)","0.18 (0.01 to   3.83)"
"2.06 (0.14 to 30.43)","3.20 (0.20 to 50.66)","2.93 (0.20 to 43.89)","2.08 (0.14 to 30.88)","1.93 (0.13 to 28.21)","1.69 (0.11 to 25.00)","2.15 (0.14 to 32.32)","2.33 (0.16 to 33.26)","quetiapine",".",".",".",".",".",".",".","."
"0.79 (0.48 to  1.28)","1.22 (0.56 to  2.69)","1.12 (0.64 to  1.97)","0.79 (0.48 to  1.32)","0.74 (0.48 to  1.13)","0.65 (0.39 to  1.06)","0.82 (0.46 to  1.47)","0.89 (0.70 to  1.13)","0.38 (0.03 to  5.50)","ramelteon",".",".",".",".",".",".","."
"1.98 (0.65 to  6.02)","3.07 (0.86 to 10.96)","2.81 (0.89 to  8.92)","1.99 (0.64 to  6.22)","1.85 (0.62 to  5.54)","1.62 (0.53 to  4.97)","2.06 (0.64 to  6.61)","2.24 (0.79 to  6.30)","0.96 (0.06 to 16.61)","2.51 (0.87 to  7.26)","seltorexant",".",".",".",".","0.58 (0.16 to   2.12)","."
"1.05 (0.54 to  2.05)","1.63 (0.66 to  4.04)","1.49 (0.72 to  3.08)","1.06 (0.52 to  2.12)","0.98 (0.52 to  1.84)","0.86 (0.44 to  1.69)","1.09 (0.52 to  2.29)","1.18 (0.71 to  1.98)","0.51 (0.03 to  7.61)","1.33 (0.75 to  2.35)","0.53 (0.17 to  1.68)","suvorexant",".",".",".",".","."
"0.90 (0.39 to  2.09)","1.40 (0.48 to  4.06)","1.28 (0.50 to  3.27)","0.91 (0.36 to  2.27)","0.85 (0.36 to  2.00)","0.74 (0.30 to  1.80)","0.94 (0.36 to  2.43)","1.02 (0.47 to  2.24)","0.44 (0.03 to  6.99)","1.15 (0.50 to  2.60)","0.46 (0.13 to  1.66)","0.86 (0.34 to  2.20)","trazodone",".",".","0.92 (0.35 to   2.41)","."
"1.09 (0.33 to  3.60)","1.69 (0.42 to  6.79)","1.55 (0.42 to  5.71)","1.10 (0.30 to  3.99)","1.02 (0.29 to  3.56)","0.90 (0.25 to  3.20)","1.14 (0.31 to  4.22)","1.23 (0.37 to  4.09)","0.53 (0.03 to  9.76)","1.38 (0.41 to  4.70)","0.55 (0.11 to  2.68)","1.04 (0.28 to  3.84)","1.21 (0.29 to  4.98)","trimipramine",".",".","."
"0.91 (0.53 to  1.56)","1.41 (0.62 to  3.18)","1.29 (0.69 to  2.41)","0.91 (0.50 to  1.66)","0.85 (0.51 to  1.41)","0.74 (0.43 to  1.30)","0.94 (0.49 to  1.80)","1.02 (0.71 to  1.48)","0.44 (0.03 to  6.41)","1.15 (0.74 to  1.78)","0.46 (0.15 to  1.36)","0.86 (0.46 to  1.63)","1.00 (0.43 to  2.35)","0.83 (0.24 to  2.89)","zaleplon","1.10 (0.69 to   1.74)","."
"0.92 (0.60 to  1.43)","1.44 (0.67 to  3.06)","1.31 (0.76 to  2.28)","0.93 (0.55 to  1.57)","0.87 (0.57 to  1.31)","0.76 (0.48 to  1.20)","0.96 (0.54 to  1.72)","1.05 (0.84 to  1.30)","0.45 (0.03 to  6.45)","1.17 (0.85 to  1.62)","0.47 (0.17 to  1.32)","0.88 (0.50 to  1.55)","1.02 (0.47 to  2.24)","0.85 (0.25 to  2.84)","1.02 (0.71 to  1.48)","zolpidem","."
