"BZD-intermediate","0.69 (0.29 to  1.64)",".",".",".",".",".","1.05 (0.64 to  1.74)",".",".",".",".","1.45 (0.27 to  7.78)","1.24 (0.34 to  4.56)",".","0.70 (0.39 to  1.26)","2.03 (0.18 to 22.82)"
"0.56 (0.27 to  1.18)","BZD-short",".",".",".",".",".","1.46 (0.61 to  3.50)",".",".",".",".",".",".",".","2.50 (0.91 to  6.85)","."
"0.68 (0.37 to  1.26)","1.22 (0.51 to  2.87)","daridorexant",".",".",".",".","1.32 (0.82 to  2.12)",".",".",".",".",".",".",".","0.49 (0.07 to  3.55)","."
"0.97 (0.54 to  1.76)","1.73 (0.74 to  4.04)","1.43 (0.75 to  2.70)","doxepin",".",".",".","0.85 (0.54 to  1.35)",".","1.22 (0.51 to  2.95)",".",".",".",".",".",".","."
"1.06 (0.65 to  1.74)","1.89 (0.86 to  4.12)","1.55 (0.89 to  2.70)","1.09 (0.64 to  1.86)","eszopiclone",".",".","0.83 (0.61 to  1.12)",".",".",".",".",".",".",".",".","0.85 (0.53 to  1.39)"
"1.18 (0.68 to  2.02)","2.09 (0.93 to  4.70)","1.72 (0.95 to  3.13)","1.21 (0.68 to  2.15)","1.11 (0.68 to  1.80)","lemborexant",".","0.84 (0.56 to  1.26)",".",".",".",".",".",".",".","0.47 (0.24 to  0.95)","."
"0.94 (0.50 to  1.75)","1.67 (0.70 to  3.97)","1.37 (0.70 to  2.67)","0.96 (0.50 to  1.84)","0.88 (0.50 to  1.56)","0.80 (0.43 to  1.47)","melatonin","0.92 (0.57 to  1.49)",".",".",".",".",".",".",".",".","."
"0.87 (0.58 to  1.29)","1.54 (0.75 to  3.17)","1.27 (0.79 to  2.01)","0.89 (0.57 to  1.38)","0.82 (0.60 to  1.10)","0.74 (0.50 to  1.07)","0.92 (0.57 to  1.49)","placebo","2.33 (0.17 to 32.58)","0.88 (0.72 to  1.08)","2.60 (0.84 to  7.99)","1.18 (0.75 to  1.86)","0.65 (0.24 to  1.78)","1.07 (0.28 to  4.04)","0.98 (0.66 to  1.47)","1.16 (0.95 to  1.41)","."
"2.02 (0.14 to 29.04)","3.59 (0.23 to 55.20)","2.95 (0.20 to 42.93)","2.07 (0.14 to 29.99)","1.90 (0.13 to 27.03)","1.72 (0.12 to 24.61)","2.15 (0.15 to 31.36)","2.33 (0.17 to 32.58)","quetiapine",".",".",".",".",".",".",".","."
"0.77 (0.50 to  1.21)","1.38 (0.65 to  2.91)","1.13 (0.68 to  1.88)","0.79 (0.50 to  1.27)","0.73 (0.51 to  1.05)","0.66 (0.43 to  1.01)","0.83 (0.49 to  1.39)","0.90 (0.73 to  1.09)","0.38 (0.03 to  5.40)","ramelteon",".",".",".",".",".",".","."
