Separate indirect from direct design evidence (SIDDE)

Fixed effects model: 

                    comparison  k  nma direct indir.  RoR     z p-value
    BZD-intermediate:BZD-short  1 0.56   0.69      .    .     .       .
 BZD-intermediate:daridorexant  0 0.68      .   0.68    .     .       .
      BZD-intermediate:doxepin  0 0.97      .   0.97    .     .       .
  BZD-intermediate:eszopiclone  0 1.06      .   1.06    .     .       .
  BZD-intermediate:lemborexant  0 1.18      .   1.18    .     .       .
    BZD-intermediate:melatonin  0 0.94      .   0.94    .     .       .
      BZD-intermediate:placebo  5 0.87   1.05   0.54 1.95  1.55  0.1214
   BZD-intermediate:quetiapine  0 2.02      .   2.02    .     .       .
    BZD-intermediate:ramelteon  0 0.77      .   0.77    .     .       .
  BZD-intermediate:seltorexant  0 1.98      .   1.98    .     .       .
   BZD-intermediate:suvorexant  0 1.02      .   1.02    .     .       .
    BZD-intermediate:trazodone  1 0.90   1.45   0.79 1.85  0.63  0.5293
 BZD-intermediate:trimipramine  1 1.08   1.24      .    .     .       .
     BZD-intermediate:zaleplon  0 0.87      .   0.87    .     .       .
     BZD-intermediate:zolpidem  3 0.95   0.70   1.29 0.55 -1.44  0.1499
    BZD-intermediate:zopiclone  1 0.94   2.03   0.88 2.31  0.65  0.5148
        BZD-short:daridorexant  0 1.22      .   1.22    .     .       .
             BZD-short:doxepin  0 1.73      .   1.73    .     .       .
         BZD-short:eszopiclone  0 1.89      .   1.89    .     .       .
         BZD-short:lemborexant  0 2.09      .   2.09    .     .       .
           BZD-short:melatonin  0 1.67      .   1.67    .     .       .
             BZD-short:placebo  1 1.54   1.46      .    .     .       .
          BZD-short:quetiapine  0 3.59      .   3.59    .     .       .
           BZD-short:ramelteon  0 1.38      .   1.38    .     .       .
         BZD-short:seltorexant  0 3.51      .   3.51    .     .       .
          BZD-short:suvorexant  0 1.81      .   1.81    .     .       .
           BZD-short:trazodone  0 1.61      .   1.61    .     .       .
        BZD-short:trimipramine  0 1.92      .   1.92    .     .       .
            BZD-short:zaleplon  0 1.55      .   1.55    .     .       .
            BZD-short:zolpidem  1 1.68   2.50      .    .     .       .
           BZD-short:zopiclone  0 1.66      .   1.66    .     .       .
          daridorexant:doxepin  0 1.43      .   1.43    .     .       .
      daridorexant:eszopiclone  0 1.55      .   1.55    .     .       .
      daridorexant:lemborexant  0 1.72      .   1.72    .     .       .
        daridorexant:melatonin  0 1.37      .   1.37    .     .       .
          daridorexant:placebo  3 1.27   1.32      .    .     .       .
       daridorexant:quetiapine  0 2.95      .   2.95    .     .       .
        daridorexant:ramelteon  0 1.13      .   1.13    .     .       .
      daridorexant:seltorexant  0 2.89      .   2.89    .     .       .
       daridorexant:suvorexant  0 1.49      .   1.49    .     .       .
        daridorexant:trazodone  0 1.32      .   1.32    .     .       .
     daridorexant:trimipramine  0 1.58      .   1.58    .     .       .
