"BZD-intermediate","0.80 (0.36 to  1.81)","1.63 (0.52 to  5.12)",".",".",".",".",".",".","0.86 (0.53 to  1.40)",".",".",".",".",".",".","2.03 (0.18 to 22.82)"
"1.05 (0.66 to 1.67)","BZD-long","0.75 (0.56 to  1.01)",".",".",".",".",".",".","0.86 (0.62 to  1.21)",".",".",".",".",".",".","0.76 (0.50 to  1.17)"
"0.84 (0.53 to 1.33)","0.80 (0.60 to 1.06)","BZD-short",".",".",".",".",".",".","1.15 (0.83 to  1.59)",".",".",".",".","0.22 (0.01 to  4.29)","1.18 (0.37 to  3.74)","0.93 (0.62 to  1.38)"
"0.71 (0.38 to 1.33)","0.68 (0.39 to 1.17)","0.85 (0.49 to 1.45)","daridorexant",".",".",".",".",".","1.32 (0.82 to  2.12)",".",".",".",".",".","0.49 (0.07 to  3.55)","."
"1.03 (0.56 to 1.90)","0.99 (0.58 to 1.68)","1.23 (0.73 to 2.08)","1.45 (0.76 to 2.77)","doxepin",".",".",".",".","0.86 (0.54 to  1.37)","1.22 (0.51 to  2.95)",".",".",".",".",".","."
"1.63 (0.61 to 4.33)","1.56 (0.62 to 3.94)","1.95 (0.77 to 4.90)","2.30 (0.85 to 6.23)","1.58 (0.59 to 4.25)","doxylamine",".",".",".","0.54 (0.21 to  1.44)",".",".",".",".",".","0.65 (0.24 to  1.75)","."
"1.20 (0.69 to 2.08)","1.15 (0.73 to 1.81)","1.43 (0.92 to 2.23)","1.69 (0.94 to 3.05)","1.16 (0.65 to 2.07)","0.74 (0.28 to 1.91)","eszopiclone",".",".","0.68 (0.46 to  1.02)",".",".",".",".",".",".","0.99 (0.44 to  2.24)"
"1.24 (0.70 to 2.18)","1.18 (0.73 to 1.91)","1.48 (0.93 to 2.36)","1.75 (0.96 to 3.18)","1.20 (0.67 to 2.16)","0.76 (0.29 to 1.98)","1.03 (0.61 to 1.74)","lemborexant",".","0.84 (0.56 to  1.26)",".",".",".",".",".","0.47 (0.24 to  0.95)","."
"1.05 (0.54 to 2.02)","1.00 (0.56 to 1.80)","1.25 (0.70 to 2.23)","1.48 (0.75 to 2.93)","1.02 (0.52 to 1.99)","0.64 (0.23 to 1.78)","0.87 (0.47 to 1.63)","0.85 (0.45 to 1.59)","melatonin","0.85 (0.52 to  1.41)",".",".",".",".",".",".","."
"0.89 (0.59 to 1.36)","0.85 (0.64 to 1.15)","1.07 (0.81 to 1.41)","1.26 (0.79 to 2.01)","0.87 (0.55 to 1.35)","0.55 (0.23 to 1.33)","0.75 (0.52 to 1.07)","0.72 (0.49 to 1.05)","0.85 (0.52 to 1.41)","placebo","1.03 (0.75 to  1.41)","2.60 (0.84 to  7.99)","1.18 (0.75 to  1.86)","0.65 (0.24 to  1.78)","1.32 (0.86 to  2.02)","1.19 (0.97 to  1.47)","0.98 (0.65 to  1.49)"
"0.95 (0.57 to 1.61)","0.91 (0.59 to 1.40)","1.14 (0.75 to 1.72)","1.34 (0.77 to 2.35)","0.92 (0.56 to 1.54)","0.58 (0.23 to 1.49)","0.79 (0.49 to 1.28)","0.77 (0.47 to 1.25)","0.91 (0.50 to 1.64)","1.07 (0.78 to 1.45)","ramelteon",".",".",".",".",".","."
"2.11 (0.72 to 6.19)","2.01 (0.72 to 5.66)","2.52 (0.90 to 7.04)","2.97 (0.99 to 8.89)","2.04 (0.69 to 6.07)","1.29 (0.34 to 4.86)","1.76 (0.61 to 5.06)","1.70 (0.59 to 4.91)","2.01 (0.66 to 6.12)","2.36 (0.87 to 6.37)","2.21 (0.78 to 6.25)","seltorexant",".",".",".","0.58 (0.16 to  2.03)","."
"1.05 (0.57 to 1.96)","1.01 (0.59 to 1.73)","1.26 (0.74 to 2.14)","1.49 (0.78 to 2.84)","1.02 (0.54 to 1.93)","0.65 (0.24 to 1.74)","0.88 (0.49 to 1.57)","0.85 (0.47 to 1.54)","1.00 (0.51 to 1.98)","1.18 (0.75 to 1.86)","1.10 (0.64 to 1.91)","0.50 (0.17 to 1.49)","suvorexant",".",".",".","."
"0.88 (0.35 to 2.20)","0.84 (0.35 to 2.00)","1.05 (0.44 to 2.48)","1.24 (0.48 to 3.17)","0.85 (0.33 to 2.16)","0.54 (0.16 to 1.78)","0.73 (0.30 to 1.79)","0.71 (0.29 to 1.74)","0.84 (0.32 to 2.19)","0.98 (0.43 to 2.23)","0.92 (0.38 to 2.21)","0.42 (0.12 to 1.50)","0.83 (0.33 to 2.13)","trazodone",".","0.92 (0.37 to  2.27)","."
"1.04 (0.59 to 1.82)","0.99 (0.62 to 1.59)","1.24 (0.78 to 1.96)","1.46 (0.81 to 2.65)","1.01 (0.56 to 1.80)","0.64 (0.25 to 1.65)","0.87 (0.52 to 1.45)","0.84 (0.50 to 1.42)","0.99 (0.53 to 1.85)","1.16 (0.80 to 1.68)","1.09 (0.67 to 1.76)","0.49 (0.17 to 1.42)","0.99 (0.55 to 1.77)","1.19 (0.48 to 2.90)","zaleplon","1.34 (0.74 to  2.46)","."
"1.06 (0.67 to 1.67)","1.01 (0.72 to 1.41)","1.26 (0.92 to 1.74)","1.49 (0.91 to 2.46)","1.03 (0.63 to 1.67)","0.65 (0.27 to 1.57)","0.88 (0.59 to 1.32)","0.86 (0.57 to 1.28)","1.01 (0.59 to 1.73)","1.19 (0.98 to 1.43)","1.11 (0.77 to 1.59)","0.50 (0.19 to 1.36)","1.01 (0.62 to 1.65)","1.21 (0.53 to 2.74)","1.02 (0.69 to 1.50)","zolpidem","0.73 (0.44 to  1.19)"
"0.82 (0.51 to 1.33)","0.79 (0.57 to 1.09)","0.98 (0.72 to 1.34)","1.16 (0.68 to 1.99)","0.80 (0.47 to 1.35)","0.51 (0.20 to 1.27)","0.69 (0.45 to 1.05)","0.67 (0.42 to 1.06)","0.79 (0.44 to 1.40)","0.92 (0.70 to 1.21)","0.86 (0.57 to 1.31)","0.39 (0.14 to 1.09)","0.78 (0.46 to 1.33)","0.94 (0.40 to 2.22)","0.79 (0.50 to 1.25)","0.78 (0.58 to 1.05)","zopiclone"
