"BZD-intermediate","0.67 (0.31 to  1.41)","1.63 (0.52 to  5.12)",".",".",".",".",".",".","0.87 (0.54 to  1.41)",".",".",".",".",".",".","2.03 (0.18 to 22.82)"
"1.05 (0.66 to 1.68)","BZD-long","0.75 (0.56 to  1.01)",".",".",".",".",".",".","0.86 (0.62 to  1.21)",".",".",".",".",".",".","0.76 (0.50 to  1.17)"
"0.83 (0.52 to 1.33)","0.79 (0.60 to 1.05)","BZD-short",".",".",".",".",".",".","1.18 (0.85 to  1.63)",".",".",".",".",".","1.18 (0.37 to  3.74)","0.92 (0.62 to  1.37)"
"0.72 (0.38 to 1.34)","0.68 (0.39 to 1.18)","0.86 (0.50 to 1.48)","daridorexant",".",".",".",".",".","1.32 (0.82 to  2.12)",".",".",".",".",".","0.49 (0.07 to  3.55)","."
"1.05 (0.57 to 1.93)","1.00 (0.59 to 1.69)","1.26 (0.75 to 2.12)","1.46 (0.77 to 2.78)","doxepin",".",".",".",".","0.85 (0.54 to  1.35)","1.22 (0.51 to  2.95)",".",".",".",".",".","."
"1.63 (0.61 to 4.34)","1.55 (0.61 to 3.93)","1.96 (0.78 to 4.93)","2.28 (0.84 to 6.19)","1.56 (0.58 to 4.19)","doxylamine",".",".",".","0.54 (0.21 to  1.44)",".",".",".",".",".","0.65 (0.24 to  1.75)","."
"1.19 (0.69 to 2.06)","1.13 (0.72 to 1.78)","1.43 (0.92 to 2.23)","1.66 (0.92 to 3.00)","1.14 (0.64 to 2.01)","0.73 (0.28 to 1.89)","eszopiclone",".",".","0.70 (0.47 to  1.04)",".",".",".",".",".",".","0.99 (0.44 to  2.24)"
"1.24 (0.71 to 2.19)","1.18 (0.74 to 1.91)","1.49 (0.94 to 2.38)","1.74 (0.96 to 3.16)","1.19 (0.67 to 2.12)","0.76 (0.29 to 1.98)","1.05 (0.62 to 1.76)","lemborexant",".","0.84 (0.56 to  1.26)",".",".",".",".",".","0.47 (0.24 to  0.95)","."
"1.06 (0.55 to 2.04)","1.01 (0.56 to 1.81)","1.27 (0.72 to 2.26)","1.48 (0.75 to 2.94)","1.01 (0.52 to 1.98)","0.65 (0.24 to 1.79)","0.89 (0.48 to 1.65)","0.85 (0.45 to 1.60)","melatonin","0.85 (0.52 to  1.41)",".",".",".",".",".",".","."
"0.90 (0.59 to 1.37)","0.86 (0.64 to 1.15)","1.08 (0.82 to 1.43)","1.26 (0.79 to 2.01)","0.86 (0.55 to 1.34)","0.55 (0.23 to 1.34)","0.76 (0.53 to 1.09)","0.73 (0.50 to 1.06)","0.85 (0.52 to 1.41)","placebo","1.02 (0.75 to  1.39)","2.60 (0.84 to  7.99)","1.18 (0.75 to  1.86)","0.65 (0.24 to  1.78)","1.29 (0.84 to  1.98)","1.17 (0.96 to  1.44)","1.02 (0.67 to  1.54)"
"0.95 (0.57 to 1.60)","0.91 (0.59 to 1.39)","1.15 (0.76 to 1.73)","1.33 (0.76 to 2.33)","0.91 (0.55 to 1.51)","0.58 (0.23 to 1.49)","0.80 (0.50 to 1.29)","0.77 (0.47 to 1.24)","0.90 (0.50 to 1.62)","1.06 (0.78 to 1.43)","ramelteon",".",".",".",".",".","."
"2.11 (0.72 to 6.21)","2.01 (0.72 to 5.66)","2.54 (0.91 to 7.10)","2.96 (0.99 to 8.84)","2.02 (0.68 to 5.99)","1.29 (0.34 to 4.86)","1.78 (0.62 to 5.10)","1.70 (0.59 to 4.90)","1.99 (0.66 to 6.06)","2.34 (0.87 to 6.32)","2.22 (0.78 to 6.26)","seltorexant",".",".",".","0.58 (0.16 to  2.03)","."
