"BZD-intermediate","-0.00 (-0.23 to  0.23)","-0.16 (-0.41 to  0.09)",".",".",".",".","0.12 (-0.30 to  0.55)",".","-0.33 (-0.79 to  0.14)","0.81 ( 0.70 to  0.92)",".",".","-0.14 (-0.50 to  0.21)","0.28 (-0.37 to  0.93)",".","-0.07 (-0.31 to  0.17)","."
"0.13 (-0.01 to  0.28)","BZD-long","-0.46 (-0.70 to -0.23)",".",".",".",".",".",".",".","0.65 ( 0.43 to  0.87)",".",".",".",".",".",".","0.12 (-0.15 to  0.38)"
"-0.14 (-0.30 to  0.02)","-0.27 (-0.44 to -0.11)","BZD-short",".",".",".",".",".",".",".","1.18 ( 0.57 to  1.80)",".",".",".",".",".","-0.04 (-0.33 to  0.24)","0.26 (-0.29 to  0.82)"
"0.43 ( 0.30 to  0.57)","0.30 ( 0.13 to  0.47)","0.57 ( 0.39 to  0.76)","daridorexant",".",".",".",".",".",".","0.26 ( 0.16 to  0.35)",".",".",".",".",".","-0.03 (-0.34 to  0.28)","."
"0.18 (-0.19 to  0.55)","0.04 (-0.34 to  0.43)","0.32 (-0.07 to  0.71)","-0.26 (-0.62 to  0.11)","diphenydramine",".",".",".",".",".","0.53 ( 0.17 to  0.89)",".",".",".",".",".",".","."
"0.44 ( 0.22 to  0.66)","0.31 ( 0.06 to  0.55)","0.58 ( 0.32 to  0.84)","0.01 (-0.22 to  0.23)","0.26 (-0.15 to  0.67)","doxepin",".",".",".",".","0.27 ( 0.07 to  0.47)",".",".",".",".",".",".","."
"0.19 (-0.05 to  0.44)","0.06 (-0.21 to  0.33)","0.33 ( 0.06 to  0.61)","-0.24 (-0.49 to  0.01)","0.02 (-0.41 to  0.44)","-0.25 (-0.56 to  0.06)","doxylamine",".",".",".","0.60 ( 0.33 to  0.87)",".",".",".",".",".","-0.10 (-0.36 to  0.16)","."
"0.13 ( 0.01 to  0.24)","-0.01 (-0.16 to  0.15)","0.27 ( 0.10 to  0.44)","-0.31 (-0.43 to -0.18)","-0.05 (-0.42 to  0.32)","-0.31 (-0.53 to -0.10)","-0.07 (-0.31 to  0.18)","eszopiclone",".",".","0.59 ( 0.50 to  0.67)",".",".",".",".",".",".","0.04 (-0.15 to  0.23)"
"0.60 ( 0.45 to  0.75)","0.46 ( 0.28 to  0.65)","0.74 ( 0.54 to  0.93)","0.17 ( 0.01 to  0.32)","0.42 ( 0.04 to  0.80)","0.16 (-0.08 to  0.39)","0.40 ( 0.14 to  0.66)","0.47 ( 0.33 to  0.61)","melatonin",".","0.11 (-0.01 to  0.23)",".",".",".",".",".",".","."
"-0.33 (-0.79 to  0.14)","-0.46 (-0.95 to  0.03)","-0.19 (-0.68 to  0.31)","-0.76 (-1.24 to -0.27)","-0.50 (-1.10 to  0.09)","-0.77 (-1.28 to -0.25)","-0.52 (-1.05 to  0.01)","-0.45 (-0.93 to  0.03)","-0.92 (-1.41 to -0.44)","mirtazapine",".",".",".",".",".",".",".","."
