"BZD-intermediate","-0.00 (-0.23 to  0.23)","-0.16 (-0.41 to  0.09)",".",".",".",".",".",".","0.82 ( 0.69 to  0.94)",".",".",".",".",".","."
"0.18 ( 0.02 to  0.35)","BZD-long","-0.49 (-0.76 to -0.23)",".",".",".",".",".",".","0.67 ( 0.46 to  0.89)",".",".",".",".",".","0.09 (-0.32 to  0.49)"
"-0.10 (-0.26 to  0.07)","-0.28 (-0.46 to -0.10)","BZD-short",".",".",".",".",".",".","1.13 ( 0.63 to  1.63)",".",".",".",".","-0.04 (-0.33 to  0.24)","."
"0.51 ( 0.36 to  0.66)","0.33 ( 0.14 to  0.51)","0.60 ( 0.41 to  0.80)","daridorexant",".",".",".",".",".","0.26 ( 0.16 to  0.35)",".",".",".",".","-0.03 (-0.34 to  0.28)","."
"0.51 ( 0.28 to  0.75)","0.33 ( 0.08 to  0.59)","0.61 ( 0.35 to  0.87)","0.01 (-0.22 to  0.23)","doxepin",".",".",".",".","0.27 ( 0.07 to  0.47)",".",".",".",".",".","."
"0.29 ( 0.03 to  0.54)","0.10 (-0.17 to  0.38)","0.38 ( 0.10 to  0.66)","-0.22 (-0.47 to  0.03)","-0.23 (-0.53 to  0.08)","doxylamine",".",".",".","0.60 ( 0.33 to  0.87)",".",".",".",".","-0.10 (-0.36 to  0.16)","."
"0.25 ( 0.10 to  0.40)","0.07 (-0.12 to  0.25)","0.34 ( 0.15 to  0.54)","-0.26 (-0.40 to -0.12)","-0.27 (-0.49 to -0.04)","-0.04 (-0.29 to  0.21)","eszopiclone",".",".","0.54 ( 0.44 to  0.65)",".",".",".",".",".","0.00 (-0.26 to  0.26)"
"0.37 ( 0.22 to  0.52)","0.19 ( 0.01 to  0.37)","0.47 ( 0.28 to  0.66)","-0.14 (-0.27 to  0.00)","-0.14 (-0.36 to  0.08)","0.09 (-0.16 to  0.33)","0.12 (-0.01 to  0.26)","lemborexant",".","0.38 ( 0.28 to  0.49)",".",".",".",".","-0.04 (-0.18 to  0.11)","."
"0.70 ( 0.53 to  0.87)","0.52 ( 0.32 to  0.72)","0.80 ( 0.59 to  1.01)","0.19 ( 0.03 to  0.35)","0.19 (-0.05 to  0.43)","0.41 ( 0.15 to  0.68)","0.45 ( 0.29 to  0.62)","0.33 ( 0.17 to  0.49)","melatonin","0.08 (-0.05 to  0.21)",".",".",".",".",".","."
"0.78 ( 0.67 to  0.90)","0.60 ( 0.44 to  0.75)","0.88 ( 0.71 to  1.04)","0.27 ( 0.18 to  0.37)","0.27 ( 0.07 to  0.47)","0.49 ( 0.26 to  0.73)","0.53 ( 0.43 to  0.63)","0.41 ( 0.31 to  0.50)","0.08 (-0.05 to  0.21)","placebo","-0.18 (-0.30 to -0.07)","-0.30 (-0.41 to -0.18)","-0.22 (-0.47 to  0.02)","-0.17 (-0.33 to  0.00)","-0.48 (-0.56 to -0.41)","."
"0.60 ( 0.44 to  0.76)","0.41 ( 0.22 to  0.61)","0.69 ( 0.49 to  0.89)","0.09 (-0.06 to  0.24)","0.08 (-0.15 to  0.31)","0.31 ( 0.05 to  0.57)","0.35 ( 0.20 to  0.50)","0.23 ( 0.08 to  0.37)","-0.10 (-0.27 to  0.07)","-0.18 (-0.30 to -0.07)","ramelteon",".",".",".",".","."
"0.49 ( 0.32 to  0.65)","0.30 ( 0.11 to  0.50)","0.58 ( 0.38 to  0.79)","-0.02 (-0.17 to  0.13)","-0.03 (-0.26 to  0.21)","0.20 (-0.06 to  0.46)","0.24 ( 0.08 to  0.39)","0.11 (-0.04 to  0.27)","-0.21 (-0.39 to -0.04)","-0.30 (-0.41 to -0.18)","-0.11 (-0.27 to  0.05)","suvorexant",".",".",".","."
"0.43 ( 0.18 to  0.68)","0.25 (-0.02 to  0.52)","0.53 ( 0.25 to  0.80)","-0.08 (-0.32 to  0.16)","-0.08 (-0.38 to  0.22)","0.14 (-0.17 to  0.46)","0.18 (-0.06 to  0.42)","0.06 (-0.18 to  0.30)","-0.27 (-0.52 to -0.02)","-0.35 (-0.57 to -0.13)","-0.17 (-0.41 to  0.08)","-0.06 (-0.30 to  0.19)","trazodone",".","0.03 (-0.25 to  0.31)","."
"0.52 ( 0.36 to  0.69)","0.34 ( 0.14 to  0.53)","0.62 ( 0.42 to  0.82)","0.01 (-0.14 to  0.17)","0.01 (-0.23 to  0.24)","0.23 (-0.02 to  0.49)","0.27 ( 0.12 to  0.43)","0.15 ( 0.00 to  0.30)","-0.18 (-0.36 to  0.00)","-0.26 (-0.38 to -0.14)","-0.08 (-0.24 to  0.09)","0.04 (-0.13 to  0.21)","0.09 (-0.16 to  0.34)","zaleplon","-0.19 (-0.33 to -0.05)","."
