"BZD-intermediate","1.01 (0.28 to  3.63)",".",".",".",".",".","1.21 (0.57 to  2.57)",".",".","0.38 (0.02 to  7.26)",".","2.53 (0.48 to 13.44)","2.03 (0.18 to 22.82)"
"1.23 (0.39 to  3.85)","BZD-short",".",".",".",".",".","0.69 (0.21 to  2.26)",".",".",".",".","2.50 (0.47 to 13.27)","."
"1.32 (0.14 to 12.64)","1.08 (0.10 to 11.91)","daridorexant",".",".",".",".","1.51 (0.06 to 37.53)",".",".",".",".","0.49 (0.05 to  4.85)","."
"1.00 (0.27 to  3.74)","0.82 (0.17 to  3.88)","0.76 (0.07 to  8.62)","doxepin",".",".",".","1.68 (0.48 to  5.80)","1.00 (0.20 to  5.06)",".",".",".",".","."
"1.54 (0.61 to  3.84)","1.25 (0.36 to  4.38)","1.17 (0.12 to 11.06)","1.54 (0.42 to  5.58)","eszopiclone",".",".","1.03 (0.53 to  2.01)",".",".",".",".",".","0.57 (0.24 to  1.35)"
"1.71 (0.44 to  6.60)","1.40 (0.29 to  6.77)","1.30 (0.12 to 14.48)","1.71 (0.34 to  8.65)","1.11 (0.29 to  4.22)","lemborexant",".","0.97 (0.19 to  5.05)",".",".",".",".","0.40 (0.12 to  1.34)","."
"2.06 (0.48 to  8.95)","1.68 (0.31 to  9.09)","1.57 (0.13 to 19.34)","2.07 (0.37 to 11.40)","1.34 (0.32 to  5.67)","1.21 (0.21 to  6.88)","melatonin","0.73 (0.20 to  2.66)",".",".",".",".",".","."
"1.51 (0.75 to  3.03)","1.23 (0.42 to  3.65)","1.14 (0.13 to  9.90)","1.51 (0.49 to  4.63)","0.98 (0.52 to  1.86)","0.88 (0.27 to  2.84)","0.73 (0.20 to  2.66)","placebo","0.83 (0.49 to  1.40)","1.45 (0.26 to  8.09)","0.37 (0.07 to  1.97)","0.77 (0.41 to  1.46)","0.47 (0.30 to  0.73)","0.47 (0.02 to 12.43)"
"1.24 (0.52 to  2.96)","1.01 (0.30 to  3.37)","0.94 (0.10 to  8.65)","1.24 (0.39 to  3.94)","0.81 (0.35 to  1.84)","0.72 (0.20 to  2.60)","0.60 (0.15 to  2.41)","0.82 (0.49 to  1.38)","ramelteon",".",".",".",".","."
"1.53 (0.32 to  7.38)","1.25 (0.21 to  7.37)","1.16 (0.09 to 14.94)","1.53 (0.25 to  9.32)","1.00 (0.21 to  4.71)","0.89 (0.15 to  5.41)","0.74 (0.11 to  5.04)","1.01 (0.25 to  4.18)","1.24 (0.27 to  5.60)","seltorexant",".",".","0.67 (0.12 to  3.74)","."
"0.61 (0.17 to  2.16)","0.50 (0.11 to  2.31)","0.46 (0.04 to  5.09)","0.61 (0.12 to  2.99)","0.40 (0.11 to  1.45)","0.36 (0.07 to  1.71)","0.30 (0.05 to  1.64)","0.40 (0.13 to  1.25)","0.49 (0.14 to  1.71)","0.40 (0.07 to  2.36)","trazodone",".","1.02 (0.29 to  3.64)","."
"1.13 (0.47 to  2.72)","0.92 (0.28 to  3.08)","0.86 (0.10 to  7.74)","1.13 (0.33 to  3.95)","0.74 (0.32 to  1.71)","0.66 (0.19 to  2.29)","0.55 (0.14 to  2.23)","0.75 (0.43 to  1.30)","0.92 (0.43 to  1.95)","0.74 (0.17 to  3.30)","1.86 (0.55 to  6.25)","zaleplon","0.65 (0.32 to  1.31)","."
"0.71 (0.32 to  1.58)","0.58 (0.19 to  1.82)","0.54 (0.06 to  4.59)","0.72 (0.22 to  2.37)","0.47 (0.22 to  1.00)","0.42 (0.13 to  1.29)","0.35 (0.09 to  1.35)","0.47 (0.31 to  0.73)","0.58 (0.29 to  1.13)","0.47 (0.11 to  1.93)","1.17 (0.39 to  3.55)","0.63 (0.36 to  1.11)","zolpidem","."
"0.94 (0.31 to  2.90)","0.77 (0.18 to  3.22)","0.72 (0.07 to  7.59)","0.95 (0.22 to  4.13)","0.61 (0.28 to  1.37)","0.55 (0.12 to  2.50)","0.46 (0.09 to  2.29)","0.63 (0.24 to  1.64)","0.76 (0.26 to  2.28)","0.62 (0.11 to  3.42)","1.55 (0.36 to  6.76)","0.83 (0.28 to  2.52)","1.32 (0.46 to  3.77)","zopiclone"
