"BZD-intermediate","0.12 (0.01 to   0.96)","2.00 (0.18 to  22.34)",".",".",".",".",".",".","1.17 (0.53 to   2.62)",".",".",".",".",".","2.03 (0.18 to  22.82)"
"0.79 (0.29 to  2.10)","BZD-long","0.57 (0.27 to   1.22)",".",".",".",".",".",".","1.64 (0.58 to   4.58)",".",".",".",".",".","0.27 (0.07 to   1.01)"
"0.53 (0.20 to  1.41)","0.68 (0.34 to  1.36)","BZD-short",".",".",".",".",".",".","2.11 (0.58 to   7.59)",".",".",".",".","9.57 (0.45 to 201.88)","0.79 (0.30 to   2.07)"
"1.15 (0.12 to 11.15)","1.46 (0.15 to 14.29)","2.17 (0.22 to 21.04)","daridorexant",".",".",".",".",".","1.51 (0.06 to  37.53)",".",".",".",".","0.49 (0.05 to   4.85)","."
"0.96 (0.25 to  3.67)","1.22 (0.31 to  4.82)","1.80 (0.45 to  7.13)","0.83 (0.07 to  9.49)","doxepin",".",".",".",".","1.68 (0.48 to   5.80)","1.00 (0.20 to   5.06)",".",".",".",".","."
"1.72 (0.30 to  9.81)","2.18 (0.38 to 12.63)","3.23 (0.56 to 18.59)","1.49 (0.11 to 21.09)","1.79 (0.26 to 12.58)","doxylamine",".",".",".","0.65 (0.11 to   3.96)",".",".",".",".","0.41 (0.08 to   2.18)","."
"2.80 (0.77 to 10.16)","3.56 (0.95 to 13.38)","5.27 (1.40 to 19.79)","2.43 (0.22 to 26.94)","2.93 (0.62 to 13.73)","1.63 (0.24 to 11.01)","eszopiclone",".",".","0.53 (0.18 to   1.52)",".",".",".",".",".","."
"1.49 (0.38 to  5.87)","1.90 (0.48 to  7.55)","2.81 (0.71 to 11.08)","1.30 (0.12 to 14.48)","1.56 (0.31 to  7.91)","0.87 (0.13 to  5.98)","0.53 (0.11 to  2.58)","lemborexant",".","0.97 (0.19 to   5.05)",".",".",".",".","0.40 (0.12 to   1.34)","."
"1.76 (0.36 to  8.61)","2.24 (0.44 to 11.26)","3.31 (0.66 to 16.66)","1.53 (0.12 to 20.12)","1.84 (0.30 to 11.15)","1.02 (0.12 to  8.56)","0.63 (0.11 to  3.66)","1.18 (0.19 to  7.35)","melatonin","0.84 (0.21 to   3.44)",".",".",".",".",".","."
"1.48 (0.71 to  3.08)","1.88 (0.85 to  4.16)","2.78 (1.26 to  6.15)","1.29 (0.15 to 11.12)","1.55 (0.50 to  4.76)","0.86 (0.18 to  4.22)","0.53 (0.18 to  1.52)","0.99 (0.31 to  3.19)","0.84 (0.21 to  3.44)","placebo","0.78 (0.42 to   1.45)","1.45 (0.26 to   8.09)","0.37 (0.07 to   1.97)","0.46 (0.17 to   1.27)","0.38 (0.23 to   0.61)","0.41 (0.13 to   1.32)"
"1.14 (0.44 to  2.96)","1.44 (0.53 to  3.94)","2.14 (0.78 to  5.83)","0.99 (0.10 to  9.31)","1.19 (0.37 to  3.85)","0.66 (0.12 to  3.63)","0.41 (0.12 to  1.38)","0.76 (0.20 to  2.85)","0.65 (0.14 to  3.00)","0.77 (0.42 to  1.42)","ramelteon",".",".",".",".","."
"1.39 (0.28 to  6.80)","1.76 (0.35 to  8.79)","2.61 (0.53 to 12.94)","1.21 (0.09 to 15.52)","1.45 (0.24 to  8.86)","0.81 (0.10 to  6.61)","0.50 (0.08 to  2.91)","0.93 (0.15 to  5.62)","0.79 (0.11 to  5.82)","0.94 (0.23 to  3.87)","1.22 (0.26 to  5.72)","seltorexant",".",".","0.67 (0.12 to   3.74)","."
"0.58 (0.14 to  2.35)","0.73 (0.18 to  3.03)","1.08 (0.26 to  4.45)","0.50 (0.04 to  5.72)","0.60 (0.12 to  3.15)","0.34 (0.05 to  2.38)","0.21 (0.04 to  1.03)","0.39 (0.08 to  1.96)","0.33 (0.05 to  2.10)","0.39 (0.12 to  1.31)","0.51 (0.13 to  1.98)","0.42 (0.07 to  2.59)","trazodone",".","1.02 (0.29 to   3.64)","."
"0.74 (0.26 to  2.14)","0.95 (0.32 to  2.78)","1.40 (0.48 to  4.08)","0.65 (0.07 to  6.19)","0.78 (0.20 to  3.05)","0.43 (0.08 to  2.45)","0.27 (0.07 to  0.99)","0.50 (0.13 to  1.92)","0.42 (0.08 to  2.11)","0.50 (0.23 to  1.09)","0.65 (0.24 to  1.76)","0.54 (0.11 to  2.61)","1.29 (0.32 to  5.17)","zaleplon","0.75 (0.29 to   1.92)","."
"0.60 (0.26 to  1.37)","0.76 (0.33 to  1.75)","1.13 (0.50 to  2.54)","0.52 (0.06 to  4.41)","0.63 (0.19 to  2.09)","0.35 (0.07 to  1.69)","0.21 (0.07 to  0.67)","0.40 (0.13 to  1.24)","0.34 (0.08 to  1.49)","0.41 (0.26 to  0.62)","0.53 (0.25 to  1.12)","0.43 (0.10 to  1.79)","1.04 (0.32 to  3.39)","0.81 (0.38 to  1.72)","zolpidem","0.74 (0.36 to   1.49)"
"0.45 (0.19 to  1.09)","0.57 (0.26 to  1.28)","0.85 (0.40 to  1.80)","0.39 (0.04 to  3.56)","0.47 (0.13 to  1.70)","0.26 (0.05 to  1.38)","0.16 (0.05 to  0.55)","0.30 (0.09 to  1.06)","0.26 (0.06 to  1.19)","0.30 (0.16 to  0.56)","0.40 (0.17 to  0.95)","0.33 (0.07 to  1.47)","0.78 (0.21 to  2.87)","0.61 (0.24 to  1.52)","0.75 (0.42 to  1.34)","zopiclone"
